
 ===========================================================================
 Free Tip Potential Formulation Solution:  Designed blade                  
                                                  Wake adv. ratio:    0.41682
 no. blades :  2            radius(m)  :   0.0635     adv. ratio:     0.26054
 thrust(N)  :   3.47        power(W)   :   118.       torque(N-m):  0.979E-01
 Efficiency :  0.5860       speed(m/s) :   20.000     rpm        :  11543.999
 Eff induced:  0.6251       Eff ideal  :   0.8147     Area(m^2)  :    0.01265
 Tnacel(N)  :     0.0028    Rhub(m)    :   0.0025     Rwake(m)   :    0.0030
 Tvisc(N)   :    -0.0725    Pvisc(W)   :   5.07       Mach       :    0.0588
 rho(kg/m3) :   1.22600     Vsound(m/s):  340.000     mu(kg/m-s) : 0.1780E-04
 ---------------------------------------------------------------------------
    J:    0.81850      adv:    0.26054       AF:  441.847
   Ct:    0.29386       Cp:    0.41042  (by rho,Diam,N)
   Tc:    1.11696       Pc:    1.90592  (by rho,Atip,Vel)
   CT:    0.03791       CP:    0.01685  (by rho,Atip,Vtip)
Sigma:    0.44491 CT/sigma:    0.08521

  i  r/R   c/R  beta(deg)  CL     Cd    REx10^3 Mach   effi  effp  na.u/U  solidity
  1 0.052 0.4980  84.07  0.600   0.0279  44.32  0.060  0.556 0.599   0.000  3.0245
  2 0.089 0.6329  79.03  0.600   0.0250  58.06  0.062  0.598 0.792   0.000  2.2754
  3 0.136 0.8216  72.77  0.600   0.0220  80.01  0.065  0.613 0.876   0.000  1.9173
  4 0.186 0.9737  66.74  0.600   0.0199 102.62  0.071  0.619 0.912   0.000  1.6635
  5 0.237 1.0725  61.22  0.600   0.0185 123.63  0.078  0.621 0.929   0.000  1.4434
  6 0.286 1.1236  56.27  0.600   0.0175 142.19  0.085  0.622 0.939   0.000  1.2486
  7 0.336 1.1380  51.90  0.600   0.0168 158.00  0.093  0.623 0.944   0.000  1.0788
  8 0.384 1.1265  48.07  0.600   0.0162 170.96  0.102  0.623 0.947   0.000  0.9331
  9 0.432 1.0975  44.72  0.600   0.0159 181.16  0.111  0.624 0.949   0.000  0.8090
 10 0.478 1.0571  41.80  0.600   0.0156 188.71  0.120  0.624 0.949   0.000  0.7036
 11 0.523 1.0095  39.25  0.600   0.0154 193.78  0.129  0.624 0.949   0.000  0.6139
 12 0.567 0.9576  37.02  0.600   0.0154 196.54  0.138  0.624 0.948   0.000  0.5375
 13 0.609 0.9034  35.08  0.600   0.0153 197.16  0.147  0.624 0.947   0.000  0.4719
 14 0.650 0.8480  33.37  0.600   0.0154 195.81  0.155  0.624 0.946   0.000  0.4153
 15 0.689 0.7924  31.88  0.600   0.0155 192.63  0.163  0.624 0.944   0.000  0.3662
 16 0.726 0.7369  30.56  0.600   0.0156 187.78  0.171  0.624 0.942   0.000  0.3232
 17 0.761 0.6820  29.41  0.600   0.0159 181.38  0.179  0.624 0.940   0.000  0.2854
 18 0.793 0.6277  28.39  0.600   0.0161 173.58  0.186  0.624 0.938   0.000  0.2518
 19 0.824 0.5743  27.50  0.600   0.0165 164.49  0.193  0.625 0.935   0.000  0.2218
 20 0.853 0.5218  26.72  0.600   0.0169 154.23  0.199  0.625 0.932   0.000  0.1948
 21 0.879 0.4701  26.04  0.600   0.0174 142.92  0.204  0.625 0.929   0.000  0.1703
 22 0.902 0.4192  25.45  0.600   0.0181 130.68  0.210  0.625 0.926   0.000  0.1479
 23 0.924 0.3691  24.94  0.600   0.0189 117.62  0.214  0.625 0.922   0.000  0.1272
 24 0.942 0.3198  24.51  0.600   0.0198 103.87  0.218  0.625 0.917   0.000  0.1080
 25 0.959 0.2713  24.15  0.600   0.0210  89.54  0.222  0.625 0.911   0.000  0.0901
 26 0.972 0.2237  23.85  0.600   0.0226  74.80  0.225  0.625 0.904   0.000  0.0732
 27 0.983 0.1771  23.62  0.600   0.0247  59.85  0.227  0.625 0.896   0.000  0.0573
 28 0.991 0.1323  23.45  0.600   0.0277  45.06  0.229  0.625 0.884   0.000  0.0425
 29 0.997 0.0924  23.34  0.600   0.0319  31.63  0.230  0.625 0.868   0.000  0.0295
 30 0.999 0.0662  23.28  0.600   0.0364  22.73  0.231  0.625 0.851   0.000  0.0211
