
 ===========================================================================
 Free Tip Potential Formulation Solution:  Designed blade                  
                                                  Wake adv. ratio:    0.05254
 no. blades :  2            radius(m)  :   0.0635     adv. ratio:     0.04785
 thrust(N)  :   1.12        power(W)   :   543.       torque(N-m):  0.826E-01
 Efficiency :  0.0412       speed(m/s) :   20.000     rpm        :  62856.000
 Eff induced:  0.9107       Eff ideal  :   0.9231     Area(m^2)  :    0.01265
 Tnacel(N)  :     0.0001    Rhub(m)    :   0.0025     Rwake(m)   :    0.0030
 Tvisc(N)   :    -0.0999    Pvisc(W)   :   517.       Mach       :    0.0588
 rho(kg/m3) :   1.22600     Vsound(m/s):  340.000     mu(kg/m-s) : 0.1780E-04
 ---------------------------------------------------------------------------
    J:    0.15032      adv:    0.04785       AF:    4.768
   Ct:    0.00320       Cp:    0.01167  (by rho,Diam,N)
   Tc:    0.36078       Pc:    8.74822  (by rho,Atip,Vel)
   CT:    0.00041       CP:    0.00048  (by rho,Atip,Vtip)
Sigma:    0.00433 CT/sigma:    0.09548  heliFOM:    0.01239

  i  r/R   c/R  beta(deg)  CL     Cd    REx10^3 Mach   effi  effp  na.u/U  solidity
  1 0.052 0.0475  45.94  0.600   0.0613   6.16  0.087  0.811 0.814   0.000  0.2887
  2 0.089 0.0392  31.42  0.600   0.0576   7.21  0.124  0.871 0.812   0.000  0.1411
  3 0.136 0.0308  21.74  0.600   0.0549   8.13  0.178  0.894 0.780   0.000  0.0719
  4 0.186 0.0246  16.38  0.600   0.0535   8.65  0.236  0.902 0.741   0.000  0.0420
  5 0.237 0.0203  13.09  0.600   0.0529   8.94  0.297  0.905 0.702   0.000  0.0273
  6 0.286 0.0171  10.88  0.600   0.0525   9.10  0.357  0.907 0.666   0.000  0.0190
  7 0.336 0.0148   9.28  0.600   0.0523   9.20  0.417  0.908 0.634   0.000  0.0141
  8 0.384 0.0131   8.02  0.600   0.0521   9.26  0.476  0.909 0.604   0.000  0.0108
  9 0.432 0.0117   7.00  0.600   0.0548   9.30  0.534  0.909 0.565   0.000  0.0086
 10 0.478 0.0106   6.19  0.600   0.0700   9.32  0.591  0.909 0.479   0.000  0.0071
 11 0.523 0.0097   5.50  0.600   0.1074   9.34  0.646  0.910 0.353   0.000  0.0059
 12 0.567 0.0090   4.88  0.600   0.1745   9.36  0.700  0.910 0.235   0.000  0.0050
 13 0.609 0.0084   4.32  0.600   0.2768   9.37  0.751  0.910 0.151   0.000  0.0044
 14 0.650 0.0079   3.80  0.600   0.4178   9.37  0.801  0.910 0.098   0.000  0.0039
 15 0.689 0.0074   3.29  0.600   0.5988   9.37  0.849  0.910 0.066   0.000  0.0034
 16 0.726 0.0070   2.77  0.600   0.8188   9.35  0.894  0.910 0.045   0.000  0.0031
 17 0.761 0.0067   2.23  0.600   1.0752   9.32  0.937  0.910 0.033   0.000  0.0028
 18 0.793 0.0064   1.57  0.600   1.3635   9.27  0.977  0.910 0.024   0.000  0.0026
 19 0.824 0.0061   1.03  0.600   1.5067   9.17  1.015  0.910 0.021   0.000  0.0023
 20 0.853 0.0058   0.91  0.600   1.5070   9.01  1.050  0.910 0.020   0.000  0.0022
 21 0.879 0.0055   0.80  0.600   1.5076   8.77  1.082  0.910 0.020   0.000  0.0020
 22 0.902 0.0051   0.71  0.600   1.5085   8.42  1.111  0.910 0.019   0.000  0.0018
 23 0.924 0.0047   0.64  0.600   1.5098   7.94  1.137  0.910 0.019   0.000  0.0016
 24 0.942 0.0042   0.57  0.600   1.5116   7.31  1.160  0.910 0.019   0.000  0.0014
 25 0.959 0.0037   0.52  0.600   1.5143   6.53  1.180  0.910 0.018   0.000  0.0012
 26 0.972 0.0032   0.47  0.600   1.5181   5.60  1.196  0.910 0.018   0.000  0.0010
 27 0.983 0.0025   0.44  0.600   1.5236   4.55  1.210  0.910 0.018   0.000  0.0008
 28 0.991 0.0019   0.41  0.600   1.5321   3.41  1.220  0.910 0.018   0.000  0.0006
 29 0.997 0.0012   0.40  0.600   1.5464   2.23  1.227  0.910 0.017   0.000  0.0004
 30 0.999 0.0007   0.39  0.600   1.5710   1.23  1.230  0.910 0.017   0.000  0.0002
