
 ===========================================================================
 Free Tip Potential Formulation Solution:  Designed blade                  
                                                  Wake adv. ratio:    0.05227
 no. blades :  3            radius(m)  :   0.0635     adv. ratio:     0.04785
 thrust(N)  :   1.07        power(W)   :   543.       torque(N-m):  0.826E-01
 Efficiency :  0.0395       speed(m/s) :   20.000     rpm        :  62856.000
 Eff induced:  0.9155       Eff ideal  :   0.9259     Area(m^2)  :    0.01265
 Tnacel(N)  :     0.0000    Rhub(m)    :   0.0025     Rwake(m)   :    0.0030
 Tvisc(N)   :    -0.0993    Pvisc(W)   :   518.       Mach       :    0.0588
 rho(kg/m3) :   1.22600     Vsound(m/s):  340.000     mu(kg/m-s) : 0.1780E-04
 ---------------------------------------------------------------------------
    J:    0.15032      adv:    0.04785       AF:    3.088
   Ct:    0.00307       Cp:    0.01167  (by rho,Diam,N)
   Tc:    0.34576       Pc:    8.74822  (by rho,Atip,Vel)
   CT:    0.00040       CP:    0.00048  (by rho,Atip,Vtip)
Sigma:    0.00408 CT/sigma:    0.09712  heliFOM:    0.01162

  i  r/R   c/R  beta(deg)  CL     Cd    REx10^3 Mach   effi  effp  na.u/U  solidity
  1 0.052 0.0276  45.78  0.600   0.0762   3.58  0.087  0.815 0.775   0.000  0.2518
  2 0.089 0.0241  31.28  0.600   0.0700   4.43  0.124  0.876 0.778   0.000  0.1300
  3 0.136 0.0193  21.64  0.600   0.0662   5.10  0.178  0.899 0.744   0.000  0.0675
  4 0.186 0.0155  16.30  0.600   0.0645   5.43  0.236  0.906 0.701   0.000  0.0396
  5 0.237 0.0127  13.03  0.600   0.0637   5.60  0.297  0.910 0.660   0.000  0.0256
  6 0.286 0.0107  10.83  0.600   0.0633   5.70  0.357  0.912 0.622   0.000  0.0179
  7 0.336 0.0093   9.24  0.600   0.0630   5.75  0.417  0.913 0.587   0.000  0.0132
  8 0.384 0.0082   7.98  0.600   0.0629   5.79  0.476  0.913 0.557   0.000  0.0102
  9 0.432 0.0073   6.96  0.600   0.0655   5.81  0.534  0.914 0.519   0.000  0.0081
 10 0.478 0.0066   6.16  0.600   0.0808   5.83  0.591  0.914 0.441   0.000  0.0066
 11 0.523 0.0061   5.47  0.600   0.1181   5.84  0.646  0.914 0.330   0.000  0.0055
 12 0.567 0.0056   4.86  0.600   0.1852   5.85  0.700  0.914 0.223   0.000  0.0047
 13 0.609 0.0052   4.30  0.600   0.2876   5.85  0.751  0.915 0.146   0.000  0.0041
 14 0.650 0.0049   3.77  0.600   0.4286   5.86  0.801  0.915 0.095   0.000  0.0036
 15 0.689 0.0046   3.26  0.600   0.6095   5.86  0.849  0.915 0.064   0.000  0.0032
 16 0.726 0.0044   2.75  0.600   0.8295   5.86  0.894  0.915 0.045   0.000  0.0029
 17 0.761 0.0042   2.21  0.600   1.0858   5.86  0.937  0.915 0.032   0.000  0.0026
 18 0.793 0.0040   1.55  0.600   1.3740   5.86  0.977  0.915 0.024   0.000  0.0024
 19 0.824 0.0039   1.01  0.600   1.5170   5.85  1.015  0.915 0.021   0.000  0.0022
 20 0.853 0.0037   0.89  0.600   1.5171   5.81  1.050  0.915 0.020   0.000  0.0021
 21 0.879 0.0036   0.78  0.600   1.5174   5.75  1.082  0.915 0.020   0.000  0.0019
 22 0.902 0.0034   0.69  0.600   1.5179   5.64  1.111  0.915 0.019   0.000  0.0018
 23 0.924 0.0032   0.62  0.600   1.5188   5.44  1.137  0.915 0.019   0.000  0.0017
 24 0.942 0.0030   0.55  0.600   1.5203   5.14  1.160  0.915 0.018   0.000  0.0015
 25 0.959 0.0027   0.50  0.600   1.5227   4.71  1.180  0.915 0.018   0.000  0.0013
 26 0.972 0.0023   0.46  0.600   1.5263   4.13  1.196  0.915 0.018   0.000  0.0011
 27 0.983 0.0019   0.42  0.600   1.5320   3.41  1.210  0.915 0.018   0.000  0.0009
 28 0.991 0.0014   0.40  0.600   1.5411   2.59  1.220  0.915 0.017   0.000  0.0007
 29 0.997 0.0009   0.38  0.600   1.5568   1.71  1.227  0.915 0.017   0.000  0.0004
 30 0.999 0.0005   0.37  0.600   1.5845   0.94  1.230  0.915 0.017   0.000  0.0002
