
 ===========================================================================
 Free Tip Potential Formulation Solution:  Designed blade                  
                                                  Wake adv. ratio:    0.04171
 no. blades :  2            radius(m)  :   0.0762     adv. ratio:     0.03987
 thrust(N)  :  0.727        power(W)   :   543.       torque(N-m):  0.826E-01
 Efficiency :  0.0268       speed(m/s) :   20.000     rpm        :  62856.004
 Eff induced:  0.9561       Eff ideal  :   0.9624     Area(m^2)  :    0.01822
 Tnacel(N)  :     0.0000    Rhub(m)    :   0.0025     Rwake(m)   :    0.0030
 Tvisc(N)   :    -0.0749    Pvisc(W)   :   527.       Mach       :    0.0588
 rho(kg/m3) :   1.22600     Vsound(m/s):  340.000     mu(kg/m-s) : 0.1780E-04
 ---------------------------------------------------------------------------
    J:    0.12527      adv:    0.03987       AF:    1.517
   Ct:    0.00100       Cp:    0.00469  (by rho,Diam,N)
   Tc:    0.16261       Pc:    6.07515  (by rho,Atip,Vel)
   CT:    0.00013       CP:    0.00019  (by rho,Atip,Vtip)
Sigma:    0.00135 CT/sigma:    0.09573  heliFOM:    0.00540

  i  r/R   c/R  beta(deg)  CL     Cd    REx10^3 Mach   effi  effp  na.u/U  solidity
  1 0.047 0.0177  42.19  0.600   0.0831   2.89  0.091  0.862 0.759   0.000  0.1194
  2 0.086 0.0138  26.67  0.600   0.0775   3.43  0.139  0.924 0.741   0.000  0.0513
  3 0.135 0.0103  17.86  0.600   0.0744   3.80  0.207  0.943 0.687   0.000  0.0243
  4 0.185 0.0080  13.28  0.600   0.0730   3.98  0.279  0.949 0.632   0.000  0.0137
  5 0.236 0.0065  10.53  0.600   0.0724   4.07  0.352  0.952 0.582   0.000  0.0087
  6 0.286 0.0054   8.68  0.600   0.0720   4.12  0.425  0.953 0.539   0.000  0.0060
  7 0.335 0.0047   7.24  0.600   0.0721   4.15  0.498  0.954 0.501   0.000  0.0044
  8 0.384 0.0041   6.18  0.600   0.0818   4.16  0.569  0.955 0.437   0.000  0.0034
  9 0.431 0.0037   5.31  0.600   0.1208   4.17  0.639  0.955 0.318   0.000  0.0027
 10 0.478 0.0033   4.55  0.600   0.2069   4.18  0.707  0.955 0.196   0.000  0.0022
 11 0.523 0.0030   3.86  0.600   0.3547   4.19  0.774  0.955 0.113   0.000  0.0018
 12 0.567 0.0028   3.19  0.600   0.5748   4.19  0.838  0.955 0.066   0.000  0.0016
 13 0.609 0.0026   2.50  0.600   0.8743   4.19  0.900  0.955 0.040   0.000  0.0014
 14 0.650 0.0024   1.70  0.600   1.2563   4.20  0.960  0.956 0.026   0.000  0.0012
 15 0.689 0.0023   0.85  0.600   1.5259   4.20  1.017  0.956 0.020   0.000  0.0011
 16 0.725 0.0022   0.67  0.600   1.5259   4.20  1.072  0.956 0.019   0.000  0.0010
 17 0.760 0.0021   0.52  0.600   1.5259   4.19  1.123  0.956 0.018   0.000  0.0009
 18 0.793 0.0020   0.39  0.600   1.5260   4.18  1.172  0.956 0.018   0.000  0.0008
 19 0.824 0.0019   0.28  0.600   1.5261   4.16  1.217  0.956 0.017   0.000  0.0007
 20 0.853 0.0018   0.18  0.600   1.5264   4.12  1.259  0.956 0.017   0.000  0.0007
 21 0.879 0.0017   0.10  0.600   1.5269   4.05  1.298  0.956 0.016   0.000  0.0006
 22 0.902 0.0017   0.03  0.600   1.5277   3.94  1.332  0.956 0.016   0.000  0.0006
 23 0.924 0.0015  -0.03  0.600   1.5291   3.76  1.364  0.956 0.015   0.000  0.0005
 24 0.942 0.0014  -0.09  0.600   1.5312   3.51  1.391  0.956 0.015   0.000  0.0005
 25 0.959 0.0013  -0.13  0.600   1.5343   3.18  1.415  0.956 0.015   0.000  0.0004
 26 0.972 0.0011  -0.16  0.600   1.5390   2.76  1.435  0.956 0.015   0.000  0.0004
 27 0.983 0.0009  -0.19  0.600   1.5460   2.26  1.451  0.956 0.014   0.000  0.0003
 28 0.991 0.0007  -0.21  0.600   1.5570   1.70  1.463  0.956 0.014   0.000  0.0002
 29 0.997 0.0004  -0.22  0.600   1.5757   1.12  1.471  0.956 0.014   0.000  0.0001
 30 0.999 0.0002  -0.23  0.600   1.6084   0.62  1.475  0.956 0.014   0.000  0.0001
