
 ===========================================================================
 Free Tip Potential Formulation Solution:  Designed blade                  
                                                  Wake adv. ratio:    0.24033
 no. blades :  2            radius(m)  :   0.0762     adv. ratio:     0.11867
 thrust(N)  :   18.8        power(W)   :   814.       torque(N-m):  0.368    
 Efficiency :  0.4620       speed(m/s) :   20.000     rpm        :  21119.998
 Eff induced:  0.4938       Eff ideal  :   0.6096     Area(m^2)  :    0.01822
 Tnacel(N)  :     0.0109    Rhub(m)    :   0.0025     Rwake(m)   :    0.0030
 Tvisc(N)   :    -0.1731    Pvisc(W)   :   45.4       Mach       :    0.0588
 rho(kg/m3) :   1.22600     Vsound(m/s):  340.000     mu(kg/m-s) : 0.1780E-04
 ---------------------------------------------------------------------------
    J:    0.37282      adv:    0.11867       AF:  340.936
   Ct:    0.22936       Cp:    0.18508  (by rho,Diam,N)
   Tc:    4.20198       Pc:    9.09496  (by rho,Atip,Vel)
   CT:    0.02959       CP:    0.00760  (by rho,Atip,Vtip)
Sigma:    0.33358 CT/sigma:    0.08870

  i  r/R   c/R  beta(deg)  CL     Cd    REx10^3 Mach   effi  effp  na.u/U  solidity
  1 0.047 0.8235  80.72  0.600   0.0208  91.48  0.062  0.445 0.798   0.000  5.5446
  2 0.086 1.0345  71.62  0.600   0.0182 128.59  0.070  0.477 0.903   0.000  3.8458
  3 0.135 1.2034  61.67  0.600   0.0159 180.25  0.084  0.487 0.938   0.000  2.8453
  4 0.185 1.2466  53.21  0.600   0.0145 228.17  0.103  0.490 0.951   0.000  2.1441
  5 0.236 1.2170  46.33  0.600   0.0135 268.74  0.124  0.492 0.956   0.000  1.6446
  6 0.286 1.1560  40.79  0.600   0.0129 301.64  0.146  0.492 0.957   0.000  1.2881
  7 0.335 1.0844  36.34  0.600   0.0125 327.55  0.169  0.493 0.957   0.000  1.0300
  8 0.384 1.0114  32.73  0.600   0.0122 347.32  0.192  0.493 0.956   0.000  0.8389
  9 0.431 0.9411  29.78  0.600   0.0120 361.76  0.215  0.493 0.954   0.000  0.6944
 10 0.478 0.8747  27.33  0.600   0.0119 371.55  0.238  0.493 0.952   0.000  0.5826
 11 0.523 0.8126  25.29  0.600   0.0118 377.25  0.260  0.493 0.950   0.000  0.4945
 12 0.567 0.7546  23.56  0.600   0.0118 379.27  0.282  0.493 0.948   0.000  0.4237
 13 0.609 0.7003  22.10  0.600   0.0118 377.95  0.302  0.493 0.945   0.000  0.3660
 14 0.650 0.6492  20.84  0.600   0.0119 373.54  0.322  0.493 0.942   0.000  0.3181
 15 0.689 0.6008  19.75  0.600   0.0120 366.26  0.342  0.493 0.939   0.000  0.2778
 16 0.725 0.5548  18.82  0.600   0.0121 356.27  0.360  0.493 0.936   0.000  0.2434
 17 0.760 0.5107  18.00  0.600   0.0123 343.72  0.377  0.493 0.933   0.000  0.2138
 18 0.793 0.4683  17.29  0.600   0.0125 328.77  0.393  0.493 0.930   0.000  0.1879
 19 0.824 0.4273  16.67  0.600   0.0128 311.54  0.409  0.493 0.926   0.000  0.1650
 20 0.853 0.3874  16.12  0.600   0.0131 292.19  0.423  0.493 0.922   0.000  0.1446
 21 0.879 0.3485  15.65  0.600   0.0135 270.88  0.436  0.494 0.918   0.000  0.1262
 22 0.902 0.3104  15.23  0.600   0.0140 247.78  0.447  0.494 0.914   0.000  0.1095
 23 0.924 0.2730  14.88  0.600   0.0146 223.06  0.458  0.494 0.909   0.000  0.0941
 24 0.942 0.2362  14.57  0.600   0.0153 196.94  0.467  0.494 0.903   0.000  0.0798
 25 0.959 0.2000  14.31  0.600   0.0163 169.62  0.475  0.494 0.896   0.000  0.0664
 26 0.972 0.1644  14.10  0.600   0.0175 141.37  0.482  0.494 0.888   0.000  0.0538
 27 0.983 0.1294  13.93  0.600   0.0192 112.54  0.487  0.494 0.877   0.000  0.0419
 28 0.991 0.0955  13.81  0.600   0.0217  83.70  0.491  0.494 0.863   0.000  0.0307
 29 0.997 0.0640  13.73  0.600   0.0255  56.40  0.494  0.494 0.842   0.000  0.0204
 30 0.999 0.0414  13.68  0.600   0.0303  36.57  0.495  0.494 0.817   0.000  0.0132
