
 ===========================================================================
 Free Tip Potential Formulation Solution:  Designed blade                  
                                                  Wake adv. ratio:    0.03504
 no. blades :  3            radius(m)  :   0.0889     adv. ratio:     0.03418
 thrust(N)  :  0.545        power(W)   :   543.       torque(N-m):  0.826E-01
 Efficiency :  0.0201       speed(m/s) :   20.000     rpm        :  62855.992
 Eff induced:  0.9754       Eff ideal  :   0.9786     Area(m^2)  :    0.02481
 Tnacel(N)  :     0.0000    Rhub(m)    :   0.0025     Rwake(m)   :    0.0030
 Tvisc(N)   :    -0.0590    Pvisc(W)   :   531.       Mach       :    0.0588
 rho(kg/m3) :   1.22600     Vsound(m/s):  340.000     mu(kg/m-s) : 0.1780E-04
 ---------------------------------------------------------------------------
    J:    0.10737      adv:    0.03418       AF:    0.415
   Ct:    0.00041       Cp:    0.00217  (by rho,Diam,N)
   Tc:    0.08953       Pc:    4.46338  (by rho,Atip,Vel)
   CT:    0.00005       CP:    0.00009  (by rho,Atip,Vtip)
Sigma:    0.00053 CT/sigma:    0.09783  heliFOM:    0.00300

  i  r/R   c/R  beta(deg)  CL     Cd    REx10^3 Mach   effi  effp  na.u/U  solidity
  1 0.044 0.0051  39.42  0.600   0.1259   1.02  0.096  0.889 0.659   0.000  0.0560
  2 0.084 0.0039  23.38  0.600   0.1151   1.28  0.156  0.950 0.631   0.000  0.0225
  3 0.134 0.0028  15.33  0.600   0.1108   1.41  0.237  0.966 0.559   0.000  0.0102
  4 0.184 0.0022  11.30  0.600   0.1093   1.45  0.323  0.970 0.493   0.000  0.0056
  5 0.235 0.0017   8.89  0.600   0.1086   1.48  0.409  0.972 0.439   0.000  0.0035
  6 0.285 0.0014   7.17  0.600   0.1085   1.49  0.494  0.973 0.396   0.000  0.0024
  7 0.335 0.0012   5.93  0.600   0.1215   1.49  0.579  0.974 0.334   0.000  0.0018
  8 0.383 0.0011   4.94  0.600   0.1804   1.50  0.663  0.974 0.227   0.000  0.0014
  9 0.431 0.0010   4.07  0.600   0.3164   1.50  0.744  0.975 0.128   0.000  0.0011
 10 0.478 0.0009   3.25  0.600   0.5555   1.50  0.824  0.975 0.068   0.000  0.0009
 11 0.523 0.0008   2.41  0.600   0.9181   1.50  0.902  0.975 0.038   0.000  0.0007
 12 0.567 0.0007   1.32  0.600   1.4186   1.50  0.977  0.975 0.022   0.000  0.0006
 13 0.609 0.0007   0.67  0.600   1.5622   1.50  1.050  0.975 0.018   0.000  0.0005
 14 0.650 0.0006   0.47  0.600   1.5622   1.50  1.120  0.975 0.017   0.000  0.0005
 15 0.688 0.0006   0.29  0.600   1.5621   1.51  1.186  0.975 0.017   0.000  0.0004
 16 0.725 0.0006   0.15  0.600   1.5621   1.51  1.250  0.975 0.016   0.000  0.0004
 17 0.760 0.0006   0.02  0.600   1.5621   1.51  1.310  0.975 0.015   0.000  0.0003
 18 0.793 0.0005  -0.09  0.600   1.5621   1.51  1.367  0.975 0.015   0.000  0.0003
 19 0.824 0.0005  -0.19  0.600   1.5621   1.51  1.419  0.975 0.014   0.000  0.0003
 20 0.852 0.0005  -0.27  0.600   1.5622   1.50  1.468  0.975 0.014   0.000  0.0003
 21 0.879 0.0005  -0.34  0.600   1.5623   1.50  1.513  0.975 0.014   0.000  0.0003
 22 0.902 0.0005  -0.40  0.600   1.5625   1.49  1.554  0.975 0.013   0.000  0.0002
 23 0.924 0.0004  -0.45  0.600   1.5632   1.47  1.591  0.975 0.013   0.000  0.0002
 24 0.942 0.0004  -0.49  0.600   1.5646   1.42  1.623  0.975 0.013   0.000  0.0002
 25 0.959 0.0004  -0.53  0.600   1.5672   1.34  1.651  0.975 0.012   0.000  0.0002
 26 0.972 0.0003  -0.56  0.600   1.5718   1.21  1.674  0.975 0.012   0.000  0.0002
 27 0.983 0.0003  -0.58  0.600   1.5798   1.03  1.693  0.975 0.012   0.000  0.0001
 28 0.991 0.0002  -0.60  0.600   1.5934   0.80  1.707  0.975 0.012   0.000  0.0001
 29 0.997 0.0001  -0.61  0.600   1.6177   0.53  1.716  0.975 0.012   0.000  0.0001
 30 0.999 0.0001  -0.61  0.600   1.6617   0.29  1.721  0.975 0.011   0.000  0.0000
