
 ===========================================================================
 Free Tip Potential Formulation Solution:  Designed blade                  
                                                  Wake adv. ratio:    0.19324
 no. blades :  2            radius(m)  :   0.1016     adv. ratio:     0.16284
 thrust(N)  :   4.35        power(W)   :   118.       torque(N-m):  0.979E-01
 Efficiency :  0.7343       speed(m/s) :   20.000     rpm        :  11544.000
 Eff induced:  0.8426       Eff ideal  :   0.8914     Area(m^2)  :    0.03241
 Tnacel(N)  :     0.0001    Rhub(m)    :   0.0025     Rwake(m)   :    0.0026
 Tvisc(N)   :    -0.0619    Pvisc(W)   :   13.8       Mach       :    0.0588
 rho(kg/m3) :   1.22600     Vsound(m/s):  340.000     mu(kg/m-s) : 0.1780E-04
 ---------------------------------------------------------------------------
    J:    0.51157      adv:    0.16284       AF:   76.075
   Ct:    0.05618       Cp:    0.03914  (by rho,Diam,N)
   Tc:    0.54671       Pc:    0.74450  (by rho,Atip,Vel)
   CT:    0.00725       CP:    0.00161  (by rho,Atip,Vtip)
Sigma:    0.07466 CT/sigma:    0.09709

  i  r/R   c/R  beta(deg)  CL     Cd    REx10^3 Mach   effi  effp  na.u/U  solidity
  1 0.041 0.1270  78.72  0.600   0.0397  18.33  0.061  0.829 0.680   0.000  0.9808
  2 0.083 0.1860  67.59  0.600   0.0330  29.13  0.066  0.839 0.851   0.000  0.7168
  3 0.133 0.2339  56.22  0.600   0.0284  42.10  0.076  0.841 0.902   0.000  0.5605
  4 0.184 0.2529  47.15  0.600   0.0259  53.18  0.088  0.842 0.917   0.000  0.4379
  5 0.235 0.2535  40.19  0.600   0.0244  62.01  0.103  0.842 0.921   0.000  0.3439
  6 0.285 0.2448  34.85  0.600   0.0234  68.85  0.118  0.842 0.921   0.000  0.2735
  7 0.335 0.2321  30.71  0.600   0.0227  74.04  0.134  0.842 0.918   0.000  0.2209
  8 0.383 0.2181  27.45  0.600   0.0222  77.90  0.150  0.842 0.914   0.000  0.1812
  9 0.431 0.2041  24.83  0.600   0.0219  80.65  0.166  0.843 0.910   0.000  0.1507
 10 0.477 0.1905  22.70  0.600   0.0217  82.49  0.182  0.843 0.904   0.000  0.1270
 11 0.523 0.1777  20.95  0.600   0.0216  83.52  0.198  0.843 0.899   0.000  0.1082
 12 0.567 0.1657  19.48  0.600   0.0216  83.86  0.213  0.843 0.893   0.000  0.0931
 13 0.609 0.1544  18.24  0.600   0.0216  83.54  0.227  0.843 0.888   0.000  0.0807
 14 0.649 0.1437  17.19  0.600   0.0217  82.62  0.242  0.843 0.882   0.000  0.0704
 15 0.688 0.1336  16.29  0.600   0.0219  81.13  0.255  0.843 0.876   0.000  0.0618
 16 0.725 0.1238  15.51  0.600   0.0221  79.07  0.268  0.843 0.870   0.000  0.0543
 17 0.760 0.1145  14.84  0.600   0.0224  76.46  0.281  0.843 0.864   0.000  0.0479
 18 0.793 0.1054  14.26  0.600   0.0228  73.32  0.292  0.843 0.857   0.000  0.0423
 19 0.824 0.0966  13.76  0.600   0.0232  69.66  0.303  0.843 0.850   0.000  0.0373
 20 0.852 0.0879  13.32  0.600   0.0238  65.51  0.313  0.843 0.843   0.000  0.0328
 21 0.879 0.0793  12.94  0.600   0.0245  60.88  0.323  0.843 0.836   0.000  0.0287
 22 0.902 0.0709  12.61  0.600   0.0254  55.82  0.331  0.843 0.827   0.000  0.0250
 23 0.924 0.0625  12.33  0.600   0.0265  50.35  0.339  0.843 0.818   0.000  0.0215
 24 0.942 0.0542  12.09  0.600   0.0278  44.53  0.345  0.843 0.808   0.000  0.0183
 25 0.959 0.0460  11.89  0.600   0.0295  38.40  0.351  0.843 0.796   0.000  0.0153
 26 0.972 0.0378  11.73  0.600   0.0317  32.02  0.356  0.843 0.782   0.000  0.0124
 27 0.983 0.0298  11.61  0.600   0.0348  25.48  0.360  0.843 0.764   0.000  0.0096
 28 0.991 0.0219  11.51  0.600   0.0392  18.90  0.363  0.843 0.740   0.000  0.0070
 29 0.997 0.0145  11.45  0.600   0.0461  12.60  0.365  0.843 0.706   0.000  0.0046
 30 0.999 0.0090  11.42  0.600   0.0557   7.85  0.366  0.843 0.664   0.000  0.0029
