
 ===========================================================================
 Free Tip Potential Formulation Solution:  Designed blade                  
                                                  Wake adv. ratio:    0.14084
 no. blades :  2            radius(m)  :   0.1016     adv. ratio:     0.08859
 thrust(N)  :   21.2        power(W)   :   814.       torque(N-m):  0.366    
 Efficiency :  0.5221       speed(m/s) :   20.000     rpm        :  21220.002
 Eff induced:  0.6290       Eff ideal  :   0.6859     Area(m^2)  :    0.03241
 Tnacel(N)  :     0.0007    Rhub(m)    :   0.0025     Rwake(m)   :    0.0026
 Tvisc(N)   :    -0.1829    Pvisc(W)   :   132.       Mach       :    0.0588
 rho(kg/m3) :   1.22600     Vsound(m/s):  340.000     mu(kg/m-s) : 0.1780E-04
 ---------------------------------------------------------------------------
    J:    0.27830      adv:    0.08859       AF:  113.200
   Ct:    0.08124       Cp:    0.04330  (by rho,Diam,N)
   Tc:    2.67123       Pc:    5.11591  (by rho,Atip,Vel)
   CT:    0.01048       CP:    0.00178  (by rho,Atip,Vtip)
Sigma:    0.10927 CT/sigma:    0.09592  heliFOM:    0.42669

  i  r/R   c/R  beta(deg)  CL     Cd    REx10^3 Mach   effi  effp  na.u/U  solidity
  1 0.041 0.3757  74.54  0.600   0.0251  57.34  0.064  0.619 0.845   0.000  2.9009
  2 0.083 0.4806  60.37  0.600   0.0210  89.75  0.078  0.627 0.921   0.000  1.8523
  3 0.133 0.5104  47.40  0.600   0.0184 125.45  0.103  0.628 0.940   0.000  1.2229
  4 0.184 0.4850  38.16  0.600   0.0170 153.09  0.133  0.629 0.944   0.000  0.8399
  5 0.235 0.4447  31.66  0.600   0.0161 173.36  0.164  0.629 0.942   0.000  0.6034
  6 0.285 0.4039  26.97  0.600   0.0156 188.04  0.196  0.629 0.938   0.000  0.4513
  7 0.335 0.3669  23.47  0.600   0.0153 198.63  0.228  0.629 0.933   0.000  0.3491
  8 0.383 0.3344  20.78  0.600   0.0151 206.20  0.259  0.629 0.927   0.000  0.2778
  9 0.431 0.3062  18.67  0.600   0.0149 211.49  0.290  0.629 0.922   0.000  0.2262
 10 0.477 0.2817  16.97  0.600   0.0148 214.97  0.321  0.629 0.916   0.000  0.1878
 11 0.523 0.2602  15.57  0.600   0.0148 216.96  0.350  0.629 0.910   0.000  0.1584
 12 0.567 0.2412  14.41  0.600   0.0147 217.64  0.379  0.629 0.905   0.000  0.1355
 13 0.609 0.2241  13.43  0.600   0.0148 217.09  0.407  0.629 0.899   0.000  0.1172
 14 0.649 0.2086  12.59  0.600   0.0148 215.34  0.434  0.629 0.893   0.000  0.1022
 15 0.688 0.1942  11.85  0.600   0.0149 212.36  0.460  0.629 0.887   0.000  0.0898
 16 0.725 0.1807  11.19  0.600   0.0150 208.10  0.484  0.629 0.881   0.000  0.0793
 17 0.760 0.1678  10.62  0.600   0.0157 202.49  0.507  0.629 0.872   0.000  0.0703
 18 0.793 0.1553  10.14  0.600   0.0175 195.48  0.529  0.629 0.854   0.000  0.0623
 19 0.824 0.1431   9.73  0.600   0.0208 187.01  0.549  0.629 0.826   0.000  0.0553
 20 0.852 0.1310   9.36  0.600   0.0257 177.06  0.568  0.629 0.788   0.000  0.0489
 21 0.879 0.1189   9.04  0.600   0.0322 165.64  0.585  0.629 0.743   0.000  0.0431
 22 0.902 0.1068   8.77  0.600   0.0400 152.79  0.601  0.629 0.694   0.000  0.0377
 23 0.924 0.0947   8.53  0.600   0.0488 138.58  0.615  0.629 0.644   0.000  0.0326
 24 0.942 0.0825   8.32  0.600   0.0583 123.13  0.628  0.629 0.597   0.000  0.0279
 25 0.959 0.0702   8.15  0.600   0.0680 106.58  0.638  0.629 0.555   0.000  0.0233
 26 0.972 0.0579   8.01  0.600   0.0776  89.13  0.647  0.629 0.518   0.000  0.0190
 27 0.983 0.0456   7.89  0.600   0.0867  71.00  0.654  0.629 0.487   0.000  0.0148
 28 0.991 0.0335   7.81  0.600   0.0954  52.57  0.660  0.629 0.461   0.000  0.0108
 29 0.997 0.0220   7.76  0.600   0.1042  34.67  0.663  0.629 0.438   0.000  0.0070
 30 0.999 0.0130   7.73  0.600   0.1134  20.57  0.665  0.629 0.416   0.000  0.0041
