
 ===========================================================================
 Free Tip Potential Formulation Solution:  Designed blade                  
                                                  Wake adv. ratio:    0.03038
 no. blades :  3            radius(m)  :   0.1016     adv. ratio:     0.02991
 thrust(N)  :  0.450        power(W)   :   543.       torque(N-m):  0.826E-01
 Efficiency :  0.0166       speed(m/s) :   20.000     rpm        :  62855.992
 Eff induced:  0.9843       Eff ideal  :   0.9862     Area(m^2)  :    0.03241
 Tnacel(N)  :     0.0000    Rhub(m)    :   0.0025     Rwake(m)   :    0.0030
 Tvisc(N)   :    -0.0479    Pvisc(W)   :   533.       Mach       :    0.0588
 rho(kg/m3) :   1.22600     Vsound(m/s):  340.000     mu(kg/m-s) : 0.1780E-04
 ---------------------------------------------------------------------------
    J:    0.09395      adv:    0.02991       AF:    0.201
   Ct:    0.00020       Cp:    0.00111  (by rho,Diam,N)
   Tc:    0.05664       Pc:    3.41727  (by rho,Atip,Vel)
   CT:    0.00003       CP:    0.00005  (by rho,Atip,Vtip)
Sigma:    0.00026 CT/sigma:    0.09853  heliFOM:    0.00197

  i  r/R    c/R  beta(deg)   CL      Cd    RE    Mach   effi  effp  na.u/U  solidity
  1 0.041 0.0028  37.12  0.600   0.1494  66.48  0.100  0.905 0.610   0.000  0.0323
  2 0.083 0.0020  20.87  0.600   0.1368  82.94  0.173  0.964 0.566   0.000  0.0117
  3 0.133 0.0014  13.48  0.600   0.1326  89.71  0.268  0.977 0.483   0.000  0.0051
  4 0.184 0.0011   9.86  0.600   0.1312  92.10  0.366  0.980 0.415   0.000  0.0027
  5 0.235 0.0008   7.64  0.600   0.1306  93.12  0.465  0.982 0.363   0.000  0.0017
  6 0.285 0.0007   6.08  0.600   0.1387  93.64  0.563  0.983 0.308   0.000  0.0012
  7 0.335 0.0006   4.91  0.600   0.2003  93.94  0.661  0.983 0.207   0.000  0.0009
  8 0.383 0.0005   3.91  0.600   0.3664  94.12  0.756  0.983 0.109   0.000  0.0007
  9 0.431 0.0005   2.95  0.600   0.6811  94.25  0.850  0.984 0.054   0.000  0.0005
 10 0.477 0.0004   1.88  0.600   1.1810  94.34  0.941  0.984 0.027   0.000  0.0004
 11 0.523 0.0004   0.71  0.600   1.5843  94.40  1.030  0.984 0.018   0.000  0.0004
 12 0.567 0.0004   0.45  0.600   1.5842  94.45  1.116  0.984 0.017   0.000  0.0003
 13 0.609 0.0003   0.24  0.600   1.5842  94.48  1.199  0.984 0.016   0.000  0.0003
 14 0.649 0.0003   0.06  0.600   1.5842  94.51  1.279  0.984 0.015   0.000  0.0002
 15 0.688 0.0003  -0.09  0.600   1.5842  94.54  1.355  0.984 0.015   0.000  0.0002
 16 0.725 0.0003  -0.22  0.600   1.5842  94.55  1.428  0.984 0.014   0.000  0.0002
 17 0.760 0.0003  -0.33  0.600   1.5842  94.57  1.497  0.984 0.013   0.000  0.0002
 18 0.793 0.0003  -0.43  0.600   1.5842  94.58  1.561  0.984 0.013   0.000  0.0002
 19 0.824 0.0002  -0.51  0.600   1.5842  94.58  1.622  0.984 0.012   0.000  0.0001
 20 0.852 0.0002  -0.58  0.600   1.5842  94.55  1.678  0.984 0.012   0.000  0.0001
 21 0.879 0.0002  -0.64  0.600   1.5842  94.43  1.729  0.984 0.012   0.000  0.0001
 22 0.902 0.0002  -0.69  0.600   1.5844  94.09  1.776  0.984 0.011   0.000  0.0001
 23 0.924 0.0002  -0.74  0.600   1.5849  93.17  1.818  0.984 0.011   0.000  0.0001
 24 0.942 0.0002  -0.77  0.600   1.5861  91.06  1.854  0.984 0.011   0.000  0.0001
 25 0.959 0.0002  -0.80  0.600   1.5887  86.83  1.886  0.984 0.011   0.000  0.0001
 26 0.972 0.0002  -0.83  0.600   1.5935  79.43  1.913  0.984 0.011   0.000  0.0001
 27 0.983 0.0001  -0.85  0.600   1.6023  68.18  1.934  0.984 0.010   0.000  0.0001
 28 0.991 0.0001  -0.86  0.600   1.6177  53.20  1.950  0.984 0.010   0.000  0.0001
 29 0.997 0.0001  -0.87  0.600   1.6458  35.79  1.961  0.984 0.010   0.000  0.0000
 30 0.999 0.0000  -0.88  0.600   1.6972  19.75  1.966  0.984 0.010   0.000  0.0000
