
 ===========================================================================
 Free Tip Potential Formulation Solution:  Designed blade                  
                                                  Wake adv. ratio:    0.26628
 no. blades :  2            radius(m)  :   0.1270     adv. ratio:     0.20797
 thrust(N)  :   8.69        power(W)   :   242.       torque(N-m):  0.319    
 Efficiency :  0.7186       speed(m/s) :   20.000     rpm        :   7231.000
 Eff induced:  0.7810       Eff ideal  :   0.8682     Area(m^2)  :    0.05064
 Tnacel(N)  :     0.0010    Rhub(m)    :   0.0030     Rwake(m)   :    0.0035
 Tvisc(N)   :    -0.1246    Pvisc(W)   :   16.1       Mach       :    0.0588
 rho(kg/m3) :   1.22600     Vsound(m/s):  340.000     mu(kg/m-s) : 0.1780E-04
 ---------------------------------------------------------------------------
    J:    0.65335      adv:    0.20797       AF:  160.363
   Ct:    0.11722       Cp:    0.10658  (by rho,Diam,N)
   Tc:    0.69929       Pc:    0.97308  (by rho,Atip,Vel)
   CT:    0.01512       CP:    0.00438  (by rho,Atip,Vtip)
Sigma:    0.15925 CT/sigma:    0.09496

  i  r/R   c/R  beta(deg)  CL     Cd    REx10^3 Mach   effi  effp  na.u/U  solidity
  1 0.041 0.1841  82.24  0.600   0.0314  32.78  0.060  0.730 0.644   0.000  1.4464
  2 0.082 0.2838  73.62  0.600   0.0259  53.23  0.063  0.769 0.849   0.000  1.0979
  3 0.133 0.3820  64.27  0.600   0.0221  78.82  0.069  0.776 0.909   0.000  0.9166
  4 0.184 0.4409  56.14  0.600   0.0199 102.17  0.078  0.779 0.930   0.000  0.7640
  5 0.235 0.4664  49.36  0.600   0.0186 122.04  0.088  0.780 0.939   0.000  0.6331
  6 0.285 0.4697  43.79  0.600   0.0177 138.33  0.099  0.780 0.943   0.000  0.5249
  7 0.334 0.4598  39.24  0.600   0.0170 151.30  0.111  0.780 0.944   0.000  0.4376
  8 0.383 0.4425  35.50  0.600   0.0166 161.31  0.123  0.780 0.943   0.000  0.3676
  9 0.431 0.4214  32.41  0.600   0.0163 168.70  0.135  0.781 0.942   0.000  0.3113
 10 0.477 0.3986  29.84  0.600   0.0161 173.79  0.147  0.781 0.940   0.000  0.2657
 11 0.523 0.3753  27.68  0.600   0.0160 176.82  0.158  0.781 0.937   0.000  0.2285
 12 0.567 0.3520  25.85  0.600   0.0160 178.03  0.170  0.781 0.935   0.000  0.1978
 13 0.609 0.3292  24.29  0.600   0.0160 177.56  0.181  0.781 0.932   0.000  0.1721
 14 0.649 0.3070  22.96  0.600   0.0161 175.56  0.192  0.781 0.928   0.000  0.1505
 15 0.688 0.2854  21.80  0.600   0.0162 172.15  0.203  0.781 0.925   0.000  0.1320
 16 0.725 0.2645  20.81  0.600   0.0164 167.42  0.213  0.781 0.922   0.000  0.1161
 17 0.760 0.2441  19.94  0.600   0.0166 161.46  0.222  0.781 0.918   0.000  0.1022
 18 0.793 0.2243  19.19  0.600   0.0169 154.35  0.231  0.781 0.914   0.000  0.0900
 19 0.824 0.2049  18.53  0.600   0.0173 146.17  0.240  0.781 0.910   0.000  0.0792
 20 0.852 0.1860  17.96  0.600   0.0177 137.01  0.248  0.781 0.905   0.000  0.0695
 21 0.879 0.1674  17.47  0.600   0.0183 126.94  0.255  0.781 0.900   0.000  0.0607
 22 0.902 0.1492  17.04  0.600   0.0190 116.04  0.261  0.781 0.895   0.000  0.0526
 23 0.924 0.1313  16.68  0.600   0.0198 104.41  0.267  0.781 0.889   0.000  0.0453
 24 0.942 0.1137  16.37  0.600   0.0208  92.15  0.272  0.781 0.882   0.000  0.0384
 25 0.959 0.0963  16.11  0.600   0.0221  79.35  0.277  0.781 0.874   0.000  0.0320
 26 0.972 0.0792  15.90  0.600   0.0237  66.14  0.281  0.781 0.864   0.000  0.0259
 27 0.983 0.0624  15.74  0.600   0.0260  52.68  0.284  0.781 0.852   0.000  0.0202
 28 0.991 0.0461  15.62  0.600   0.0292  39.24  0.286  0.781 0.835   0.000  0.0148
 29 0.997 0.0311  15.53  0.600   0.0342  26.61  0.288  0.781 0.812   0.000  0.0099
 30 0.999 0.0205  15.49  0.600   0.0403  17.59  0.288  0.781 0.784   0.000  0.0065
