
 ===========================================================================
 Ducted Potential Formulation Solution:  Designed blade                  
 Vdisk/Vslip:    1.10000                         Wake adv. ratio:    0.26754
 no. blades :  2            radius(m)  :   0.1270     adv. ratio:     0.20797
 thrust(N)  :   8.65        power(W)   :   242.       torque(N-m):  0.319    
 Efficiency :  0.7152       speed(m/s) :   20.000     rpm        :   7231.000
 Eff induced:  0.7774       Eff ideal  :   0.8687     Area(m^2)  :    0.05064
 Tnacel(N)  :     1.0331    Rhub(m)    :   0.0030     Rwake(m)   :    0.0035
 Tvisc(N)   :    -0.1406    Pvisc(W)   :   15.7       Mach       :    0.0588
 rho(kg/m3) :   1.22600     Vsound(m/s):  340.000     mu(kg/m-s) : 0.1780E-04
 ---------------------------------------------------------------------------
    J:    0.65335      adv:    0.20797       AF:  143.898
   Ct:    0.11666       Cp:    0.10658  (by rho,Diam,N)
   Tc:    0.69592       Pc:    0.97308  (by rho,Atip,Vel)
   CT:    0.01505       CP:    0.00438  (by rho,Atip,Vtip)
Sigma:    0.11958 CT/sigma:    0.12585

  i  r/R   c/R  beta(deg)  CL     Cd    REx10^3 Mach   effi  effp  na.u/U  solidity
  1 0.041 0.4698 115.93  0.600   0.0184 125.51  0.090 -2.158 1.081   0.000  3.6907
  2 0.082 0.5192  91.58  0.600   0.0184 125.51  0.081  0.013 3.038   0.000  2.0087
  3 0.133 0.5007  75.36  0.600   0.0184 125.51  0.084  0.474 0.881   0.000  1.2015
  4 0.184 0.4636  63.96  0.600   0.0184 125.51  0.091  0.614 0.925   0.000  0.8035
  5 0.235 0.4233  55.32  0.600   0.0184 125.51  0.100  0.673 0.937   0.000  0.5746
  6 0.285 0.3851  48.59  0.600   0.0184 125.51  0.110  0.704 0.940   0.000  0.4304
  7 0.334 0.3511  43.24  0.600   0.0184 125.51  0.120  0.721 0.941   0.000  0.3341
  8 0.383 0.3214  38.94  0.600   0.0184 125.51  0.131  0.732 0.939   0.000  0.2670
  9 0.431 0.2959  35.43  0.600   0.0184 125.51  0.143  0.740 0.937   0.000  0.2186
 10 0.477 0.2740  32.54  0.600   0.0184 125.51  0.154  0.745 0.935   0.000  0.1827
 11 0.523 0.2552  30.12  0.600   0.0184 125.51  0.165  0.749 0.932   0.000  0.1554
 12 0.567 0.2391  28.09  0.600   0.0184 125.51  0.177  0.752 0.929   0.000  0.1343
 13 0.609 0.2252  26.36  0.600   0.0184 125.51  0.187  0.754 0.926   0.000  0.1177
 14 0.649 0.2131  24.89  0.600   0.0184 125.51  0.198  0.755 0.923   0.000  0.1044
 15 0.688 0.2026  23.62  0.600   0.0184 125.51  0.208  0.757 0.921   0.000  0.0937
 16 0.725 0.1935  22.52  0.600   0.0184 125.51  0.218  0.758 0.918   0.000  0.0849
 17 0.760 0.1856  21.57  0.600   0.0184 125.51  0.227  0.759 0.915   0.000  0.0777
 18 0.793 0.1786  20.75  0.600   0.0184 125.51  0.236  0.759 0.913   0.000  0.0717
 19 0.824 0.1726  20.03  0.600   0.0184 125.51  0.245  0.760 0.910   0.000  0.0667
 20 0.852 0.1673  19.41  0.600   0.0184 125.51  0.252  0.761 0.908   0.000  0.0625
 21 0.879 0.1628  18.87  0.600   0.0184 125.51  0.259  0.761 0.906   0.000  0.0590
 22 0.902 0.1588  18.41  0.600   0.0184 125.51  0.266  0.761 0.904   0.000  0.0560
 23 0.924 0.1554  18.01  0.600   0.0184 125.51  0.272  0.762 0.902   0.000  0.0536
 24 0.942 0.1526  17.67  0.600   0.0184 125.51  0.277  0.762 0.901   0.000  0.0515
 25 0.959 0.1502  17.39  0.600   0.0184 125.51  0.281  0.762 0.900   0.000  0.0499
 26 0.972 0.1482  17.16  0.600   0.0184 125.51  0.285  0.762 0.899   0.000  0.0485
 27 0.983 0.1467  16.98  0.600   0.0184 125.51  0.288  0.762 0.898   0.000  0.0475
 28 0.991 0.1456  16.85  0.600   0.0184 125.51  0.290  0.762 0.897   0.000  0.0467
 29 0.997 0.1448  16.76  0.600   0.0184 125.51  0.291  0.762 0.897   0.000  0.0463
 30 0.999 0.1444  16.72  0.600   0.0184 125.51  0.292  0.762 0.896   0.000  0.0460
