
 ===========================================================================
 Free Tip Potential Formulation Solution:  Designed blade                  
                                                  Wake adv. ratio:    0.14461
 no. blades :  2            radius(m)  :   0.1270     adv. ratio:     0.13027
 thrust(N)  :   4.35        power(W)   :   118.       torque(N-m):  0.979E-01
 Efficiency :  0.7346       speed(m/s) :   20.000     rpm        :  11543.999
 Eff induced:  0.9008       Eff ideal  :   0.9251     Area(m^2)  :    0.05064
 Tnacel(N)  :     0.0002    Rhub(m)    :   0.0030     Rwake(m)   :    0.0035
 Tvisc(N)   :    -0.0565    Pvisc(W)   :   20.6       Mach       :    0.0588
 rho(kg/m3) :   1.22600     Vsound(m/s):  340.000     mu(kg/m-s) : 0.1780E-04
 ---------------------------------------------------------------------------
    J:    0.40925      adv:    0.13027       AF:   31.111
   Ct:    0.02302       Cp:    0.01283  (by rho,Diam,N)
   Tc:    0.35003       Pc:    0.47648  (by rho,Atip,Vel)
   CT:    0.00297       CP:    0.00053  (by rho,Atip,Vtip)
Sigma:    0.03019 CT/sigma:    0.09837

  i  r/R   c/R  beta(deg)  CL     Cd    REx10^3 Mach   effi  effp  na.u/U  solidity
  1 0.041 0.0723  75.18  0.600   0.0452  13.25  0.062  0.842 0.714   0.000  0.5683
  2 0.082 0.1015  61.12  0.600   0.0376  20.98  0.069  0.886 0.859   0.000  0.3927
  3 0.133 0.1182  48.20  0.600   0.0328  29.47  0.084  0.896 0.896   0.000  0.2836
  4 0.184 0.1195  38.93  0.600   0.0302  36.08  0.102  0.898 0.903   0.000  0.2070
  5 0.235 0.1138  32.37  0.600   0.0287  40.96  0.121  0.899 0.900   0.000  0.1545
  6 0.285 0.1059  27.61  0.600   0.0278  44.52  0.141  0.900 0.895   0.000  0.1184
  7 0.334 0.0978  24.07  0.600   0.0272  47.09  0.162  0.900 0.887   0.000  0.0931
  8 0.383 0.0901  21.35  0.600   0.0268  48.94  0.183  0.900 0.879   0.000  0.0748
  9 0.431 0.0831  19.21  0.600   0.0265  50.24  0.203  0.900 0.871   0.000  0.0614
 10 0.477 0.0769  17.49  0.600   0.0263  51.09  0.223  0.900 0.862   0.000  0.0513
 11 0.523 0.0713  16.08  0.600   0.0262  51.57  0.243  0.900 0.853   0.000  0.0434
 12 0.567 0.0663  14.92  0.600   0.0262  51.74  0.262  0.901 0.844   0.000  0.0372
 13 0.609 0.0617  13.94  0.600   0.0262  51.60  0.281  0.901 0.836   0.000  0.0323
 14 0.649 0.0575  13.11  0.600   0.0263  51.16  0.299  0.901 0.827   0.000  0.0282
 15 0.688 0.0536  12.41  0.600   0.0265  50.43  0.316  0.901 0.819   0.000  0.0248
 16 0.725 0.0499  11.80  0.600   0.0267  49.39  0.333  0.901 0.810   0.000  0.0219
 17 0.760 0.0464  11.27  0.600   0.0270  48.03  0.348  0.901 0.802   0.000  0.0194
 18 0.793 0.0429  10.81  0.600   0.0274  46.34  0.363  0.901 0.793   0.000  0.0172
 19 0.824 0.0395  10.41  0.600   0.0279  44.30  0.377  0.901 0.784   0.000  0.0153
 20 0.852 0.0362  10.07  0.600   0.0285  41.91  0.389  0.901 0.775   0.000  0.0135
 21 0.879 0.0329   9.77  0.600   0.0293  39.18  0.401  0.901 0.765   0.000  0.0119
 22 0.902 0.0295   9.51  0.600   0.0302  36.12  0.412  0.901 0.755   0.000  0.0104
 23 0.924 0.0261   9.28  0.600   0.0314  32.74  0.421  0.901 0.743   0.000  0.0090
 24 0.942 0.0228   9.09  0.600   0.0330  29.08  0.430  0.901 0.730   0.000  0.0077
 25 0.959 0.0194   8.92  0.600   0.0349  25.16  0.437  0.901 0.715   0.000  0.0064
 26 0.972 0.0160   8.79  0.600   0.0375  21.03  0.443  0.901 0.697   0.000  0.0052
 27 0.983 0.0126   8.68  0.600   0.0411  16.75  0.448  0.901 0.675   0.000  0.0041
 28 0.991 0.0092   8.61  0.600   0.0464  12.40  0.451  0.901 0.646   0.000  0.0030
 29 0.997 0.0061   8.56  0.600   0.0547   8.18  0.454  0.901 0.606   0.000  0.0019
 30 0.999 0.0036   8.53  0.600   0.0674   4.87  0.455  0.901 0.554   0.000  0.0011
