
 ===========================================================================
 Free Tip Potential Formulation Solution:  Designed blade                  
                                                  Wake adv. ratio:    0.07447
 no. blades :  2            radius(m)  :   0.1270     adv. ratio:     0.06914
 thrust(N)  :   3.51        power(W)   :   260.       torque(N-m):  0.114    
 Efficiency :  0.2693       speed(m/s) :   20.000     rpm        :  21750.000
 Eff induced:  0.9285       Eff ideal  :   0.9379     Area(m^2)  :    0.05064
 Tnacel(N)  :     0.0001    Rhub(m)    :   0.0030     Rwake(m)   :    0.0035
 Tvisc(N)   :    -0.0787    Pvisc(W)   :   183.       Mach       :    0.0588
 rho(kg/m3) :   1.22600     Vsound(m/s):  340.000     mu(kg/m-s) : 0.1780E-04
 ---------------------------------------------------------------------------
    J:    0.21721      adv:    0.06914       AF:    7.253
   Ct:    0.00523       Cp:    0.00422  (by rho,Diam,N)
   Tc:    0.28217       Pc:    1.04793  (by rho,Atip,Vel)
   CT:    0.00067       CP:    0.00017  (by rho,Atip,Vtip)
Sigma:    0.00677 CT/sigma:    0.09962  heliFOM:    0.07152

  i  r/R   c/R  beta(deg)  CL     Cd    REx10^3 Mach   effi  effp  na.u/U  solidity
  1 0.041 0.0421  62.27  0.600   0.0539   8.52  0.068  0.868 0.796   0.000  0.3304
  2 0.082 0.0459  42.88  0.600   0.0463  12.48  0.091  0.914 0.857   0.000  0.1776
  3 0.133 0.0415  30.01  0.600   0.0422  15.70  0.127  0.923 0.854   0.000  0.0996
  4 0.184 0.0355  22.75  0.600   0.0403  17.60  0.167  0.926 0.835   0.000  0.0614
  5 0.235 0.0303  18.27  0.600   0.0393  18.73  0.208  0.927 0.812   0.000  0.0411
  6 0.285 0.0262  15.27  0.600   0.0388  19.42  0.249  0.927 0.788   0.000  0.0293
  7 0.334 0.0230  13.12  0.600   0.0384  19.85  0.291  0.928 0.766   0.000  0.0219
  8 0.383 0.0204  11.52  0.600   0.0382  20.13  0.331  0.928 0.744   0.000  0.0170
  9 0.431 0.0184  10.27  0.600   0.0381  20.32  0.371  0.928 0.724   0.000  0.0136
 10 0.477 0.0168   9.27  0.600   0.0380  20.45  0.410  0.928 0.704   0.000  0.0112
 11 0.523 0.0154   8.42  0.600   0.0379  20.53  0.449  0.928 0.687   0.000  0.0094
 12 0.567 0.0143   7.68  0.600   0.0379  20.58  0.486  0.928 0.670   0.000  0.0080
 13 0.609 0.0133   7.06  0.600   0.0393  20.60  0.521  0.928 0.646   0.000  0.0069
 14 0.649 0.0125   6.55  0.600   0.0443  20.58  0.556  0.928 0.603   0.000  0.0061
 15 0.688 0.0117   6.10  0.600   0.0550  20.52  0.589  0.928 0.536   0.000  0.0054
 16 0.725 0.0111   5.71  0.600   0.0723  20.40  0.620  0.928 0.455   0.000  0.0049
 17 0.760 0.0105   5.35  0.600   0.0969  20.20  0.649  0.928 0.372   0.000  0.0044
 18 0.793 0.0099   5.03  0.600   0.1287  19.90  0.677  0.928 0.298   0.000  0.0040
 19 0.824 0.0093   4.74  0.600   0.1674  19.46  0.703  0.928 0.238   0.000  0.0036
 20 0.852 0.0087   4.48  0.600   0.2119  18.86  0.728  0.928 0.192   0.000  0.0033
 21 0.879 0.0081   4.25  0.600   0.2610  18.06  0.750  0.928 0.157   0.000  0.0029
 22 0.902 0.0074   4.03  0.600   0.3130  17.05  0.770  0.928 0.131   0.000  0.0026
 23 0.924 0.0067   3.84  0.600   0.3663  15.79  0.788  0.928 0.111   0.000  0.0023
 24 0.942 0.0060   3.68  0.600   0.4190  14.30  0.804  0.928 0.096   0.000  0.0020
 25 0.959 0.0052   3.53  0.600   0.4693  12.58  0.818  0.928 0.085   0.000  0.0017
 26 0.972 0.0043   3.41  0.600   0.5157  10.66  0.829  0.928 0.076   0.000  0.0014
 27 0.983 0.0034   3.31  0.600   0.5570   8.57  0.838  0.928 0.070   0.000  0.0011
 28 0.991 0.0025   3.24  0.600   0.5927   6.37  0.845  0.928 0.065   0.000  0.0008
 29 0.997 0.0017   3.19  0.600   0.6238   4.17  0.850  0.928 0.062   0.000  0.0005
 30 0.999 0.0009   3.16  0.600   0.6527   2.33  0.852  0.928 0.059   0.000  0.0003
