
 ===========================================================================
 Ducted Potential Formulation Solution:  Designed blade                  
 Vdisk/Vslip:    1.10000                         Wake adv. ratio:    0.07971
 no. blades :  2            radius(m)  :   0.1270     adv. ratio:     0.06914
 thrust(N)  :   2.96        power(W)   :   260.       torque(N-m):  0.114    
 Efficiency :  0.2277       speed(m/s) :   20.000     rpm        :  21750.000
 Eff induced:  0.8674       Eff ideal  :   0.9466     Area(m^2)  :    0.05064
 Tnacel(N)  :     0.1537    Rhub(m)    :   0.0030     Rwake(m)   :    0.0035
 Tvisc(N)   :    -0.0864    Pvisc(W)   :   190.       Mach       :    0.0588
 rho(kg/m3) :   1.22600     Vsound(m/s):  340.000     mu(kg/m-s) : 0.1780E-04
 ---------------------------------------------------------------------------
    J:    0.21721      adv:    0.06914       AF:    6.024
   Ct:    0.00442       Cp:    0.00422  (by rho,Diam,N)
   Tc:    0.23861       Pc:    1.04793  (by rho,Atip,Vel)
   CT:    0.00057       CP:    0.00017  (by rho,Atip,Vtip)
Sigma:    0.00494 CT/sigma:    0.11547  ductFOM:    0.05561

  i  r/R   c/R  beta(deg)  CL     Cd    REx10^3 Mach   effi  effp  na.u/U  solidity
  1 0.041 0.0648  68.85  0.600   0.0432  14.81  0.077  0.675 0.798   0.000  0.5094
  2 0.082 0.0509  47.44  0.600   0.0432  14.81  0.098  0.803 0.865   0.000  0.1968
  3 0.133 0.0377  33.39  0.600   0.0432  14.81  0.132  0.830 0.858   0.000  0.0905
  4 0.184 0.0292  25.37  0.600   0.0432  14.81  0.171  0.838 0.836   0.000  0.0506
  5 0.235 0.0236  20.40  0.600   0.0432  14.81  0.211  0.841 0.811   0.000  0.0320
  6 0.285 0.0198  17.05  0.600   0.0432  14.81  0.252  0.843 0.787   0.000  0.0221
  7 0.334 0.0170  14.66  0.600   0.0432  14.81  0.293  0.844 0.763   0.000  0.0162
  8 0.383 0.0149  12.87  0.600   0.0432  14.81  0.333  0.845 0.741   0.000  0.0124
  9 0.431 0.0134  11.48  0.600   0.0432  14.81  0.373  0.845 0.720   0.000  0.0099
 10 0.477 0.0121  10.36  0.600   0.0432  14.81  0.412  0.846 0.700   0.000  0.0081
 11 0.523 0.0111   9.42  0.600   0.0432  14.81  0.450  0.846 0.682   0.000  0.0067
 12 0.567 0.0102   8.61  0.600   0.0432  14.81  0.487  0.846 0.665   0.000  0.0057
 13 0.609 0.0095   7.93  0.600   0.0447  14.81  0.522  0.846 0.642   0.000  0.0050
 14 0.649 0.0089   7.36  0.600   0.0499  14.81  0.557  0.846 0.601   0.000  0.0044
 15 0.688 0.0084   6.87  0.600   0.0607  14.81  0.590  0.846 0.540   0.000  0.0039
 16 0.725 0.0080   6.43  0.600   0.0781  14.81  0.621  0.846 0.463   0.000  0.0035
 17 0.760 0.0077   6.04  0.600   0.1028  14.81  0.650  0.846 0.384   0.000  0.0032
 18 0.793 0.0073   5.69  0.600   0.1347  14.81  0.678  0.846 0.312   0.000  0.0029
 19 0.824 0.0071   5.38  0.600   0.1733  14.81  0.704  0.847 0.253   0.000  0.0027
 20 0.852 0.0068   5.10  0.600   0.2176  14.81  0.728  0.847 0.206   0.000  0.0026
 21 0.879 0.0066   4.85  0.600   0.2662  14.81  0.751  0.847 0.169   0.000  0.0024
 22 0.902 0.0065   4.62  0.600   0.3176  14.81  0.771  0.847 0.142   0.000  0.0023
 23 0.924 0.0063   4.42  0.600   0.3698  14.81  0.789  0.847 0.121   0.000  0.0022
 24 0.942 0.0062   4.24  0.600   0.4209  14.81  0.805  0.847 0.105   0.000  0.0021
 25 0.959 0.0061   4.08  0.600   0.4691  14.81  0.818  0.847 0.094   0.000  0.0020
 26 0.972 0.0060   3.95  0.600   0.5125  14.81  0.830  0.847 0.085   0.000  0.0020
 27 0.983 0.0059   3.85  0.600   0.5495  14.81  0.839  0.847 0.079   0.000  0.0019
 28 0.991 0.0059   3.77  0.600   0.5785  14.81  0.846  0.847 0.074   0.000  0.0019
 29 0.997 0.0059   3.72  0.600   0.5985  14.81  0.851  0.847 0.071   0.000  0.0019
 30 0.999 0.0058   3.69  0.600   0.6087  14.81  0.853  0.847 0.070   0.000  0.0019
