
 ===========================================================================
 Free Tip Potential Formulation Solution:  Designed blade                  
                                                  Wake adv. ratio:    0.14781
 no. blades :  2            radius(m)  :   0.1270     adv. ratio:     0.12407
 thrust(N)  :   8.02        power(W)   :   225.       torque(N-m):  0.177    
 Efficiency :  0.7133       speed(m/s) :   20.000     rpm        :  12121.001
 Eff induced:  0.8394       Eff ideal  :   0.8761     Area(m^2)  :    0.05064
 Tnacel(N)  :     0.0005    Rhub(m)    :   0.0030     Rwake(m)   :    0.0035
 Tvisc(N)   :    -0.0842    Pvisc(W)   :   31.8       Mach       :    0.0588
 rho(kg/m3) :   1.22600     Vsound(m/s):  340.000     mu(kg/m-s) : 0.1780E-04
 ---------------------------------------------------------------------------
    J:    0.38977      adv:    0.12407       AF:   52.311
   Ct:    0.03852       Cp:    0.02105  (by rho,Diam,N)
   Tc:    0.64561       Pc:    0.90507  (by rho,Atip,Vel)
   CT:    0.00497       CP:    0.00086  (by rho,Atip,Vtip)
Sigma:    0.05077 CT/sigma:    0.09788

  i  r/R   c/R  beta(deg)  CL     Cd    REx10^3 Mach   effi  effp  na.u/U  solidity
  1 0.041 0.1254  75.57  0.600   0.0362  23.05  0.062  0.785 0.765   0.000  0.9853
  2 0.082 0.1747  61.68  0.600   0.0301  36.57  0.070  0.826 0.885   0.000  0.6761
  3 0.133 0.2019  48.83  0.600   0.0262  51.51  0.086  0.834 0.915   0.000  0.4844
  4 0.184 0.2030  39.54  0.600   0.0242  63.23  0.105  0.837 0.921   0.000  0.3518
  5 0.235 0.1928  32.93  0.600   0.0229  71.94  0.125  0.838 0.920   0.000  0.2618
  6 0.285 0.1792  28.12  0.600   0.0222  78.31  0.147  0.838 0.916   0.000  0.2002
  7 0.334 0.1652  24.52  0.600   0.0217  82.95  0.169  0.839 0.910   0.000  0.1573
  8 0.383 0.1522  21.76  0.600   0.0213  86.29  0.191  0.839 0.903   0.000  0.1264
  9 0.431 0.1403  19.58  0.600   0.0211  88.62  0.212  0.839 0.896   0.000  0.1037
 10 0.477 0.1298  17.83  0.600   0.0210  90.16  0.234  0.839 0.889   0.000  0.0865
 11 0.523 0.1203  16.40  0.600   0.0209  91.04  0.254  0.839 0.882   0.000  0.0732
 12 0.567 0.1118  15.21  0.600   0.0209  91.33  0.275  0.839 0.874   0.000  0.0628
 13 0.609 0.1040  14.21  0.600   0.0209  91.07  0.294  0.839 0.867   0.000  0.0544
 14 0.649 0.0969  13.37  0.600   0.0210  90.28  0.313  0.839 0.860   0.000  0.0475
 15 0.688 0.0903  12.64  0.600   0.0211  88.96  0.331  0.839 0.853   0.000  0.0417
 16 0.725 0.0840  12.02  0.600   0.0213  87.09  0.349  0.839 0.846   0.000  0.0369
 17 0.760 0.0780  11.48  0.600   0.0215  84.64  0.365  0.839 0.838   0.000  0.0326
 18 0.793 0.0721  11.01  0.600   0.0218  81.61  0.380  0.839 0.831   0.000  0.0289
 19 0.824 0.0664  10.60  0.600   0.0222  77.98  0.395  0.839 0.823   0.000  0.0256
 20 0.852 0.0607  10.24  0.600   0.0227  73.73  0.408  0.839 0.815   0.000  0.0227
 21 0.879 0.0551   9.93  0.600   0.0234  68.89  0.421  0.839 0.807   0.000  0.0200
 22 0.902 0.0494   9.66  0.600   0.0241  63.48  0.432  0.839 0.798   0.000  0.0174
 23 0.924 0.0438   9.42  0.600   0.0251  57.51  0.442  0.839 0.787   0.000  0.0151
 24 0.942 0.0381   9.22  0.600   0.0263  51.05  0.451  0.839 0.776   0.000  0.0129
 25 0.959 0.0324   9.05  0.600   0.0279  44.16  0.458  0.839 0.763   0.000  0.0108
 26 0.972 0.0267   8.91  0.600   0.0300  36.91  0.464  0.839 0.747   0.000  0.0087
 27 0.983 0.0210   8.80  0.600   0.0328  29.39  0.470  0.839 0.727   0.000  0.0068
 28 0.991 0.0155   8.72  0.600   0.0370  21.76  0.473  0.839 0.701   0.000  0.0050
 29 0.997 0.0102   8.67  0.600   0.0437  14.37  0.476  0.839 0.663   0.000  0.0032
 30 0.999 0.0060   8.64  0.600   0.0537   8.59  0.477  0.839 0.615   0.000  0.0019
