
 ===========================================================================
 Ducted Potential Formulation Solution:  Designed blade                  
 Vdisk/Vslip:    1.10000                         Wake adv. ratio:    0.15316
 no. blades :  2            radius(m)  :   0.1270     adv. ratio:     0.12407
 thrust(N)  :   7.79        power(W)   :   225.       torque(N-m):  0.177    
 Efficiency :  0.6923       speed(m/s) :   20.000     rpm        :  12121.001
 Eff induced:  0.8101       Eff ideal  :   0.8790     Area(m^2)  :    0.05064
 Tnacel(N)  :     0.8288    Rhub(m)    :   0.0030     Rwake(m)   :    0.0035
 Tvisc(N)   :    -0.0936    Pvisc(W)   :   30.4       Mach       :    0.0588
 rho(kg/m3) :   1.22600     Vsound(m/s):  340.000     mu(kg/m-s) : 0.1780E-04
 ---------------------------------------------------------------------------
    J:    0.38977      adv:    0.12407       AF:   46.921
   Ct:    0.03738       Cp:    0.02105  (by rho,Diam,N)
   Tc:    0.62661       Pc:    0.90507  (by rho,Atip,Vel)
   CT:    0.00482       CP:    0.00086  (by rho,Atip,Vtip)
Sigma:    0.03867 CT/sigma:    0.12471

  i  r/R   c/R  beta(deg)  CL     Cd    REx10^3 Mach   effi  effp  na.u/U  solidity
  1 0.041 0.2753  95.58  0.600   0.0238  65.59  0.080 -0.170 1.472   0.000  2.1627
  2 0.082 0.2625  72.54  0.600   0.0238  65.59  0.084  0.533 0.868   0.000  1.0155
  3 0.133 0.2276  56.17  0.600   0.0238  65.59  0.097  0.683 0.917   0.000  0.5461
  4 0.184 0.1935  45.17  0.600   0.0238  65.59  0.114  0.728 0.924   0.000  0.3353
  5 0.235 0.1655  37.50  0.600   0.0238  65.59  0.133  0.748 0.921   0.000  0.2247
  6 0.285 0.1435  31.98  0.600   0.0238  65.59  0.154  0.757 0.916   0.000  0.1604
  7 0.334 0.1262  27.86  0.600   0.0238  65.59  0.175  0.763 0.909   0.000  0.1201
  8 0.383 0.1126  24.70  0.600   0.0238  65.59  0.196  0.767 0.902   0.000  0.0935
  9 0.431 0.1016  22.22  0.600   0.0238  65.59  0.217  0.769 0.895   0.000  0.0751
 10 0.477 0.0927  20.23  0.600   0.0238  65.59  0.238  0.771 0.887   0.000  0.0618
 11 0.523 0.0853  18.60  0.600   0.0238  65.59  0.258  0.772 0.880   0.000  0.0520
 12 0.567 0.0792  17.25  0.600   0.0238  65.59  0.278  0.773 0.872   0.000  0.0445
 13 0.609 0.0740  16.11  0.600   0.0238  65.59  0.298  0.774 0.865   0.000  0.0387
 14 0.649 0.0697  15.15  0.600   0.0238  65.59  0.317  0.774 0.859   0.000  0.0341
 15 0.688 0.0659  14.33  0.600   0.0238  65.59  0.334  0.775 0.853   0.000  0.0305
 16 0.725 0.0627  13.62  0.600   0.0238  65.59  0.352  0.775 0.847   0.000  0.0275
 17 0.760 0.0600  13.00  0.600   0.0238  65.59  0.368  0.775 0.841   0.000  0.0251
 18 0.793 0.0576  12.47  0.600   0.0238  65.59  0.383  0.775 0.836   0.000  0.0231
 19 0.824 0.0555  12.01  0.600   0.0238  65.59  0.397  0.776 0.831   0.000  0.0214
 20 0.852 0.0537  11.61  0.600   0.0238  65.59  0.411  0.776 0.827   0.000  0.0200
 21 0.879 0.0521  11.26  0.600   0.0238  65.59  0.423  0.776 0.823   0.000  0.0189
 22 0.902 0.0508  10.95  0.600   0.0238  65.59  0.434  0.776 0.819   0.000  0.0179
 23 0.924 0.0497  10.68  0.600   0.0238  65.59  0.444  0.776 0.816   0.000  0.0171
 24 0.942 0.0487  10.46  0.600   0.0238  65.59  0.453  0.776 0.813   0.000  0.0165
 25 0.959 0.0479  10.27  0.600   0.0238  65.59  0.460  0.776 0.810   0.000  0.0159
 26 0.972 0.0473  10.11  0.600   0.0238  65.59  0.467  0.776 0.808   0.000  0.0155
 27 0.983 0.0467   9.99  0.600   0.0238  65.59  0.472  0.776 0.807   0.000  0.0151
 28 0.991 0.0464   9.89  0.600   0.0238  65.59  0.476  0.776 0.805   0.000  0.0149
 29 0.997 0.0461   9.83  0.600   0.0238  65.59  0.478  0.776 0.805   0.000  0.0147
 30 0.999 0.0460   9.80  0.600   0.0238  65.59  0.479  0.776 0.804   0.000  0.0147
