
 ===========================================================================
 Free Tip Potential Formulation Solution:  Designed blade                  
                                                  Wake adv. ratio:    0.13205
 no. blades :  2            radius(m)  :   0.1270     adv. ratio:     0.11048
 thrust(N)  :   8.59        power(W)   :   247.       torque(N-m):  0.173    
 Efficiency :  0.6970       speed(m/s) :   20.000     rpm        :  13611.999
 Eff induced:  0.8367       Eff ideal  :   0.8694     Area(m^2)  :    0.05064
 Tnacel(N)  :     0.0005    Rhub(m)    :   0.0030     Rwake(m)   :    0.0035
 Tvisc(N)   :    -0.0826    Pvisc(W)   :   39.2       Mach       :    0.0588
 rho(kg/m3) :   1.22600     Vsound(m/s):  340.000     mu(kg/m-s) : 0.1780E-04
 ---------------------------------------------------------------------------
    J:    0.34708      adv:    0.11048       AF:   44.499
   Ct:    0.03271       Cp:    0.01629  (by rho,Diam,N)
   Tc:    0.69143       Pc:    0.99199  (by rho,Atip,Vel)
   CT:    0.00422       CP:    0.00067  (by rho,Atip,Vtip)
Sigma:    0.04297 CT/sigma:    0.09820

  i  r/R   c/R  beta(deg)  CL     Cd    REx10^3 Mach   effi  effp  na.u/U  solidity
  1 0.041 0.1255  73.86  0.600   0.0360  23.35  0.063  0.782 0.788   0.000  0.9861
  2 0.082 0.1690  58.85  0.600   0.0300  36.74  0.073  0.823 0.892   0.000  0.6538
  3 0.133 0.1872  45.60  0.600   0.0263  50.97  0.092  0.832 0.916   0.000  0.4492
  4 0.184 0.1824  36.42  0.600   0.0244  61.71  0.114  0.834 0.919   0.000  0.3161
  5 0.235 0.1696  30.08  0.600   0.0233  69.43  0.138  0.835 0.915   0.000  0.2302
  6 0.285 0.1552  25.56  0.600   0.0226  74.93  0.162  0.836 0.909   0.000  0.1735
  7 0.334 0.1416  22.21  0.600   0.0221  78.86  0.187  0.836 0.901   0.000  0.1348
  8 0.383 0.1295  19.66  0.600   0.0218  81.64  0.212  0.836 0.893   0.000  0.1075
  9 0.431 0.1188  17.66  0.600   0.0216  83.58  0.237  0.836 0.885   0.000  0.0877
 10 0.477 0.1094  16.06  0.600   0.0215  84.86  0.261  0.836 0.877   0.000  0.0730
 11 0.523 0.1012  14.76  0.600   0.0214  85.59  0.284  0.836 0.868   0.000  0.0617
 12 0.567 0.0940  13.67  0.600   0.0214  85.85  0.307  0.836 0.860   0.000  0.0528
 13 0.609 0.0875  12.76  0.600   0.0214  85.67  0.329  0.836 0.852   0.000  0.0457
 14 0.649 0.0816  11.99  0.600   0.0215  85.05  0.351  0.836 0.844   0.000  0.0400
 15 0.688 0.0761  11.33  0.600   0.0216  83.97  0.371  0.836 0.836   0.000  0.0352
 16 0.725 0.0710  10.75  0.600   0.0217  82.40  0.390  0.836 0.829   0.000  0.0311
 17 0.760 0.0660  10.26  0.600   0.0220  80.31  0.409  0.836 0.821   0.000  0.0276
 18 0.793 0.0613   9.82  0.600   0.0223  77.67  0.426  0.837 0.813   0.000  0.0246
 19 0.824 0.0566   9.43  0.600   0.0226  74.44  0.442  0.837 0.805   0.000  0.0219
 20 0.852 0.0519   9.09  0.600   0.0231  70.61  0.458  0.837 0.796   0.000  0.0194
 21 0.879 0.0472   8.79  0.600   0.0237  66.17  0.471  0.837 0.787   0.000  0.0171
 22 0.902 0.0425   8.53  0.600   0.0245  61.14  0.484  0.837 0.777   0.000  0.0150
 23 0.924 0.0377   8.30  0.600   0.0256  55.54  0.495  0.837 0.765   0.000  0.0130
 24 0.942 0.0329   8.10  0.600   0.0271  49.41  0.505  0.837 0.751   0.000  0.0111
 25 0.959 0.0280   7.95  0.600   0.0291  42.82  0.514  0.837 0.734   0.000  0.0093
 26 0.972 0.0231   7.83  0.600   0.0317  35.83  0.521  0.837 0.715   0.000  0.0076
 27 0.983 0.0182   7.73  0.600   0.0351  28.56  0.527  0.837 0.691   0.000  0.0059
 28 0.991 0.0134   7.66  0.600   0.0398  21.15  0.531  0.837 0.662   0.000  0.0043
 29 0.997 0.0088   7.61  0.600   0.0470  13.92  0.534  0.837 0.622   0.000  0.0028
 30 0.999 0.0051   7.59  0.600   0.0576   8.19  0.535  0.837 0.572   0.000  0.0016
