
 ===========================================================================
 Ducted Potential Formulation Solution:  Designed blade                  
 Vdisk/Vslip:    1.10000                         Wake adv. ratio:    0.13683
 no. blades :  2            radius(m)  :   0.1270     adv. ratio:     0.11048
 thrust(N)  :   8.34        power(W)   :   246.       torque(N-m):  0.173    
 Efficiency :  0.6770       speed(m/s) :   20.000     rpm        :  13611.999
 Eff induced:  0.8074       Eff ideal  :   0.8723     Area(m^2)  :    0.05064
 Tnacel(N)  :     0.9263    Rhub(m)    :   0.0030     Rwake(m)   :    0.0035
 Tvisc(N)   :    -0.0919    Pvisc(W)   :   37.5       Mach       :    0.0588
 rho(kg/m3) :   1.22600     Vsound(m/s):  340.000     mu(kg/m-s) : 0.1780E-04
 ---------------------------------------------------------------------------
    J:    0.34708      adv:    0.11048       AF:   39.732
   Ct:    0.03177       Cp:    0.01629  (by rho,Diam,N)
   Tc:    0.67155       Pc:    0.99199  (by rho,Atip,Vel)
   CT:    0.00410       CP:    0.00067  (by rho,Atip,Vtip)
Sigma:    0.03271 CT/sigma:    0.12531

  i  r/R   c/R  beta(deg)  CL     Cd    REx10^3 Mach   effi  effp  na.u/U  solidity
  1 0.041 0.2583  92.86  0.600   0.0243  62.05  0.081 -0.024 2.089   0.000  2.0292
  2 0.082 0.2406  69.28  0.600   0.0243  62.05  0.087  0.567 0.883   0.000  0.9308
  3 0.133 0.2036  52.69  0.600   0.0243  62.05  0.102  0.692 0.919   0.000  0.4886
  4 0.184 0.1701  41.85  0.600   0.0243  62.05  0.123  0.730 0.922   0.000  0.2947
  5 0.235 0.1438  34.48  0.600   0.0243  62.05  0.145  0.746 0.917   0.000  0.1951
  6 0.285 0.1237  29.26  0.600   0.0243  62.05  0.169  0.754 0.910   0.000  0.1382
  7 0.334 0.1082  25.41  0.600   0.0243  62.05  0.193  0.759 0.902   0.000  0.1030
  8 0.383 0.0961  22.48  0.600   0.0243  62.05  0.217  0.762 0.893   0.000  0.0799
  9 0.431 0.0866  20.19  0.600   0.0243  62.05  0.241  0.764 0.885   0.000  0.0639
 10 0.477 0.0788  18.35  0.600   0.0243  62.05  0.265  0.765 0.876   0.000  0.0525
 11 0.523 0.0725  16.85  0.600   0.0243  62.05  0.288  0.767 0.868   0.000  0.0441
 12 0.567 0.0672  15.61  0.600   0.0243  62.05  0.311  0.767 0.859   0.000  0.0377
 13 0.609 0.0627  14.57  0.600   0.0243  62.05  0.332  0.768 0.852   0.000  0.0328
 14 0.649 0.0590  13.69  0.600   0.0243  62.05  0.354  0.768 0.844   0.000  0.0289
 15 0.688 0.0558  12.93  0.600   0.0243  62.05  0.374  0.769 0.837   0.000  0.0258
 16 0.725 0.0531  12.28  0.600   0.0243  62.05  0.393  0.769 0.831   0.000  0.0233
 17 0.760 0.0507  11.71  0.600   0.0243  62.05  0.412  0.769 0.825   0.000  0.0212
 18 0.793 0.0487  11.22  0.600   0.0243  62.05  0.429  0.769 0.819   0.000  0.0195
 19 0.824 0.0469  10.78  0.600   0.0243  62.05  0.445  0.770 0.814   0.000  0.0181
 20 0.852 0.0454  10.39  0.600   0.0243  62.05  0.460  0.770 0.809   0.000  0.0169
 21 0.879 0.0441  10.05  0.600   0.0243  62.05  0.474  0.770 0.804   0.000  0.0160
 22 0.902 0.0429   9.75  0.600   0.0244  62.05  0.486  0.770 0.800   0.000  0.0151
 23 0.924 0.0420   9.49  0.600   0.0246  62.05  0.497  0.770 0.795   0.000  0.0145
 24 0.942 0.0411   9.28  0.600   0.0249  62.05  0.507  0.770 0.790   0.000  0.0139
 25 0.959 0.0405   9.11  0.600   0.0254  62.05  0.516  0.770 0.784   0.000  0.0134
 26 0.972 0.0399   8.97  0.600   0.0259  62.05  0.523  0.770 0.778   0.000  0.0131
 27 0.983 0.0395   8.86  0.600   0.0265  62.05  0.529  0.770 0.773   0.000  0.0128
 28 0.991 0.0392   8.78  0.600   0.0269  62.05  0.533  0.770 0.768   0.000  0.0126
 29 0.997 0.0389   8.72  0.600   0.0273  62.05  0.536  0.770 0.765   0.000  0.0124
 30 0.999 0.0388   8.70  0.600   0.0275  62.05  0.537  0.770 0.763   0.000  0.0124
