
 ===========================================================================
 Free Tip Potential Formulation Solution:  Designed blade                  
                                                  Wake adv. ratio:    0.14952
 no. blades :  2            radius(m)  :   0.1270     adv. ratio:     0.12135
 thrust(N)  :   10.0        power(W)   :   286.       torque(N-m):  0.221    
 Efficiency :  0.6988       speed(m/s) :   20.000     rpm        :  12392.000
 Eff induced:  0.8116       Eff ideal  :   0.8534     Area(m^2)  :    0.05064
 Tnacel(N)  :     0.0007    Rhub(m)    :   0.0030     Rwake(m)   :    0.0035
 Tvisc(N)   :    -0.0976    Pvisc(W)   :   37.4       Mach       :    0.0588
 rho(kg/m3) :   1.22600     Vsound(m/s):  340.000     mu(kg/m-s) : 0.1780E-04
 ---------------------------------------------------------------------------
    J:    0.38125      adv:    0.12135       AF:   62.569
   Ct:    0.04594       Cp:    0.02506  (by rho,Diam,N)
   Tc:    0.80483       Pc:    1.15176  (by rho,Atip,Vel)
   CT:    0.00593       CP:    0.00103  (by rho,Atip,Vtip)
Sigma:    0.06072 CT/sigma:    0.09760

  i  r/R   c/R  beta(deg)  CL     Cd    REx10^3 Mach   effi  effp  na.u/U  solidity
  1 0.041 0.1520  75.78  0.600   0.0335  27.99  0.062  0.759 0.779   0.000  1.1941
  2 0.082 0.2111  61.97  0.600   0.0278  44.43  0.071  0.799 0.893   0.000  0.8167
  3 0.133 0.2431  49.16  0.600   0.0243  62.66  0.087  0.807 0.921   0.000  0.5833
  4 0.184 0.2439  39.87  0.600   0.0223  77.03  0.106  0.809 0.927   0.000  0.4227
  5 0.235 0.2314  33.23  0.600   0.0212  87.74  0.127  0.810 0.926   0.000  0.3141
  6 0.285 0.2149  28.39  0.600   0.0205  95.60  0.150  0.811 0.922   0.000  0.2401
  7 0.334 0.1981  24.77  0.600   0.0200 101.32  0.172  0.811 0.917   0.000  0.1885
  8 0.383 0.1824  21.98  0.600   0.0197 105.45  0.194  0.811 0.911   0.000  0.1515
  9 0.431 0.1682  19.78  0.600   0.0195 108.34  0.217  0.811 0.904   0.000  0.1242
 10 0.477 0.1555  18.01  0.600   0.0193 110.25  0.238  0.811 0.897   0.000  0.1037
 11 0.523 0.1441  16.57  0.600   0.0193 111.33  0.260  0.811 0.891   0.000  0.0878
 12 0.567 0.1339  15.37  0.600   0.0192 111.69  0.281  0.811 0.884   0.000  0.0752
 13 0.609 0.1246  14.36  0.600   0.0193 111.37  0.301  0.811 0.877   0.000  0.0651
 14 0.649 0.1160  13.50  0.600   0.0193 110.39  0.320  0.811 0.871   0.000  0.0568
 15 0.688 0.1080  12.77  0.600   0.0195 108.75  0.339  0.811 0.864   0.000  0.0499
 16 0.725 0.1005  12.14  0.600   0.0196 106.43  0.356  0.811 0.857   0.000  0.0441
 17 0.760 0.0932  11.59  0.600   0.0198 103.42  0.373  0.811 0.850   0.000  0.0390
 18 0.793 0.0862  11.11  0.600   0.0201  99.69  0.389  0.811 0.843   0.000  0.0346
 19 0.824 0.0794  10.70  0.600   0.0205  95.22  0.403  0.811 0.836   0.000  0.0307
 20 0.852 0.0726  10.34  0.600   0.0210  90.01  0.417  0.811 0.829   0.000  0.0271
 21 0.879 0.0658  10.02  0.600   0.0216  84.08  0.430  0.811 0.821   0.000  0.0238
 22 0.902 0.0590   9.74  0.600   0.0223  77.45  0.441  0.811 0.812   0.000  0.0208
 23 0.924 0.0523   9.50  0.600   0.0232  70.15  0.451  0.811 0.802   0.000  0.0180
 24 0.942 0.0455   9.30  0.600   0.0243  62.26  0.460  0.811 0.791   0.000  0.0154
 25 0.959 0.0387   9.12  0.600   0.0258  53.85  0.468  0.811 0.779   0.000  0.0128
 26 0.972 0.0319   8.98  0.600   0.0277  45.00  0.475  0.811 0.764   0.000  0.0104
 27 0.983 0.0251   8.87  0.600   0.0303  35.83  0.480  0.811 0.745   0.000  0.0081
 28 0.991 0.0184   8.78  0.600   0.0342  26.53  0.484  0.811 0.719   0.000  0.0059
 29 0.997 0.0121   8.73  0.600   0.0404  17.52  0.486  0.811 0.683   0.000  0.0039
 30 0.999 0.0072   8.70  0.600   0.0496  10.49  0.488  0.811 0.636   0.000  0.0023
