
 ===========================================================================
 Free Tip Potential Formulation Solution:  Designed blade                  
                                                  Wake adv. ratio:    0.08944
 no. blades :  2            radius(m)  :   0.1270     adv. ratio:     0.07120
 thrust(N)  :   13.1        power(W)   :   814.       torque(N-m):  0.368    
 Efficiency :  0.3223       speed(m/s) :   20.000     rpm        :  21119.998
 Eff induced:  0.7961       Eff ideal  :   0.8218     Area(m^2)  :    0.05066
 Tnacel(N)  :     0.0001    Rhub(m)    :   0.0020     Rwake(m)   :    0.0021
 Tvisc(N)   :    -0.2404    Pvisc(W)   :   478.       Mach       :    0.0588
 rho(kg/m3) :   1.22600     Vsound(m/s):  340.000     mu(kg/m-s) : 0.1780E-04
 ---------------------------------------------------------------------------
    J:    0.22369      adv:    0.07120       AF:   28.743
   Ct:    0.02074       Cp:    0.01439  (by rho,Diam,N)
   Tc:    1.05522       Pc:    3.27418  (by rho,Atip,Vel)
   CT:    0.00267       CP:    0.00059  (by rho,Atip,Vtip)
Sigma:    0.02716 CT/sigma:    0.09848  heliFOM:    0.16553

  i  r/R   c/R  beta(deg)  CL     Cd    REx10^3 Mach   effi  effp  na.u/U  solidity
  1 0.035 0.1244  69.19  0.600   0.0355  24.22  0.065  0.788 0.831   0.000  1.1202
  2 0.080 0.1614  48.83  0.600   0.0284  42.26  0.088  0.795 0.909   0.000  0.6403
  3 0.131 0.1550  34.93  0.600   0.0252  56.67  0.123  0.796 0.915   0.000  0.3753
  4 0.183 0.1366  26.75  0.600   0.0238  65.64  0.162  0.796 0.907   0.000  0.2378
  5 0.234 0.1189  21.58  0.600   0.0230  71.24  0.201  0.796 0.895   0.000  0.1618
  6 0.284 0.1041  18.08  0.600   0.0226  74.81  0.242  0.796 0.883   0.000  0.1165
  7 0.334 0.0921  15.57  0.600   0.0223  77.15  0.282  0.796 0.869   0.000  0.0877
  8 0.383 0.0823  13.68  0.600   0.0221  78.70  0.321  0.796 0.856   0.000  0.0685
  9 0.431 0.0744  12.22  0.600   0.0220  79.75  0.360  0.796 0.843   0.000  0.0550
 10 0.477 0.0679  11.04  0.600   0.0219  80.46  0.398  0.796 0.831   0.000  0.0453
 11 0.522 0.0625  10.06  0.600   0.0219  80.90  0.435  0.796 0.819   0.000  0.0381
 12 0.566 0.0579   9.22  0.600   0.0219  81.12  0.471  0.796 0.808   0.000  0.0325
 13 0.609 0.0539   8.48  0.600   0.0224  81.14  0.506  0.796 0.793   0.000  0.0282
 14 0.649 0.0505   7.89  0.600   0.0254  80.94  0.539  0.796 0.761   0.000  0.0247
 15 0.688 0.0474   7.38  0.600   0.0326  80.49  0.571  0.796 0.700   0.000  0.0219
 16 0.725 0.0445   6.92  0.600   0.0454  79.72  0.602  0.796 0.614   0.000  0.0195
 17 0.760 0.0419   6.52  0.600   0.0643  78.56  0.631  0.796 0.517   0.000  0.0175
 18 0.793 0.0393   6.16  0.600   0.0894  76.93  0.658  0.796 0.423   0.000  0.0158
 19 0.824 0.0368   5.84  0.600   0.1205  74.73  0.683  0.796 0.343   0.000  0.0142
 20 0.852 0.0342   5.56  0.600   0.1567  71.87  0.706  0.796 0.279   0.000  0.0128
 21 0.879 0.0315   5.30  0.600   0.1970  68.29  0.728  0.796 0.229   0.000  0.0114
 22 0.902 0.0288   5.07  0.600   0.2400  63.93  0.748  0.796 0.191   0.000  0.0101
 23 0.924 0.0258   4.87  0.600   0.2843  58.79  0.765  0.796 0.162   0.000  0.0089
 24 0.942 0.0228   4.69  0.600   0.3281  52.87  0.781  0.796 0.140   0.000  0.0077
 25 0.959 0.0196   4.54  0.600   0.3700  46.23  0.794  0.796 0.124   0.000  0.0065
 26 0.972 0.0163   4.41  0.600   0.4085  38.98  0.805  0.796 0.112   0.000  0.0053
 27 0.983 0.0129   4.31  0.600   0.4424  31.22  0.814  0.796 0.102   0.000  0.0042
 28 0.991 0.0095   4.23  0.600   0.4710  23.16  0.821  0.796 0.096   0.000  0.0030
 29 0.997 0.0062   4.18  0.600   0.4946  15.17  0.825  0.796 0.091   0.000  0.0020
 30 0.999 0.0035   4.15  0.600   0.5141   8.59  0.828  0.796 0.087   0.000  0.0011
