
 ===========================================================================
 Free Tip Potential Formulation Solution:  Designed blade                  
                                                  Wake adv. ratio:    0.29130
 no. blades :  3            radius(m)  :   0.0635     adv. ratio:     0.14241
 thrust(N)  :   12.1        power(W)   :   814.       torque(N-m):  0.368    
 Efficiency :  0.2968       speed(m/s) :   20.000     rpm        :  21119.998
 Eff induced:  0.4889       Eff ideal  :   0.6229     Area(m^2)  :    0.01265
 Tnacel(N)  :     0.0098    Rhub(m)    :   0.0025     Rwake(m)   :    0.0030
 Tvisc(N)   :    -1.3844    Pvisc(W)   :   263.       Mach       :    0.0588
 rho(kg/m3) :   1.22600     Vsound(m/s):  340.000     mu(kg/m-s) : 0.1780E-04
 ---------------------------------------------------------------------------
    J:    0.44739      adv:    0.14241       AF:  349.912
   Ct:    0.30554       Cp:    0.46055  (by rho,Diam,N)
   Tc:    3.88725       Pc:   13.09674  (by rho,Atip,Vel)
   CT:    0.03942       CP:    0.01891  (by rho,Atip,Vtip)
Sigma:    0.52165 CT/sigma:    0.07556

  i  r/R   c/R  beta(deg)  CL     Cd    REx10^3 Mach   effi  effp  na.u/U  solidity
  1 0.052 0.4080  85.91  0.600   0.2490  37.46  0.062  0.435-1.521   0.000  3.7163
  2 0.089 0.5862  78.64  0.600   0.2085  58.33  0.067  0.467-0.174   0.000  3.1611
  3 0.136 0.7993  70.12  0.600   0.1740  91.73  0.077  0.480 0.328   0.000  2.7979
  4 0.186 0.9294  62.45  0.600   0.1534 125.80  0.091  0.484 0.514   0.000  2.3817
  5 0.237 0.9830  55.90  0.600   0.1404 156.77  0.107  0.486 0.598   0.000  1.9843
  6 0.286 0.9877  50.42  0.600   0.1319 183.45  0.125  0.487 0.638   0.000  1.6465
  7 0.336 0.9653  45.85  0.600   0.1260 205.71  0.143  0.487 0.658   0.000  1.3726
  8 0.384 0.9287  42.04  0.600   0.1218 223.77  0.162  0.488 0.667   0.000  1.1539
  9 0.432 0.8855  38.86  0.600   0.1188 238.03  0.181  0.488 0.670   0.000  0.9790
 10 0.478 0.8396  36.18  0.600   0.1167 248.86  0.199  0.488 0.668   0.000  0.8382
 11 0.523 0.7933  33.91  0.600   0.1153 256.59  0.218  0.488 0.664   0.000  0.7237
 12 0.567 0.7475  31.98  0.600   0.1144 261.50  0.235  0.488 0.658   0.000  0.6293
 13 0.609 0.7027  30.32  0.600   0.1140 263.80  0.252  0.488 0.651   0.000  0.5506
 14 0.650 0.6590  28.89  0.600   0.1141 263.64  0.269  0.488 0.642   0.000  0.4841
 15 0.689 0.6164  27.65  0.600   0.1145 261.15  0.285  0.488 0.634   0.000  0.4273
 16 0.726 0.5747  26.57  0.600   0.1153 256.42  0.300  0.488 0.624   0.000  0.3781
 17 0.761 0.5337  25.64  0.600   0.1166 249.53  0.314  0.488 0.614   0.000  0.3350
 18 0.793 0.4933  24.82  0.600   0.1183 240.56  0.328  0.488 0.604   0.000  0.2969
 19 0.824 0.4534  24.10  0.600   0.1206 229.60  0.341  0.488 0.592   0.000  0.2627
 20 0.853 0.4137  23.48  0.600   0.1234 216.74  0.352  0.488 0.581   0.000  0.2317
 21 0.879 0.3744  22.93  0.600   0.1269 202.10  0.363  0.488 0.568   0.000  0.2034
 22 0.902 0.3351  22.46  0.600   0.1312 185.80  0.373  0.488 0.554   0.000  0.1773
 23 0.924 0.2961  22.06  0.600   0.1366 167.99  0.382  0.488 0.539   0.000  0.1530
 24 0.942 0.2571  21.72  0.600   0.1434 148.85  0.389  0.488 0.522   0.000  0.1303
 25 0.959 0.2183  21.43  0.600   0.1520 128.55  0.396  0.489 0.503   0.000  0.1088
 26 0.972 0.1798  21.19  0.600   0.1634 107.34  0.402  0.489 0.481   0.000  0.0883
 27 0.983 0.1416  21.01  0.600   0.1790  85.49  0.406  0.489 0.454   0.000  0.0688
 28 0.991 0.1042  20.87  0.600   0.2017  63.44  0.409  0.489 0.420   0.000  0.0502
 29 0.997 0.0691  20.78  0.600   0.2373  42.27  0.412  0.489 0.376   0.000  0.0331
 30 0.999 0.0428  20.74  0.600   0.2870  26.28  0.413  0.489 0.326   0.000  0.0205
