
 ===========================================================================
 Free Tip Potential Formulation Solution:  Designed blade                  
                                                  Wake adv. ratio:    0.19758
 no. blades :  3            radius(m)  :   0.0762     adv. ratio:     0.11867
 thrust(N)  :   12.2        power(W)   :   814.       torque(N-m):  0.368    
 Efficiency :  0.2991       speed(m/s) :   20.000     rpm        :  21119.998
 Eff induced:  0.6006       Eff ideal  :   0.6829     Area(m^2)  :    0.01822
 Tnacel(N)  :     0.0043    Rhub(m)    :   0.0025     Rwake(m)   :    0.0030
 Tvisc(N)   :    -1.1531    Pvisc(W)   :   370.       Mach       :    0.0588
 rho(kg/m3) :   1.22600     Vsound(m/s):  340.000     mu(kg/m-s) : 0.1780E-04
 ---------------------------------------------------------------------------
    J:    0.37282      adv:    0.11867       AF:  155.201
   Ct:    0.14849       Cp:    0.18508  (by rho,Diam,N)
   Tc:    2.72045       Pc:    9.09496  (by rho,Atip,Vel)
   CT:    0.01916       CP:    0.00760  (by rho,Atip,Vtip)
Sigma:    0.22756 CT/sigma:    0.08418

  i  r/R   c/R  beta(deg)  CL     Cd    REx10^3 Mach   effi  effp  na.u/U  solidity
  1 0.047 0.2405  82.31  0.600   0.2843  26.89  0.063  0.542-1.012   0.000  2.4286
  2 0.086 0.3600  71.84  0.600   0.2303  45.52  0.071  0.581 0.085   0.000  2.0076
  3 0.135 0.4622  60.77  0.600   0.1927  71.09  0.086  0.593 0.432   0.000  1.6392
  4 0.185 0.4989  51.83  0.600   0.1723  94.05  0.106  0.596 0.546   0.000  1.2872
  5 0.236 0.4966  44.90  0.600   0.1602 112.76  0.127  0.598 0.589   0.000  1.0065
  6 0.286 0.4764  39.55  0.600   0.1526 127.45  0.150  0.599 0.603   0.000  0.7963
  7 0.335 0.4496  35.38  0.600   0.1474 138.79  0.173  0.599 0.604   0.000  0.6406
  8 0.384 0.4215  32.07  0.600   0.1439 147.45  0.196  0.600 0.598   0.000  0.5244
  9 0.431 0.3942  29.42  0.600   0.1414 153.97  0.219  0.600 0.589   0.000  0.4363
 10 0.478 0.3686  27.24  0.600   0.1397 158.76  0.241  0.600 0.578   0.000  0.3683
 11 0.523 0.3450  25.44  0.600   0.1386 162.12  0.263  0.600 0.566   0.000  0.3149
 12 0.567 0.3233  23.94  0.600   0.1378 164.23  0.285  0.600 0.555   0.000  0.2723
 13 0.609 0.3032  22.66  0.600   0.1375 165.20  0.305  0.600 0.542   0.000  0.2377
 14 0.650 0.2844  21.57  0.600   0.1376 165.08  0.325  0.600 0.530   0.000  0.2090
 15 0.689 0.2667  20.63  0.600   0.1380 163.87  0.344  0.600 0.519   0.000  0.1850
 16 0.725 0.2498  19.82  0.600   0.1388 161.54  0.362  0.600 0.507   0.000  0.1644
 17 0.760 0.2333  19.12  0.600   0.1400 158.05  0.380  0.600 0.495   0.000  0.1465
 18 0.793 0.2171  18.51  0.600   0.1417 153.34  0.396  0.600 0.483   0.000  0.1307
 19 0.824 0.2010  17.97  0.600   0.1440 147.37  0.411  0.600 0.471   0.000  0.1164
 20 0.853 0.1848  17.51  0.600   0.1472 140.11  0.425  0.600 0.458   0.000  0.1035
 21 0.879 0.1684  17.10  0.600   0.1515 131.57  0.438  0.600 0.444   0.000  0.0915
 22 0.902 0.1518  16.75  0.600   0.1572 121.76  0.450  0.600 0.429   0.000  0.0803
 23 0.924 0.1349  16.45  0.600   0.1644 110.75  0.460  0.600 0.413   0.000  0.0697
 24 0.942 0.1178  16.20  0.600   0.1735  98.65  0.469  0.600 0.395   0.000  0.0597
 25 0.959 0.1005  16.01  0.600   0.1849  85.56  0.477  0.600 0.375   0.000  0.0500
 26 0.972 0.0830  15.85  0.600   0.1996  71.66  0.484  0.600 0.354   0.000  0.0408
 27 0.983 0.0654  15.74  0.600   0.2193  57.14  0.489  0.600 0.329   0.000  0.0318
 28 0.991 0.0481  15.66  0.600   0.2473  42.32  0.493  0.600 0.299   0.000  0.0232
 29 0.997 0.0315  15.61  0.600   0.2913  27.86  0.496  0.600 0.262   0.000  0.0151
 30 0.999 0.0184  15.59  0.600   0.3581  16.37  0.497  0.600 0.219   0.000  0.0088
