
 ===========================================================================
 Free Tip Potential Formulation Solution:  Designed blade                  
                                                  Wake adv. ratio:    0.21010
 no. blades :  2            radius(m)  :   0.0762     adv. ratio:     0.11867
 thrust(N)  :   12.9        power(W)   :   814.       torque(N-m):  0.368    
 Efficiency :  0.3167       speed(m/s) :   20.000     rpm        :  21119.998
 Eff induced:  0.5648       Eff ideal  :   0.6734     Area(m^2)  :    0.01822
 Tnacel(N)  :     0.0063    Rhub(m)    :   0.0025     Rwake(m)   :    0.0030
 Tvisc(N)   :    -1.0838    Pvisc(W)   :   319.       Mach       :    0.0588
 rho(kg/m3) :   1.22600     Vsound(m/s):  340.000     mu(kg/m-s) : 0.1780E-04
 ---------------------------------------------------------------------------
    J:    0.37282      adv:    0.11867       AF:  242.734
   Ct:    0.15724       Cp:    0.18508  (by rho,Diam,N)
   Tc:    2.88068       Pc:    9.09496  (by rho,Atip,Vel)
   CT:    0.02028       CP:    0.00760  (by rho,Atip,Vtip)
Sigma:    0.23709 CT/sigma:    0.08556

  i  r/R   c/R  beta(deg)  CL     Cd    REx10^3 Mach   effi  effp  na.u/U  solidity
  1 0.047 0.6223  83.17  0.600   0.1945  69.46  0.063  0.509-0.524   0.000  4.1902
  2 0.086 0.7738  73.15  0.600   0.1699  97.34  0.070  0.546 0.261   0.000  2.8767
  3 0.135 0.8863  62.41  0.600   0.1490 135.28  0.086  0.557 0.527   0.000  2.0956
  4 0.185 0.9065  53.59  0.600   0.1361 169.48  0.105  0.561 0.619   0.000  1.5591
  5 0.236 0.8770  46.65  0.600   0.1280 197.64  0.126  0.562 0.653   0.000  1.1850
  6 0.286 0.8277  41.22  0.600   0.1226 219.94  0.149  0.563 0.665   0.000  0.9222
  7 0.335 0.7728  36.94  0.600   0.1190 237.17  0.172  0.564 0.665   0.000  0.7340
  8 0.384 0.7184  33.54  0.600   0.1165 250.10  0.195  0.564 0.660   0.000  0.5959
  9 0.431 0.6669  30.78  0.600   0.1148 259.42  0.218  0.564 0.651   0.000  0.4921
 10 0.478 0.6190  28.52  0.600   0.1137 265.65  0.241  0.564 0.641   0.000  0.4123
 11 0.523 0.5747  26.64  0.600   0.1131 269.20  0.263  0.564 0.629   0.000  0.3497
 12 0.567 0.5336  25.06  0.600   0.1129 270.34  0.284  0.564 0.617   0.000  0.2996
 13 0.609 0.4954  23.72  0.600   0.1131 269.29  0.305  0.564 0.605   0.000  0.2589
 14 0.650 0.4597  22.58  0.600   0.1136 266.19  0.325  0.564 0.592   0.000  0.2252
 15 0.689 0.4259  21.59  0.600   0.1145 261.16  0.344  0.564 0.579   0.000  0.1969
 16 0.725 0.3939  20.74  0.600   0.1157 254.28  0.362  0.564 0.567   0.000  0.1728
 17 0.760 0.3632  20.00  0.600   0.1173 245.62  0.379  0.564 0.554   0.000  0.1520
 18 0.793 0.3336  19.36  0.600   0.1194 235.24  0.395  0.565 0.541   0.000  0.1338
 19 0.824 0.3049  18.79  0.600   0.1220 223.23  0.410  0.565 0.528   0.000  0.1178
 20 0.853 0.2769  18.30  0.600   0.1253 209.67  0.424  0.565 0.513   0.000  0.1034
 21 0.879 0.2494  17.88  0.600   0.1297 194.64  0.437  0.565 0.498   0.000  0.0904
 22 0.902 0.2225  17.51  0.600   0.1352 178.26  0.449  0.565 0.482   0.000  0.0785
 23 0.924 0.1959  17.19  0.600   0.1420 160.65  0.459  0.565 0.464   0.000  0.0675
 24 0.942 0.1697  16.93  0.600   0.1505 141.96  0.469  0.565 0.444   0.000  0.0573
 25 0.959 0.1438  16.72  0.600   0.1610 122.35  0.477  0.565 0.423   0.000  0.0478
 26 0.972 0.1182  16.56  0.600   0.1742 102.00  0.483  0.565 0.400   0.000  0.0387
 27 0.983 0.0931  16.44  0.600   0.1916  81.17  0.489  0.565 0.374   0.000  0.0301
 28 0.991 0.0685  16.35  0.600   0.2159  60.26  0.493  0.565 0.343   0.000  0.0220
 29 0.997 0.0456  16.30  0.600   0.2526  40.32  0.495  0.565 0.304   0.000  0.0146
 30 0.999 0.0288  16.28  0.600   0.3016  25.51  0.497  0.565 0.264   0.000  0.0092
