
 ===========================================================================
 Free Tip Potential Formulation Solution:  Designed blade                  
                                                  Wake adv. ratio:    0.13516
 no. blades :  2            radius(m)  :   0.1270     adv. ratio:     0.13027
 thrust(N)  :   1.22        power(W)   :   118.       torque(N-m):  0.979E-01
 Efficiency :  0.2059       speed(m/s) :   20.000     rpm        :  11543.999
 Eff induced:  0.9638       Eff ideal  :   0.9766     Area(m^2)  :    0.05064
 Tnacel(N)  :     0.0000    Rhub(m)    :   0.0030     Rwake(m)   :    0.0035
 Tvisc(N)   :    -0.2282    Pvisc(W)   :   88.4       Mach       :    0.0588
 rho(kg/m3) :   1.22600     Vsound(m/s):  340.000     mu(kg/m-s) : 0.1780E-04
 ---------------------------------------------------------------------------
    J:    0.40925      adv:    0.13027       AF:   10.171
   Ct:    0.00645       Cp:    0.01283  (by rho,Diam,N)
   Tc:    0.09813       Pc:    0.47648  (by rho,Atip,Vel)
   CT:    0.00083       CP:    0.00053  (by rho,Atip,Vtip)
Sigma:    0.00985 CT/sigma:    0.08454

  i  r/R   c/R  beta(deg)  CL     Cd    REx10^3 Mach   effi  effp  na.u/U  solidity
  1 0.041 0.0245  78.26  0.600   0.5813   4.50  0.062  0.901-1.737   0.000  0.1928
  2 0.082 0.0343  63.59  0.600   0.4846   7.09  0.070  0.948-0.220   0.000  0.1325
  3 0.133 0.0395  50.44  0.600   0.4245   9.86  0.084  0.958 0.165   0.000  0.0948
  4 0.184 0.0396  41.24  0.600   0.3928  11.98  0.102  0.961 0.274   0.000  0.0686
  5 0.235 0.0375  34.84  0.600   0.3744  13.51  0.121  0.962 0.307   0.000  0.0509
  6 0.285 0.0347  30.26  0.600   0.3629  14.60  0.141  0.963 0.313   0.000  0.0388
  7 0.334 0.0319  26.86  0.600   0.3554  15.39  0.162  0.963 0.309   0.000  0.0304
  8 0.383 0.0293  24.27  0.600   0.3503  15.95  0.183  0.963 0.299   0.000  0.0244
  9 0.431 0.0270  22.23  0.600   0.3470  16.34  0.203  0.963 0.288   0.000  0.0200
 10 0.477 0.0250  20.60  0.600   0.3448  16.59  0.223  0.963 0.276   0.000  0.0166
 11 0.523 0.0231  19.27  0.600   0.3436  16.74  0.243  0.963 0.265   0.000  0.0141
 12 0.567 0.0215  18.17  0.600   0.3432  16.79  0.262  0.964 0.254   0.000  0.0121
 13 0.609 0.0200  17.24  0.600   0.3435  16.76  0.281  0.964 0.244   0.000  0.0105
 14 0.649 0.0187  16.45  0.600   0.3445  16.63  0.299  0.964 0.234   0.000  0.0092
 15 0.688 0.0174  15.78  0.600   0.3463  16.41  0.316  0.964 0.225   0.000  0.0081
 16 0.725 0.0163  15.20  0.600   0.3490  16.10  0.333  0.964 0.216   0.000  0.0071
 17 0.760 0.0151  14.69  0.600   0.3527  15.68  0.348  0.964 0.208   0.000  0.0063
 18 0.793 0.0140  14.26  0.600   0.3576  15.15  0.363  0.964 0.200   0.000  0.0056
 19 0.824 0.0130  13.87  0.600   0.3638  14.51  0.377  0.964 0.192   0.000  0.0050
 20 0.852 0.0119  13.54  0.600   0.3717  13.76  0.389  0.964 0.184   0.000  0.0044
 21 0.879 0.0108  13.25  0.600   0.3815  12.88  0.401  0.964 0.176   0.000  0.0039
 22 0.902 0.0097  13.00  0.600   0.3940  11.90  0.412  0.964 0.167   0.000  0.0034
 23 0.924 0.0086  12.79  0.600   0.4097  10.80  0.421  0.964 0.159   0.000  0.0030
 24 0.942 0.0075  12.61  0.600   0.4296   9.60  0.430  0.964 0.150   0.000  0.0025
 25 0.959 0.0064  12.45  0.600   0.4553   8.32  0.437  0.964 0.140   0.000  0.0021
 26 0.972 0.0053  12.33  0.600   0.4894   6.96  0.443  0.964 0.129   0.000  0.0017
 27 0.983 0.0042  12.23  0.600   0.5362   5.55  0.448  0.964 0.117   0.000  0.0013
 28 0.991 0.0031  12.16  0.600   0.6048   4.11  0.451  0.964 0.103   0.000  0.0010
 29 0.997 0.0020  12.11  0.600   0.7146   2.71  0.454  0.964 0.086   0.000  0.0006
 30 0.999 0.0012  12.08  0.600   0.8820   1.60  0.455  0.964 0.068   0.000  0.0004
