
 ===========================================================================
 Free Tip Potential Formulation Solution:  Designed blade                  
                                                  Wake adv. ratio:    0.05529
 no. blades :  2            radius(m)  :   0.0635     adv. ratio:     0.04785
 thrust(N)  :   1.92        power(W)   :   543.       torque(N-m):  0.826E-01
 Efficiency :  0.0708       speed(m/s) :   20.000     rpm        :  62856.000
 Eff induced:  0.8654       Eff ideal  :   0.8801     Area(m^2)  :    0.01265
 Tnacel(N)  :     0.0001    Rhub(m)    :   0.0025     Rwake(m)   :    0.0030
 Tvisc(N)   :    -0.1001    Pvisc(W)   :   497.       Mach       :    0.0588
 rho(kg/m3) :   1.22600     Vsound(m/s):  340.000     mu(kg/m-s) : 0.1780E-04
 ---------------------------------------------------------------------------
    J:    0.15032      adv:    0.04785       AF:    7.906
   Ct:    0.00550       Cp:    0.01167  (by rho,Diam,N)
   Tc:    0.61925       Pc:    8.74822  (by rho,Atip,Vel)
   CT:    0.00071       CP:    0.00048  (by rho,Atip,Vtip)
Sigma:    0.00720 CT/sigma:    0.09843  heliFOM:    0.02785

  i  r/R   c/R  beta(deg)  CL     Cd    REx10^3 Mach   effi  effp  na.u/U  solidity
  1 0.052 0.0773  48.70  0.600   0.0436  10.00  0.087  0.771 0.864   0.000  0.4695
  2 0.089 0.0642  33.92  0.600   0.0408  11.79  0.123  0.828 0.863   0.000  0.2308
  3 0.136 0.0507  23.93  0.600   0.0388  13.39  0.178  0.849 0.840   0.000  0.1184
  4 0.186 0.0407  18.32  0.600   0.0378  14.31  0.236  0.857 0.809   0.000  0.0696
  5 0.237 0.0336  14.87  0.600   0.0373  14.82  0.297  0.860 0.779   0.000  0.0452
  6 0.286 0.0285  12.54  0.600   0.0370  15.12  0.357  0.862 0.749   0.000  0.0317
  7 0.336 0.0247  10.84  0.600   0.0368  15.30  0.417  0.863 0.721   0.000  0.0234
  8 0.384 0.0218   9.53  0.600   0.0367  15.41  0.476  0.863 0.696   0.000  0.0180
  9 0.432 0.0195   8.48  0.600   0.0366  15.48  0.534  0.864 0.672   0.000  0.0144
 10 0.478 0.0177   7.59  0.600   0.0372  15.54  0.591  0.864 0.646   0.000  0.0118
 11 0.523 0.0162   6.82  0.600   0.0449  15.57  0.646  0.864 0.581   0.000  0.0099
 12 0.567 0.0150   6.12  0.600   0.0688  15.60  0.700  0.864 0.454   0.000  0.0084
 13 0.609 0.0140   5.47  0.600   0.1159  15.61  0.751  0.865 0.314   0.000  0.0073
 14 0.650 0.0131   4.85  0.600   0.1913  15.62  0.801  0.865 0.205   0.000  0.0064
 15 0.689 0.0124   4.24  0.600   0.2979  15.61  0.849  0.865 0.134   0.000  0.0057
 16 0.726 0.0117   3.61  0.600   0.4368  15.58  0.894  0.865 0.090   0.000  0.0051
 17 0.761 0.0111   2.93  0.600   0.6070  15.52  0.937  0.865 0.062   0.000  0.0047
 18 0.793 0.0106   2.09  0.600   0.8058  15.41  0.977  0.865 0.045   0.000  0.0043
 19 0.824 0.0101   1.40  0.600   0.9069  15.23  1.015  0.865 0.038   0.000  0.0039
 20 0.853 0.0096   1.27  0.600   0.9072  14.94  1.050  0.865 0.037   0.000  0.0036
 21 0.879 0.0090   1.16  0.600   0.9076  14.50  1.082  0.865 0.036   0.000  0.0033
 22 0.902 0.0084   1.06  0.600   0.9083  13.89  1.111  0.865 0.035   0.000  0.0030
 23 0.924 0.0077   0.98  0.600   0.9093  13.06  1.137  0.865 0.035   0.000  0.0027
 24 0.942 0.0070   0.91  0.600   0.9106  11.99  1.160  0.865 0.034   0.000  0.0023
 25 0.959 0.0061   0.86  0.600   0.9125  10.68  1.180  0.865 0.033   0.000  0.0020
 26 0.972 0.0051   0.81  0.600   0.9153   9.15  1.196  0.865 0.033   0.000  0.0017
 27 0.983 0.0041   0.78  0.600   0.9192   7.41  1.210  0.865 0.032   0.000  0.0013
 28 0.991 0.0031   0.75  0.600   0.9253   5.54  1.220  0.865 0.032   0.000  0.0010
 29 0.997 0.0020   0.73  0.600   0.9354   3.63  1.227  0.865 0.031   0.000  0.0006
 30 0.999 0.0011   0.72  0.600   0.9529   2.01  1.230  0.865 0.031   0.000  0.0004
