
 ===========================================================================
 Free Tip Potential Formulation Solution:  Designed blade                  
                                                  Wake adv. ratio:    0.39181
 no. blades :  3            radius(m)  :   0.0635     adv. ratio:     0.26054
 thrust(N)  :   3.69        power(W)   :   118.       torque(N-m):  0.979E-01
 Efficiency :  0.6225       speed(m/s) :   20.000     rpm        :  11543.999
 Eff induced:  0.6650       Eff ideal  :   0.8069     Area(m^2)  :    0.01265
 Tnacel(N)  :     0.0020    Rhub(m)    :   0.0025     Rwake(m)   :    0.0030
 Tvisc(N)   :    -0.0709    Pvisc(W)   :   5.42       Mach       :    0.0588
 rho(kg/m3) :   1.22600     Vsound(m/s):  340.000     mu(kg/m-s) : 0.1780E-04
 ---------------------------------------------------------------------------
    J:    0.81850      adv:    0.26054       AF:  308.911
   Ct:    0.31215       Cp:    0.41042  (by rho,Diam,N)
   Tc:    1.18648       Pc:    1.90592  (by rho,Atip,Vel)
   CT:    0.04027       CP:    0.01685  (by rho,Atip,Vtip)
Sigma:    0.47111 CT/sigma:    0.08548

  i  r/R   c/R  beta(deg)  CL     Cd    REx10^3 Mach   effi  effp  na.u/U  solidity
  1 0.052 0.1797  84.76  0.600   0.0361  16.00  0.060  0.592 0.517   0.000  1.6368
  2 0.089 0.2748  79.45  0.600   0.0301  25.24  0.062  0.636 0.764   0.000  1.4817
  3 0.136 0.4160  72.87  0.600   0.0249  40.63  0.066  0.653 0.867   0.000  1.4561
  4 0.186 0.5397  66.57  0.600   0.0217  57.14  0.071  0.658 0.908   0.000  1.3831
  5 0.237 0.6292  60.85  0.600   0.0197  72.94  0.078  0.661 0.927   0.000  1.2702
  6 0.286 0.6850  55.78  0.600   0.0183  87.25  0.086  0.662 0.937   0.000  1.1419
  7 0.336 0.7135  51.34  0.600   0.0174  99.73  0.094  0.663 0.943   0.000  1.0147
  8 0.384 0.7217  47.48  0.600   0.0167 110.27  0.103  0.663 0.946   0.000  0.8967
  9 0.432 0.7155  44.13  0.600   0.0162 118.88  0.112  0.664 0.947   0.000  0.7911
 10 0.478 0.6993  41.23  0.600   0.0159 125.63  0.121  0.664 0.948   0.000  0.6982
 11 0.523 0.6764  38.72  0.600   0.0156 130.60  0.130  0.664 0.948   0.000  0.6170
 12 0.567 0.6489  36.53  0.600   0.0155 133.92  0.139  0.664 0.947   0.000  0.5463
 13 0.609 0.6184  34.63  0.600   0.0154 135.67  0.148  0.664 0.946   0.000  0.4846
 14 0.650 0.5859  32.96  0.600   0.0154 135.95  0.156  0.664 0.944   0.000  0.4305
 15 0.689 0.5522  31.51  0.600   0.0154 134.86  0.164  0.664 0.943   0.000  0.3828
 16 0.726 0.5176  30.23  0.600   0.0155 132.46  0.172  0.664 0.941   0.000  0.3406
 17 0.761 0.4825  29.11  0.600   0.0157 128.85  0.180  0.664 0.939   0.000  0.3029
 18 0.793 0.4470  28.13  0.600   0.0159 124.09  0.187  0.664 0.937   0.000  0.2690
 19 0.824 0.4114  27.27  0.600   0.0162 118.27  0.193  0.664 0.934   0.000  0.2384
 20 0.853 0.3758  26.52  0.600   0.0166 111.47  0.199  0.664 0.931   0.000  0.2104
 21 0.879 0.3401  25.86  0.600   0.0171 103.77  0.205  0.664 0.928   0.000  0.1848
 22 0.902 0.3045  25.30  0.600   0.0177  95.24  0.210  0.665 0.924   0.000  0.1611
 23 0.924 0.2690  24.81  0.600   0.0184  85.99  0.215  0.665 0.920   0.000  0.1391
 24 0.942 0.2336  24.39  0.600   0.0194  76.10  0.219  0.665 0.916   0.000  0.1184
 25 0.959 0.1984  24.05  0.600   0.0205  65.68  0.223  0.665 0.910   0.000  0.0988
 26 0.972 0.1635  23.76  0.600   0.0221  54.84  0.226  0.665 0.903   0.000  0.0803
 27 0.983 0.1290  23.54  0.600   0.0242  43.72  0.228  0.665 0.894   0.000  0.0627
 28 0.991 0.0953  23.38  0.600   0.0272  32.57  0.230  0.665 0.881   0.000  0.0459
 29 0.997 0.0641  23.27  0.600   0.0318  22.02  0.231  0.665 0.863   0.000  0.0307
 30 0.999 0.0418  23.21  0.600   0.0377  14.40  0.232  0.665 0.841   0.000  0.0200
