
 ===========================================================================
 Free Tip Potential Formulation Solution:  Designed blade                  
                                                  Wake adv. ratio:    0.04269
 no. blades :  3            radius(m)  :   0.0762     adv. ratio:     0.03987
 thrust(N)  :   1.21        power(W)   :   543.       torque(N-m):  0.825E-01
 Efficiency :  0.0445       speed(m/s) :   20.000     rpm        :  62856.004
 Eff induced:  0.9342       Eff ideal  :   0.9403     Area(m^2)  :    0.01822
 Tnacel(N)  :     0.0000    Rhub(m)    :   0.0025     Rwake(m)   :    0.0030
 Tvisc(N)   :    -0.0744    Pvisc(W)   :   516.       Mach       :    0.0588
 rho(kg/m3) :   1.22600     Vsound(m/s):  340.000     mu(kg/m-s) : 0.1780E-04
 ---------------------------------------------------------------------------
    J:    0.12527      adv:    0.03987       AF:    1.630
   Ct:    0.00166       Cp:    0.00469  (by rho,Diam,N)
   Tc:    0.27004       Pc:    6.07404  (by rho,Atip,Vel)
   CT:    0.00021       CP:    0.00019  (by rho,Atip,Vtip)
Sigma:    0.00212 CT/sigma:    0.10114  heliFOM:    0.01155

  i  r/R   c/R  beta(deg)  CL     Cd    REx10^3 Mach   effi  effp  na.u/U  solidity
  1 0.047 0.0173  44.08  0.600   0.0725   2.81  0.091  0.843 0.786   0.000  0.1743
  2 0.086 0.0142  28.39  0.600   0.0661   3.53  0.139  0.903 0.774   0.000  0.0792
  3 0.135 0.0108  19.42  0.600   0.0631   3.98  0.207  0.922 0.726   0.000  0.0382
  4 0.185 0.0084  14.73  0.600   0.0619   4.17  0.279  0.928 0.675   0.000  0.0216
  5 0.236 0.0068  11.89  0.600   0.0614   4.26  0.352  0.930 0.627   0.000  0.0137
  6 0.286 0.0057   9.97  0.600   0.0611   4.31  0.425  0.931 0.586   0.000  0.0095
  7 0.335 0.0049   8.54  0.600   0.0609   4.34  0.498  0.932 0.549   0.000  0.0070
  8 0.384 0.0043   7.41  0.600   0.0609   4.35  0.569  0.933 0.517   0.000  0.0053
  9 0.431 0.0038   6.47  0.600   0.0674   4.37  0.639  0.933 0.463   0.000  0.0042
 10 0.478 0.0035   5.62  0.600   0.0983   4.37  0.707  0.933 0.348   0.000  0.0035
 11 0.523 0.0032   4.82  0.600   0.1701   4.38  0.774  0.933 0.218   0.000  0.0029
 12 0.567 0.0029   4.03  0.600   0.2956   4.38  0.838  0.933 0.128   0.000  0.0025
 13 0.609 0.0027   3.20  0.600   0.4843   4.39  0.900  0.934 0.075   0.000  0.0021
 14 0.650 0.0026   2.19  0.600   0.7416   4.39  0.960  0.934 0.046   0.000  0.0019
 15 0.689 0.0024   1.10  0.600   0.9307   4.39  1.017  0.934 0.035   0.000  0.0017
 16 0.725 0.0023   0.92  0.600   0.9307   4.39  1.072  0.934 0.033   0.000  0.0015
 17 0.760 0.0022   0.77  0.600   0.9307   4.39  1.123  0.934 0.032   0.000  0.0014
 18 0.793 0.0021   0.64  0.600   0.9307   4.39  1.172  0.934 0.031   0.000  0.0013
 19 0.824 0.0020   0.52  0.600   0.9307   4.39  1.217  0.934 0.030   0.000  0.0012
 20 0.853 0.0019   0.42  0.600   0.9307   4.38  1.259  0.934 0.029   0.000  0.0011
 21 0.879 0.0019   0.34  0.600   0.9309   4.36  1.298  0.934 0.028   0.000  0.0010
 22 0.902 0.0018   0.27  0.600   0.9312   4.30  1.332  0.934 0.027   0.000  0.0010
 23 0.924 0.0017   0.20  0.600   0.9317   4.20  1.364  0.934 0.027   0.000  0.0009
 24 0.942 0.0016   0.15  0.600   0.9328   4.02  1.391  0.934 0.026   0.000  0.0008
 25 0.959 0.0015   0.11  0.600   0.9347   3.74  1.415  0.934 0.026   0.000  0.0007
 26 0.972 0.0013   0.07  0.600   0.9378   3.32  1.435  0.934 0.025   0.000  0.0006
 27 0.983 0.0011   0.04  0.600   0.9428   2.78  1.451  0.934 0.025   0.000  0.0005
 28 0.991 0.0008   0.02  0.600   0.9511   2.13  1.463  0.934 0.025   0.000  0.0004
 29 0.997 0.0005   0.01  0.600   0.9655   1.41  1.471  0.934 0.024   0.000  0.0003
 30 0.999 0.0003   0.00  0.600   0.9913   0.78  1.475  0.934 0.023   0.000  0.0001
