
 ===========================================================================
 Free Tip Potential Formulation Solution:  Designed blade                  
                                                  Wake adv. ratio:    0.22991
 no. blades :  3            radius(m)  :   0.0762     adv. ratio:     0.11867
 thrust(N)  :   19.6        power(W)   :   814.       torque(N-m):  0.368    
 Efficiency :  0.4816       speed(m/s) :   20.000     rpm        :  21119.998
 Eff induced:  0.5162       Eff ideal  :   0.6025     Area(m^2)  :    0.01822
 Tnacel(N)  :     0.0083    Rhub(m)    :   0.0025     Rwake(m)   :    0.0030
 Tvisc(N)   :    -0.1701    Pvisc(W)   :   47.9       Mach       :    0.0588
 rho(kg/m3) :   1.22600     Vsound(m/s):  340.000     mu(kg/m-s) : 0.1780E-04
 ---------------------------------------------------------------------------
    J:    0.37282      adv:    0.11867       AF:  237.992
   Ct:    0.23909       Cp:    0.18508  (by rho,Diam,N)
   Tc:    4.38018       Pc:    9.09496  (by rho,Atip,Vel)
   CT:    0.03084       CP:    0.00760  (by rho,Atip,Vtip)
Sigma:    0.35107 CT/sigma:    0.08786

  i  r/R   c/R  beta(deg)  CL     Cd    REx10^3 Mach   effi  effp  na.u/U  solidity
  1 0.047 0.3266  81.36  0.600   0.0260  36.34  0.062  0.465 0.761   0.000  3.2987
  2 0.086 0.4999  71.97  0.600   0.0210  62.38  0.070  0.499 0.892   0.000  2.7874
  3 0.135 0.6605  61.75  0.600   0.0174  99.57  0.084  0.509 0.934   0.000  2.3425
  4 0.185 0.7298  53.16  0.600   0.0154 134.58  0.103  0.512 0.948   0.000  1.8829
  5 0.236 0.7390  46.24  0.600   0.0142 164.38  0.125  0.514 0.954   0.000  1.4980
  6 0.286 0.7183  40.73  0.600   0.0135 188.68  0.147  0.515 0.955   0.000  1.2006
  7 0.335 0.6847  36.33  0.600   0.0130 208.03  0.170  0.515 0.955   0.000  0.9755
  8 0.384 0.6467  32.78  0.600   0.0126 223.18  0.193  0.515 0.954   0.000  0.8046
  9 0.431 0.6081  29.88  0.600   0.0123 234.79  0.216  0.515 0.952   0.000  0.6731
 10 0.478 0.5709  27.49  0.600   0.0122 243.43  0.239  0.516 0.950   0.000  0.5704
 11 0.523 0.5357  25.50  0.600   0.0120 249.51  0.261  0.516 0.948   0.000  0.4890
 12 0.567 0.5025  23.81  0.600   0.0120 253.31  0.282  0.516 0.945   0.000  0.4233
 13 0.609 0.4713  22.39  0.600   0.0119 255.03  0.303  0.516 0.943   0.000  0.3694
 14 0.650 0.4417  21.16  0.600   0.0119 254.76  0.323  0.516 0.940   0.000  0.3246
 15 0.689 0.4134  20.11  0.600   0.0120 252.57  0.342  0.516 0.937   0.000  0.2867
 16 0.725 0.3862  19.19  0.600   0.0121 248.47  0.361  0.516 0.934   0.000  0.2542
 17 0.760 0.3596  18.40  0.600   0.0122 242.44  0.378  0.516 0.931   0.000  0.2258
 18 0.793 0.3335  17.70  0.600   0.0124 234.48  0.394  0.516 0.928   0.000  0.2007
 19 0.824 0.3075  17.10  0.600   0.0126 224.59  0.409  0.516 0.925   0.000  0.1782
 20 0.853 0.2817  16.57  0.600   0.0128 212.78  0.423  0.516 0.921   0.000  0.1578
 21 0.879 0.2558  16.11  0.600   0.0132 199.12  0.436  0.516 0.917   0.000  0.1390
 22 0.902 0.2298  15.71  0.600   0.0136 183.68  0.448  0.516 0.913   0.000  0.1216
 23 0.924 0.2036  15.37  0.600   0.0142 166.58  0.458  0.516 0.908   0.000  0.1053
 24 0.942 0.1773  15.08  0.600   0.0148 147.99  0.468  0.516 0.902   0.000  0.0898
 25 0.959 0.1509  14.84  0.600   0.0157 128.08  0.476  0.516 0.896   0.000  0.0752
 26 0.972 0.1244  14.64  0.600   0.0169 107.10  0.482  0.516 0.888   0.000  0.0611
 27 0.983 0.0980  14.48  0.600   0.0185  85.32  0.488  0.516 0.877   0.000  0.0476
 28 0.991 0.0720  14.36  0.600   0.0209  63.21  0.492  0.516 0.863   0.000  0.0347
 29 0.997 0.0473  14.29  0.600   0.0246  41.78  0.495  0.516 0.841   0.000  0.0227
 30 0.999 0.0283  14.25  0.600   0.0302  25.04  0.496  0.516 0.811   0.000  0.0135
