
 ===========================================================================
 Free Tip Potential Formulation Solution:  Designed blade                  
                                                  Wake adv. ratio:    0.29831
 no. blades :  2            radius(m)  :   0.0762     adv. ratio:     0.21712
 thrust(N)  :   4.01        power(W)   :   118.       torque(N-m):  0.979E-01
 Efficiency :  0.6766       speed(m/s) :   20.000     rpm        :  11544.001
 Eff induced:  0.7278       Eff ideal  :   0.8415     Area(m^2)  :    0.01822
 Tnacel(N)  :     0.0014    Rhub(m)    :   0.0025     Rwake(m)   :    0.0030
 Tvisc(N)   :    -0.0595    Pvisc(W)   :   6.69       Mach       :    0.0588
 rho(kg/m3) :   1.22600     Vsound(m/s):  340.000     mu(kg/m-s) : 0.1780E-04
 ---------------------------------------------------------------------------
    J:    0.68209      adv:    0.21712       AF:  228.300
   Ct:    0.16362       Cp:    0.16494  (by rho,Diam,N)
   Tc:    0.89555       Pc:    1.32355  (by rho,Atip,Vel)
   CT:    0.02111       CP:    0.00677  (by rho,Atip,Vtip)
Sigma:    0.22738 CT/sigma:    0.09283

  i  r/R   c/R  beta(deg)  CL     Cd    REx10^3 Mach   effi  effp  na.u/U  solidity
  1 0.047 0.2998  83.26  0.600   0.0273  32.15  0.060  0.656 0.696   0.000  2.0185
  2 0.086 0.4037  76.08  0.600   0.0238  45.34  0.063  0.704 0.850   0.000  1.5009
  3 0.135 0.5244  67.72  0.600   0.0207  64.21  0.069  0.718 0.909   0.000  1.2399
  4 0.185 0.6041  60.15  0.600   0.0188  82.38  0.076  0.723 0.931   0.000  1.0390
  5 0.236 0.6430  53.64  0.600   0.0175  98.35  0.086  0.725 0.941   0.000  0.8688
  6 0.286 0.6523  48.17  0.600   0.0166 111.76  0.096  0.726 0.946   0.000  0.7268
  7 0.335 0.6428  43.59  0.600   0.0160 122.65  0.107  0.726 0.948   0.000  0.6105
  8 0.384 0.6221  39.76  0.600   0.0156 131.19  0.118  0.727 0.948   0.000  0.5160
  9 0.431 0.5950  36.56  0.600   0.0153 137.60  0.130  0.727 0.947   0.000  0.4391
 10 0.478 0.5648  33.86  0.600   0.0151 142.07  0.141  0.727 0.946   0.000  0.3762
 11 0.523 0.5330  31.58  0.600   0.0150 144.82  0.152  0.727 0.944   0.000  0.3244
 12 0.567 0.5010  29.63  0.600   0.0149 145.99  0.163  0.727 0.942   0.000  0.2813
 13 0.609 0.4691  27.95  0.600   0.0149 145.73  0.174  0.727 0.940   0.000  0.2452
 14 0.650 0.4379  26.51  0.600   0.0150 144.17  0.185  0.727 0.937   0.000  0.2145
 15 0.689 0.4073  25.27  0.600   0.0151 141.40  0.195  0.727 0.935   0.000  0.1883
 16 0.725 0.3774  24.18  0.600   0.0153 137.51  0.204  0.727 0.932   0.000  0.1656
 17 0.760 0.3484  23.24  0.600   0.0155 132.59  0.213  0.727 0.929   0.000  0.1458
 18 0.793 0.3200  22.42  0.600   0.0158 126.71  0.222  0.727 0.925   0.000  0.1284
 19 0.824 0.2923  21.70  0.600   0.0161 119.95  0.230  0.727 0.922   0.000  0.1129
 20 0.853 0.2652  21.08  0.600   0.0166 112.39  0.237  0.727 0.918   0.000  0.0990
 21 0.879 0.2387  20.54  0.600   0.0171 104.08  0.244  0.727 0.914   0.000  0.0865
 22 0.902 0.2127  20.07  0.600   0.0177  95.11  0.251  0.727 0.909   0.000  0.0750
 23 0.924 0.1871  19.67  0.600   0.0185  85.56  0.256  0.728 0.904   0.000  0.0645
 24 0.942 0.1620  19.33  0.600   0.0194  75.49  0.261  0.728 0.898   0.000  0.0547
 25 0.959 0.1372  19.05  0.600   0.0206  65.00  0.265  0.728 0.891   0.000  0.0456
 26 0.972 0.1129  18.81  0.600   0.0222  54.20  0.269  0.728 0.882   0.000  0.0370
 27 0.983 0.0890  18.63  0.600   0.0243  43.20  0.272  0.728 0.871   0.000  0.0288
 28 0.991 0.0659  18.50  0.600   0.0273  32.25  0.274  0.728 0.857   0.000  0.0212
 29 0.997 0.0448  18.41  0.600   0.0318  22.04  0.276  0.728 0.836   0.000  0.0143
 30 0.999 0.0302  18.36  0.600   0.0372  14.89  0.276  0.728 0.813   0.000  0.0096
