
 ===========================================================================
 Free Tip Potential Formulation Solution:  Designed blade                  
                                                  Wake adv. ratio:    0.04282
 no. blades :  2            radius(m)  :   0.0762     adv. ratio:     0.03987
 thrust(N)  :   1.25        power(W)   :   543.       torque(N-m):  0.826E-01
 Efficiency :  0.0458       speed(m/s) :   20.000     rpm        :  62856.004
 Eff induced:  0.9312       Eff ideal  :   0.9387     Area(m^2)  :    0.01822
 Tnacel(N)  :     0.0000    Rhub(m)    :   0.0025     Rwake(m)   :    0.0030
 Tvisc(N)   :    -0.0746    Pvisc(W)   :   515.       Mach       :    0.0588
 rho(kg/m3) :   1.22600     Vsound(m/s):  340.000     mu(kg/m-s) : 0.1780E-04
 ---------------------------------------------------------------------------
    J:    0.12527      adv:    0.03987       AF:    2.495
   Ct:    0.00172       Cp:    0.00469  (by rho,Diam,N)
   Tc:    0.27837       Pc:    6.07515  (by rho,Atip,Vel)
   CT:    0.00022       CP:    0.00019  (by rho,Atip,Vtip)
Sigma:    0.00223 CT/sigma:    0.09942  heliFOM:    0.01209

  i  r/R   c/R  beta(deg)  CL     Cd    REx10^3 Mach   effi  effp  na.u/U  solidity
  1 0.047 0.0289  44.17  0.600   0.0590   4.70  0.091  0.840 0.822   0.000  0.1944
  2 0.086 0.0226  28.46  0.600   0.0550   5.61  0.139  0.900 0.806   0.000  0.0838
  3 0.135 0.0169  19.47  0.600   0.0527   6.24  0.207  0.919 0.762   0.000  0.0399
  4 0.185 0.0131  14.76  0.600   0.0517   6.55  0.279  0.925 0.714   0.000  0.0226
  5 0.236 0.0107  11.92  0.600   0.0512   6.70  0.352  0.927 0.670   0.000  0.0144
  6 0.286 0.0089   9.99  0.600   0.0509   6.78  0.425  0.929 0.630   0.000  0.0100
  7 0.335 0.0077   8.57  0.600   0.0508   6.83  0.498  0.929 0.595   0.000  0.0073
  8 0.384 0.0068   7.43  0.600   0.0508   6.86  0.569  0.930 0.563   0.000  0.0056
  9 0.431 0.0060   6.49  0.600   0.0573   6.88  0.639  0.930 0.505   0.000  0.0045
 10 0.478 0.0055   5.63  0.600   0.0882   6.89  0.707  0.930 0.374   0.000  0.0036
 11 0.523 0.0050   4.84  0.600   0.1600   6.90  0.774  0.930 0.230   0.000  0.0030
 12 0.567 0.0046   4.05  0.600   0.2855   6.91  0.838  0.931 0.132   0.000  0.0026
 13 0.609 0.0043   3.21  0.600   0.4742   6.92  0.900  0.931 0.077   0.000  0.0022
 14 0.650 0.0040   2.20  0.600   0.7315   6.92  0.960  0.931 0.047   0.000  0.0020
 15 0.689 0.0038   1.12  0.600   0.9206   6.92  1.017  0.931 0.035   0.000  0.0018
 16 0.725 0.0036   0.93  0.600   0.9206   6.92  1.072  0.931 0.034   0.000  0.0016
 17 0.760 0.0034   0.78  0.600   0.9206   6.91  1.123  0.931 0.032   0.000  0.0014
 18 0.793 0.0033   0.65  0.600   0.9207   6.89  1.172  0.931 0.031   0.000  0.0013
 19 0.824 0.0032   0.53  0.600   0.9208   6.85  1.217  0.931 0.030   0.000  0.0012
 20 0.853 0.0030   0.43  0.600   0.9210   6.78  1.259  0.931 0.029   0.000  0.0011
 21 0.879 0.0029   0.35  0.600   0.9214   6.66  1.298  0.931 0.028   0.000  0.0010
 22 0.902 0.0027   0.27  0.600   0.9220   6.46  1.332  0.931 0.028   0.000  0.0010
 23 0.924 0.0025   0.21  0.600   0.9230   6.16  1.364  0.931 0.027   0.000  0.0009
 24 0.942 0.0023   0.16  0.600   0.9245   5.75  1.391  0.931 0.027   0.000  0.0008
 25 0.959 0.0021   0.11  0.600   0.9268   5.19  1.415  0.931 0.026   0.000  0.0007
 26 0.972 0.0018   0.08  0.600   0.9301   4.50  1.435  0.931 0.026   0.000  0.0006
 27 0.983 0.0014   0.05  0.600   0.9351   3.68  1.451  0.931 0.025   0.000  0.0005
 28 0.991 0.0011   0.03  0.600   0.9429   2.77  1.463  0.931 0.025   0.000  0.0003
 29 0.997 0.0007   0.02  0.600   0.9562   1.82  1.471  0.931 0.024   0.000  0.0002
 30 0.999 0.0004   0.01  0.600   0.9795   1.00  1.475  0.931 0.024   0.000  0.0001
