
 ===========================================================================
 Free Tip Potential Formulation Solution:  Designed blade                  
                                                  Wake adv. ratio:    0.17545
 no. blades :  3            radius(m)  :   0.0889     adv. ratio:     0.10172
 thrust(N)  :   21.5        power(W)   :   814.       torque(N-m):  0.368    
 Efficiency :  0.5279       speed(m/s) :   20.000     rpm        :  21120.002
 Eff induced:  0.5798       Eff ideal  :   0.6394     Area(m^2)  :    0.02481
 Tnacel(N)  :     0.0052    Rhub(m)    :   0.0025     Rwake(m)   :    0.0030
 Tvisc(N)   :    -0.1610    Pvisc(W)   :   67.2       Mach       :    0.0588
 rho(kg/m3) :   1.22600     Vsound(m/s):  340.000     mu(kg/m-s) : 0.1780E-04
 ---------------------------------------------------------------------------
    J:    0.31956      adv:    0.10172       AF:  135.731
   Ct:    0.14147       Cp:    0.08563  (by rho,Diam,N)
   Tc:    3.52765       Pc:    6.68201  (by rho,Atip,Vel)
   CT:    0.01825       CP:    0.00352  (by rho,Atip,Vtip)
Sigma:    0.19747 CT/sigma:    0.09242

  i  r/R   c/R  beta(deg)  CL     Cd    REx10^3 Mach   effi  effp  na.u/U  solidity
  1 0.044 0.2346  78.77  0.600   0.0278  30.87  0.063  0.528 0.793   0.000  2.5598
  2 0.084 0.3674  66.70  0.600   0.0218  56.58  0.074  0.565 0.907   0.000  2.0933
  3 0.134 0.4566  54.74  0.600   0.0182  88.95  0.094  0.574 0.938   0.000  1.6324
  4 0.184 0.4748  45.53  0.600   0.0163 116.40  0.118  0.577 0.947   0.000  1.2301
  5 0.235 0.4594  38.64  0.600   0.0153 137.79  0.144  0.578 0.949   0.000  0.9334
  6 0.285 0.4318  33.47  0.600   0.0146 153.99  0.171  0.578 0.948   0.000  0.7229
  7 0.335 0.4015  29.50  0.600   0.0142 166.15  0.199  0.579 0.945   0.000  0.5727
  8 0.383 0.3722  26.40  0.600   0.0139 175.23  0.226  0.579 0.942   0.000  0.4635
  9 0.431 0.3453  23.92  0.600   0.0137 181.96  0.253  0.579 0.938   0.000  0.3825
 10 0.478 0.3211  21.91  0.600   0.0135 186.87  0.280  0.579 0.934   0.000  0.3210
 11 0.523 0.2993  20.25  0.600   0.0134 190.30  0.305  0.579 0.930   0.000  0.2733
 12 0.567 0.2798  18.86  0.600   0.0134 192.48  0.330  0.579 0.926   0.000  0.2357
 13 0.609 0.2621  17.69  0.600   0.0133 193.53  0.355  0.579 0.922   0.000  0.2055
 14 0.650 0.2459  16.69  0.600   0.0133 193.48  0.378  0.579 0.918   0.000  0.1807
 15 0.688 0.2308  15.82  0.600   0.0134 192.32  0.400  0.579 0.914   0.000  0.1601
 16 0.725 0.2165  15.08  0.600   0.0134 189.97  0.422  0.580 0.910   0.000  0.1425
 17 0.760 0.2027  14.43  0.600   0.0135 186.34  0.442  0.580 0.906   0.000  0.1273
 18 0.793 0.1891  13.86  0.600   0.0137 181.33  0.461  0.580 0.902   0.000  0.1138
 19 0.824 0.1756  13.36  0.600   0.0139 174.84  0.478  0.580 0.898   0.000  0.1017
 20 0.852 0.1619  12.92  0.600   0.0142 166.79  0.495  0.580 0.893   0.000  0.0907
 21 0.879 0.1481  12.55  0.600   0.0145 157.14  0.510  0.580 0.888   0.000  0.0805
 22 0.902 0.1339  12.22  0.600   0.0149 145.89  0.523  0.580 0.882   0.000  0.0708
 23 0.924 0.1193  11.93  0.600   0.0155 133.09  0.536  0.580 0.876   0.000  0.0617
 24 0.942 0.1045  11.69  0.600   0.0162 118.85  0.547  0.580 0.869   0.000  0.0529
 25 0.959 0.0893  11.48  0.600   0.0171 103.31  0.556  0.580 0.860   0.000  0.0445
 26 0.972 0.0739  11.32  0.600   0.0184  86.66  0.564  0.580 0.850   0.000  0.0363
 27 0.983 0.0583  11.19  0.600   0.0202  69.18  0.570  0.580 0.836   0.000  0.0283
 28 0.991 0.0428  11.09  0.600   0.0228  51.24  0.575  0.580 0.818   0.000  0.0206
 29 0.997 0.0280  11.02  0.600   0.0270  33.66  0.578  0.580 0.790   0.000  0.0134
 30 0.999 0.0162  10.99  0.600   0.0336  19.51  0.579  0.580 0.751   0.000  0.0077
