
 ===========================================================================
 Free Tip Potential Formulation Solution:  Designed blade                  
                                                  Wake adv. ratio:    0.03071
 no. blades :  2            radius(m)  :   0.1016     adv. ratio:     0.02991
 thrust(N)  :  0.786        power(W)   :   543.       torque(N-m):  0.826E-01
 Efficiency :  0.0289       speed(m/s) :   20.000     rpm        :  62855.992
 Eff induced:  0.9739       Eff ideal  :   0.9764     Area(m^2)  :    0.03241
 Tnacel(N)  :     0.0000    Rhub(m)    :   0.0025     Rwake(m)   :    0.0026
 Tvisc(N)   :    -0.0477    Pvisc(W)   :   526.       Mach       :    0.0588
 rho(kg/m3) :   1.22600     Vsound(m/s):  340.000     mu(kg/m-s) : 0.1780E-04
 ---------------------------------------------------------------------------
    J:    0.09395      adv:    0.02991       AF:    0.501
   Ct:    0.00034       Cp:    0.00111  (by rho,Diam,N)
   Tc:    0.09885       Pc:    3.41727  (by rho,Atip,Vel)
   CT:    0.00004       CP:    0.00005  (by rho,Atip,Vtip)
Sigma:    0.00044 CT/sigma:    0.10126  heliFOM:    0.00455

  i  r/R   c/R  beta(deg)  CL     Cd    REx10^3 Mach   effi  effp  na.u/U  solidity
  1 0.041 0.0072  38.59  0.600   0.0881   1.73  0.100  0.958 0.744   0.000  0.0559
  2 0.083 0.0051  22.25  0.600   0.0815   2.10  0.173  0.970 0.696   0.000  0.0197
  3 0.133 0.0036  14.77  0.600   0.0789   2.27  0.268  0.973 0.618   0.000  0.0085
  4 0.184 0.0027  11.08  0.600   0.0780   2.34  0.366  0.973 0.550   0.000  0.0047
  5 0.235 0.0021   8.83  0.600   0.0776   2.37  0.465  0.973 0.494   0.000  0.0029
  6 0.285 0.0018   7.24  0.600   0.0774   2.38  0.563  0.974 0.449   0.000  0.0020
  7 0.335 0.0015   5.97  0.600   0.0901   2.39  0.661  0.974 0.374   0.000  0.0014
  8 0.383 0.0013   4.84  0.600   0.1624   2.40  0.756  0.974 0.223   0.000  0.0011
  9 0.431 0.0012   3.71  0.600   0.3413   2.40  0.850  0.974 0.107   0.000  0.0009
 10 0.477 0.0011   2.40  0.600   0.6665   2.40  0.941  0.974 0.051   0.000  0.0007
 11 0.523 0.0010   0.92  0.600   0.9472   2.41  1.030  0.974 0.033   0.000  0.0006
 12 0.567 0.0009   0.66  0.600   0.9472   2.41  1.116  0.974 0.030   0.000  0.0005
 13 0.609 0.0008   0.44  0.600   0.9472   2.41  1.199  0.974 0.028   0.000  0.0004
 14 0.649 0.0008   0.26  0.600   0.9471   2.41  1.279  0.974 0.027   0.000  0.0004
 15 0.688 0.0007   0.11  0.600   0.9471   2.41  1.355  0.974 0.026   0.000  0.0003
 16 0.725 0.0007  -0.02  0.600   0.9471   2.41  1.428  0.974 0.024   0.000  0.0003
 17 0.760 0.0007  -0.13  0.600   0.9471   2.41  1.497  0.974 0.023   0.000  0.0003
 18 0.793 0.0006  -0.23  0.600   0.9472   2.41  1.561  0.974 0.022   0.000  0.0003
 19 0.824 0.0006  -0.31  0.600   0.9472   2.40  1.622  0.974 0.022   0.000  0.0002
 20 0.852 0.0006  -0.38  0.600   0.9473   2.40  1.678  0.974 0.021   0.000  0.0002
 21 0.879 0.0006  -0.44  0.600   0.9475   2.38  1.729  0.974 0.020   0.000  0.0002
 22 0.902 0.0006  -0.49  0.600   0.9480   2.34  1.776  0.974 0.020   0.000  0.0002
 23 0.924 0.0005  -0.54  0.600   0.9489   2.28  1.818  0.974 0.020   0.000  0.0002
 24 0.942 0.0005  -0.58  0.600   0.9504   2.17  1.854  0.974 0.019   0.000  0.0002
 25 0.959 0.0004  -0.61  0.600   0.9530   2.01  1.886  0.974 0.019   0.000  0.0001
 26 0.972 0.0004  -0.63  0.600   0.9572   1.77  1.913  0.974 0.018   0.000  0.0001
 27 0.983 0.0003  -0.65  0.600   0.9638   1.48  1.934  0.974 0.018   0.000  0.0001
 28 0.991 0.0002  -0.67  0.600   0.9746   1.13  1.950  0.974 0.018   0.000  0.0001
 29 0.997 0.0002  -0.68  0.600   0.9933   0.75  1.961  0.974 0.017   0.000  0.0001
 30 0.999 0.0001  -0.68  0.600   1.0266   0.41  1.966  0.974 0.017   0.000  0.0000
