
 ===========================================================================
 Free Tip Potential Formulation Solution:  Designed blade                  
                                                  Wake adv. ratio:    0.14419
 no. blades :  2            radius(m)  :   0.1016     adv. ratio:     0.08900
 thrust(N)  :   22.6        power(W)   :   814.       torque(N-m):  0.368    
 Efficiency :  0.5545       speed(m/s) :   20.000     rpm        :  21120.000
 Eff induced:  0.6173       Eff ideal  :   0.6760     Area(m^2)  :    0.03241
 Tnacel(N)  :     0.0008    Rhub(m)    :   0.0025     Rwake(m)   :    0.0026
 Tvisc(N)   :    -0.1370    Pvisc(W)   :   78.4       Mach       :    0.0588
 rho(kg/m3) :   1.22600     Vsound(m/s):  340.000     mu(kg/m-s) : 0.1780E-04
 ---------------------------------------------------------------------------
    J:    0.27962      adv:    0.08900       AF:  121.299
   Ct:    0.08709       Cp:    0.04392  (by rho,Diam,N)
   Tc:    2.83653       Pc:    5.11591  (by rho,Atip,Vel)
   CT:    0.01124       CP:    0.00180  (by rho,Atip,Vtip)
Sigma:    0.11717 CT/sigma:    0.09589  heliFOM:    0.46691

  i  r/R   c/R  beta(deg)  CL     Cd    REx10^3 Mach   effi  effp  na.u/U  solidity
  1 0.041 0.3962  76.10  0.600   0.0213  60.37  0.064  0.607 0.866   0.000  3.0588
  2 0.083 0.5088  62.15  0.600   0.0178  94.63  0.078  0.615 0.932   0.000  1.9609
  3 0.133 0.5427  49.26  0.600   0.0155 132.67  0.103  0.616 0.949   0.000  1.3005
  4 0.184 0.5174  40.00  0.600   0.0143 162.36  0.132  0.617 0.952   0.000  0.8960
  5 0.235 0.4755  33.44  0.600   0.0136 184.28  0.163  0.617 0.951   0.000  0.6451
  6 0.285 0.4326  28.68  0.600   0.0132 200.24  0.195  0.617 0.948   0.000  0.4833
  7 0.335 0.3934  25.12  0.600   0.0129 211.81  0.226  0.617 0.944   0.000  0.3743
  8 0.383 0.3589  22.38  0.600   0.0127 220.10  0.258  0.617 0.939   0.000  0.2981
  9 0.431 0.3288  20.22  0.600   0.0125 225.90  0.289  0.617 0.935   0.000  0.2429
 10 0.477 0.3026  18.48  0.600   0.0125 229.72  0.319  0.617 0.930   0.000  0.2017
 11 0.523 0.2795  17.05  0.600   0.0124 231.90  0.349  0.617 0.925   0.000  0.1702
 12 0.567 0.2591  15.85  0.600   0.0124 232.63  0.377  0.617 0.920   0.000  0.1456
 13 0.609 0.2407  14.84  0.600   0.0124 232.01  0.405  0.617 0.915   0.000  0.1258
 14 0.649 0.2239  13.97  0.600   0.0124 230.07  0.432  0.617 0.910   0.000  0.1098
 15 0.688 0.2084  13.22  0.600   0.0125 226.79  0.457  0.617 0.905   0.000  0.0964
 16 0.725 0.1938  12.57  0.600   0.0126 222.13  0.482  0.617 0.901   0.000  0.0851
 17 0.760 0.1799  12.00  0.600   0.0128 216.03  0.505  0.617 0.896   0.000  0.0753
 18 0.793 0.1664  11.51  0.600   0.0129 208.42  0.526  0.617 0.890   0.000  0.0668
 19 0.824 0.1532  11.07  0.600   0.0132 199.26  0.547  0.617 0.885   0.000  0.0592
 20 0.852 0.1402  10.68  0.600   0.0135 188.54  0.565  0.617 0.879   0.000  0.0523
 21 0.879 0.1272  10.34  0.600   0.0141 176.27  0.583  0.617 0.871   0.000  0.0461
 22 0.902 0.1142  10.05  0.600   0.0153 162.51  0.598  0.617 0.859   0.000  0.0403
 23 0.924 0.1011   9.79  0.600   0.0171 147.32  0.612  0.617 0.842   0.000  0.0349
 24 0.942 0.0880   9.57  0.600   0.0194 130.84  0.625  0.617 0.821   0.000  0.0297
 25 0.959 0.0749   9.39  0.600   0.0223 113.21  0.635  0.617 0.797   0.000  0.0249
 26 0.972 0.0618   9.23  0.600   0.0256  94.64  0.644  0.617 0.772   0.000  0.0202
 27 0.983 0.0486   9.11  0.600   0.0293  75.38  0.651  0.617 0.745   0.000  0.0158
 28 0.991 0.0357   9.02  0.600   0.0334  55.81  0.657  0.617 0.717   0.000  0.0115
 29 0.997 0.0234   8.96  0.600   0.0386  36.83  0.660  0.617 0.686   0.000  0.0075
 30 0.999 0.0139   8.93  0.600   0.0453  21.93  0.662  0.617 0.650   0.000  0.0044
