
 ===========================================================================
 Free Tip Potential Formulation Solution:  Designed blade                  
                                                  Wake adv. ratio:    0.19047
 no. blades :  3            radius(m)  :   0.1016     adv. ratio:     0.16284
 thrust(N)  :   4.39        power(W)   :   118.       torque(N-m):  0.979E-01
 Efficiency :  0.7418       speed(m/s) :   20.000     rpm        :  11544.000
 Eff induced:  0.8549       Eff ideal  :   0.8905     Area(m^2)  :    0.03241
 Tnacel(N)  :     0.0003    Rhub(m)    :   0.0025     Rwake(m)   :    0.0030
 Tvisc(N)   :    -0.0610    Pvisc(W)   :   14.2       Mach       :    0.0588
 rho(kg/m3) :   1.22600     Vsound(m/s):  340.000     mu(kg/m-s) : 0.1780E-04
 ---------------------------------------------------------------------------
    J:    0.51157      adv:    0.16284       AF:   52.148
   Ct:    0.05675       Cp:    0.03914  (by rho,Diam,N)
   Tc:    0.55224       Pc:    0.74450  (by rho,Atip,Vel)
   CT:    0.00732       CP:    0.00161  (by rho,Atip,Vtip)
Sigma:    0.07672 CT/sigma:    0.09543

  i  r/R   c/R  beta(deg)  CL     Cd    REx10^3 Mach   effi  effp  na.u/U  solidity
  1 0.041 0.0504  79.88  0.600   0.0496   7.27  0.061  0.786 0.602   0.000  0.5835
  2 0.083 0.0930  68.54  0.600   0.0375  14.56  0.066  0.837 0.833   0.000  0.5375
  3 0.133 0.1314  57.05  0.600   0.0309  23.66  0.076  0.848 0.894   0.000  0.4722
  4 0.184 0.1498  47.94  0.600   0.0276  31.52  0.088  0.851 0.912   0.000  0.3892
  5 0.235 0.1544  40.98  0.600   0.0256  37.79  0.103  0.853 0.917   0.000  0.3142
  6 0.285 0.1516  35.66  0.600   0.0244  42.64  0.118  0.853 0.917   0.000  0.2540
  7 0.335 0.1452  31.55  0.600   0.0236  46.34  0.134  0.854 0.914   0.000  0.2073
  8 0.383 0.1376  28.30  0.600   0.0231  49.14  0.150  0.854 0.910   0.000  0.1714
  9 0.431 0.1296  25.71  0.600   0.0227  51.24  0.166  0.854 0.906   0.000  0.1436
 10 0.477 0.1219  23.60  0.600   0.0224  52.78  0.182  0.854 0.901   0.000  0.1219
 11 0.523 0.1146  21.86  0.600   0.0222  53.86  0.198  0.854 0.895   0.000  0.1047
 12 0.567 0.1077  20.40  0.600   0.0221  54.54  0.213  0.855 0.890   0.000  0.0908
 13 0.609 0.1013  19.17  0.600   0.0221  54.85  0.227  0.855 0.884   0.000  0.0795
 14 0.649 0.0953  18.13  0.600   0.0221  54.82  0.242  0.855 0.879   0.000  0.0701
 15 0.688 0.0896  17.24  0.600   0.0221  54.44  0.255  0.855 0.873   0.000  0.0622
 16 0.725 0.0841  16.47  0.600   0.0223  53.70  0.268  0.855 0.868   0.000  0.0554
 17 0.760 0.0787  15.80  0.600   0.0225  52.58  0.281  0.855 0.862   0.000  0.0494
 18 0.793 0.0734  15.22  0.600   0.0227  51.06  0.292  0.855 0.856   0.000  0.0442
 19 0.824 0.0681  14.72  0.600   0.0231  49.12  0.303  0.855 0.850   0.000  0.0395
 20 0.852 0.0627  14.28  0.600   0.0235  46.75  0.313  0.855 0.843   0.000  0.0351
 21 0.879 0.0572  13.90  0.600   0.0241  43.94  0.323  0.855 0.836   0.000  0.0311
 22 0.902 0.0517  13.58  0.600   0.0249  40.70  0.331  0.855 0.828   0.000  0.0273
 23 0.924 0.0460  13.30  0.600   0.0258  37.06  0.339  0.855 0.820   0.000  0.0238
 24 0.942 0.0402  13.06  0.600   0.0270  33.03  0.345  0.855 0.810   0.000  0.0204
 25 0.959 0.0343  12.86  0.600   0.0286  28.67  0.351  0.855 0.799   0.000  0.0171
 26 0.972 0.0284  12.70  0.600   0.0307  24.02  0.356  0.855 0.785   0.000  0.0139
 27 0.983 0.0224  12.57  0.600   0.0336  19.16  0.360  0.855 0.767   0.000  0.0109
 28 0.991 0.0164  12.48  0.600   0.0379  14.19  0.363  0.855 0.743   0.000  0.0079
 29 0.997 0.0108  12.42  0.600   0.0448   9.34  0.365  0.855 0.709   0.000  0.0052
 30 0.999 0.0063  12.39  0.600   0.0556   5.46  0.366  0.855 0.661   0.000  0.0030
