
 ===========================================================================
 Free Tip Potential Formulation Solution:  Designed blade                  
                                                  Wake adv. ratio:    0.26673
 no. blades :  2            radius(m)  :   0.1270     adv. ratio:     0.20797
 thrust(N)  :   8.77        power(W)   :   242.       torque(N-m):  0.319    
 Efficiency :  0.7257       speed(m/s) :   20.000     rpm        :   7231.000
 Eff induced:  0.7797       Eff ideal  :   0.8672     Area(m^2)  :    0.05064
 Tnacel(N)  :     0.0010    Rhub(m)    :   0.0030     Rwake(m)   :    0.0035
 Tvisc(N)   :    -0.1082    Pvisc(W)   :   14.0       Mach       :    0.0588
 rho(kg/m3) :   1.22600     Vsound(m/s):  340.000     mu(kg/m-s) : 0.1780E-04
 ---------------------------------------------------------------------------
    J:    0.65335      adv:    0.20797       AF:  161.681
   Ct:    0.11837       Cp:    0.10658  (by rho,Diam,N)
   Tc:    0.70612       Pc:    0.97308  (by rho,Atip,Vel)
   CT:    0.01527       CP:    0.00438  (by rho,Atip,Vtip)
Sigma:    0.16057 CT/sigma:    0.09510

  i  r/R   c/R  beta(deg)  CL     Cd    REx10^3 Mach   effi  effp  na.u/U  solidity
  1 0.041 0.1855  83.45  0.600   0.0270  33.03  0.060  0.729 0.693   0.000  1.4572
  2 0.082 0.2859  74.85  0.600   0.0223  53.63  0.063  0.767 0.869   0.000  1.1061
  3 0.133 0.3849  65.51  0.600   0.0190  79.42  0.069  0.775 0.922   0.000  0.9236
  4 0.184 0.4443  57.38  0.600   0.0172 102.95  0.078  0.777 0.940   0.000  0.7699
  5 0.235 0.4701  50.60  0.600   0.0160 122.99  0.088  0.778 0.947   0.000  0.6381
  6 0.285 0.4735  45.03  0.600   0.0152 139.42  0.099  0.779 0.951   0.000  0.5291
  7 0.334 0.4635  40.48  0.600   0.0147 152.51  0.111  0.779 0.951   0.000  0.4412
  8 0.383 0.4461  36.74  0.600   0.0143 162.61  0.123  0.779 0.951   0.000  0.3706
  9 0.431 0.4249  33.65  0.600   0.0140 170.07  0.135  0.779 0.950   0.000  0.3139
 10 0.477 0.4019  31.07  0.600   0.0139 175.20  0.147  0.779 0.948   0.000  0.2679
 11 0.523 0.3783  28.91  0.600   0.0138 178.27  0.158  0.779 0.946   0.000  0.2304
 12 0.567 0.3549  27.07  0.600   0.0137 179.48  0.170  0.779 0.943   0.000  0.1994
 13 0.609 0.3319  25.51  0.600   0.0138 179.02  0.181  0.779 0.941   0.000  0.1735
 14 0.649 0.3095  24.17  0.600   0.0138 177.00  0.192  0.779 0.938   0.000  0.1517
 15 0.688 0.2878  23.01  0.600   0.0139 173.56  0.203  0.779 0.935   0.000  0.1331
 16 0.725 0.2666  22.01  0.600   0.0141 168.79  0.213  0.779 0.932   0.000  0.1170
 17 0.760 0.2461  21.14  0.600   0.0143 162.78  0.222  0.780 0.929   0.000  0.1030
 18 0.793 0.2261  20.39  0.600   0.0146 155.61  0.231  0.780 0.925   0.000  0.0907
 19 0.824 0.2066  19.73  0.600   0.0149 147.37  0.240  0.780 0.921   0.000  0.0798
 20 0.852 0.1875  19.15  0.600   0.0153 138.13  0.248  0.780 0.917   0.000  0.0700
 21 0.879 0.1688  18.66  0.600   0.0157 127.97  0.255  0.780 0.913   0.000  0.0612
 22 0.902 0.1505  18.23  0.600   0.0163 116.99  0.261  0.780 0.908   0.000  0.0531
 23 0.924 0.1324  17.86  0.600   0.0170 105.26  0.267  0.780 0.903   0.000  0.0456
 24 0.942 0.1146  17.55  0.600   0.0179  92.90  0.272  0.780 0.897   0.000  0.0387
 25 0.959 0.0971  17.29  0.600   0.0190  79.99  0.277  0.780 0.890   0.000  0.0323
 26 0.972 0.0799  17.08  0.600   0.0204  66.68  0.281  0.780 0.881   0.000  0.0262
 27 0.983 0.0629  16.91  0.600   0.0224  53.11  0.284  0.780 0.870   0.000  0.0204
 28 0.991 0.0465  16.79  0.600   0.0252  39.57  0.286  0.780 0.855   0.000  0.0149
 29 0.997 0.0314  16.71  0.600   0.0294  26.83  0.288  0.780 0.834   0.000  0.0100
 30 0.999 0.0207  16.67  0.600   0.0347  17.74  0.288  0.780 0.809   0.000  0.0066
