
 ===========================================================================
 Free Tip Potential Formulation Solution:  Designed blade                  
                                                  Wake adv. ratio:    0.02423
 no. blades :  2            radius(m)  :   0.1270     adv. ratio:     0.02392
 thrust(N)  :  0.588        power(W)   :   543.       torque(N-m):  0.826E-01
 Efficiency :  0.0216       speed(m/s) :   20.000     rpm        :  62856.000
 Eff induced:  0.9874       Eff ideal  :   0.9884     Area(m^2)  :    0.05064
 Tnacel(N)  :     0.0000    Rhub(m)    :   0.0030     Rwake(m)   :    0.0035
 Tvisc(N)   :    -0.0334    Pvisc(W)   :   531.       Mach       :    0.0588
 rho(kg/m3) :   1.22600     Vsound(m/s):  340.000     mu(kg/m-s) : 0.1780E-04
 ---------------------------------------------------------------------------
    J:    0.07516      adv:    0.02392       AF:    0.153
   Ct:    0.00010       Cp:    0.00036  (by rho,Diam,N)
   Tc:    0.04731       Pc:    2.18705  (by rho,Atip,Vel)
   CT:    0.00001       CP:    0.00001  (by rho,Atip,Vtip)
Sigma:    0.00013 CT/sigma:    0.10271  heliFOM:    0.00235

  i  r/R   c/R  beta(deg)  CL     Cd    REx10^3 Mach   effi  effp  na.u/U  solidity
  1 0.041 0.0026  32.79  0.600   0.1144   0.90  0.116  0.923 0.672   0.000  0.0205
  2 0.082 0.0017  18.23  0.600   0.1079   1.04  0.211  0.972 0.588   0.000  0.0064
  3 0.133 0.0011  12.01  0.600   0.1056   1.10  0.331  0.982 0.493   0.000  0.0027
  4 0.184 0.0008   8.91  0.600   0.1048   1.12  0.455  0.984 0.420   0.000  0.0014
  5 0.235 0.0007   6.93  0.600   0.1047   1.12  0.580  0.986 0.365   0.000  0.0009
  6 0.285 0.0005   5.40  0.600   0.1387   1.13  0.703  0.986 0.264   0.000  0.0006
  7 0.334 0.0005   3.97  0.600   0.3066   1.13  0.824  0.986 0.120   0.000  0.0004
  8 0.383 0.0004   2.30  0.600   0.7069   1.13  0.944  0.987 0.047   0.000  0.0003
  9 0.431 0.0004   0.78  0.600   0.9743   1.13  1.061  0.987 0.030   0.000  0.0003
 10 0.477 0.0003   0.46  0.600   0.9742   1.13  1.175  0.987 0.028   0.000  0.0002
 11 0.523 0.0003   0.21  0.600   0.9742   1.13  1.287  0.987 0.026   0.000  0.0002
 12 0.567 0.0003   0.01  0.600   0.9742   1.14  1.394  0.987 0.024   0.000  0.0002
 13 0.609 0.0003  -0.16  0.600   0.9742   1.14  1.498  0.987 0.022   0.000  0.0001
 14 0.649 0.0002  -0.31  0.600   0.9742   1.14  1.598  0.987 0.021   0.000  0.0001
 15 0.688 0.0002  -0.43  0.600   0.9742   1.14  1.693  0.987 0.020   0.000  0.0001
 16 0.725 0.0002  -0.53  0.600   0.9742   1.14  1.784  0.987 0.019   0.000  0.0001
 17 0.760 0.0002  -0.62  0.600   0.9742   1.14  1.870  0.987 0.018   0.000  0.0001
 18 0.793 0.0002  -0.69  0.600   0.9742   1.14  1.951  0.987 0.018   0.000  0.0001
 19 0.824 0.0002  -0.76  0.600   0.9742   1.14  2.027  0.987 0.017   0.000  0.0001
 20 0.852 0.0002  -0.81  0.600   0.9742   1.13  2.097  0.987 0.016   0.000  0.0001
 21 0.879 0.0002  -0.86  0.600   0.9743   1.13  2.161  0.987 0.016   0.000  0.0001
 22 0.902 0.0002  -0.90  0.600   0.9747   1.12  2.219  0.987 0.016   0.000  0.0001
 23 0.924 0.0002  -0.94  0.600   0.9753   1.10  2.272  0.987 0.015   0.000  0.0001
 24 0.942 0.0002  -0.97  0.600   0.9768   1.07  2.318  0.987 0.015   0.000  0.0001
 25 0.959 0.0001  -0.99  0.600   0.9794   1.00  2.357  0.987 0.015   0.000  0.0000
 26 0.972 0.0001  -1.01  0.600   0.9841   0.91  2.391  0.987 0.014   0.000  0.0000
 27 0.983 0.0001  -1.03  0.600   0.9920   0.77  2.417  0.987 0.014   0.000  0.0000
 28 0.991 0.0001  -1.04  0.600   1.0053   0.59  2.438  0.987 0.014   0.000  0.0000
 29 0.997 0.0001  -1.05  0.600   1.0290   0.39  2.451  0.987 0.013   0.000  0.0000
 30 0.999 0.0000  -1.05  0.600   1.0719   0.22  2.458  0.987 0.013   0.000  0.0000
