
 ===========================================================================
 Free Tip Potential Formulation Solution:  Designed blade                  
                                                  Wake adv. ratio:    0.09633
 no. blades :  2            radius(m)  :   0.1270     adv. ratio:     0.07120
 thrust(N)  :   19.3        power(W)   :   814.       torque(N-m):  0.368    
 Efficiency :  0.4734       speed(m/s) :   20.000     rpm        :  21119.998
 Eff induced:  0.7392       Eff ideal  :   0.7702     Area(m^2)  :    0.05064
 Tnacel(N)  :     0.0016    Rhub(m)    :   0.0030     Rwake(m)   :    0.0035
 Tvisc(N)   :    -0.1770    Pvisc(W)   :   288.       Mach       :    0.0588
 rho(kg/m3) :   1.22600     Vsound(m/s):  340.000     mu(kg/m-s) : 0.1780E-04
 ---------------------------------------------------------------------------
    J:    0.22369      adv:    0.07120       AF:   41.932
   Ct:    0.03046       Cp:    0.01439  (by rho,Diam,N)
   Tc:    1.54995       Pc:    3.27418  (by rho,Atip,Vel)
   CT:    0.00393       CP:    0.00059  (by rho,Atip,Vtip)
Sigma:    0.03979 CT/sigma:    0.09875  heliFOM:    0.29467

  i  r/R   c/R  beta(deg)  CL     Cd    REx10^3 Mach   effi  effp  na.u/U  solidity
  1 0.041 0.2041  69.51  0.600   0.0249  40.79  0.067  0.691 0.884   0.000  1.6034
  2 0.082 0.2348  51.49  0.600   0.0210  62.07  0.089  0.727 0.931   0.000  0.9086
  3 0.133 0.2234  37.90  0.600   0.0188  81.89  0.123  0.735 0.937   0.000  0.5361
  4 0.184 0.1977  29.55  0.600   0.0177  95.06  0.162  0.737 0.932   0.000  0.3425
  5 0.235 0.1728  24.16  0.600   0.0171 103.61  0.202  0.738 0.924   0.000  0.2346
  6 0.285 0.1519  20.47  0.600   0.0168 109.23  0.242  0.738 0.915   0.000  0.1698
  7 0.334 0.1348  17.80  0.600   0.0165 112.99  0.282  0.739 0.905   0.000  0.1283
  8 0.383 0.1209  15.78  0.600   0.0164 115.54  0.321  0.739 0.896   0.000  0.1004
  9 0.431 0.1095  14.21  0.600   0.0163 117.27  0.360  0.739 0.886   0.000  0.0809
 10 0.477 0.1000  12.93  0.600   0.0162 118.43  0.398  0.739 0.877   0.000  0.0667
 11 0.523 0.0920  11.89  0.600   0.0162 119.14  0.435  0.739 0.868   0.000  0.0560
 12 0.567 0.0852  11.01  0.600   0.0162 119.48  0.471  0.739 0.859   0.000  0.0479
 13 0.609 0.0794  10.25  0.600   0.0162 119.46  0.506  0.739 0.851   0.000  0.0415
 14 0.649 0.0742   9.60  0.600   0.0162 119.07  0.539  0.739 0.843   0.000  0.0364
 15 0.688 0.0696   9.03  0.600   0.0163 118.25  0.571  0.739 0.834   0.000  0.0322
 16 0.725 0.0653   8.52  0.600   0.0176 116.92  0.602  0.739 0.816   0.000  0.0287
 17 0.760 0.0613   8.07  0.600   0.0213 114.97  0.631  0.739 0.778   0.000  0.0257
 18 0.793 0.0574   7.66  0.600   0.0284 112.30  0.658  0.739 0.715   0.000  0.0230
 19 0.824 0.0536   7.30  0.600   0.0393 108.79  0.683  0.739 0.636   0.000  0.0207
 20 0.852 0.0497   6.97  0.600   0.0540 104.32  0.706  0.739 0.551   0.000  0.0185
 21 0.879 0.0457   6.67  0.600   0.0720  98.83  0.728  0.739 0.471   0.000  0.0165
 22 0.902 0.0415   6.40  0.600   0.0928  92.25  0.747  0.739 0.402   0.000  0.0146
 23 0.924 0.0372   6.16  0.600   0.1154  84.59  0.765  0.739 0.345   0.000  0.0128
 24 0.942 0.0327   5.95  0.600   0.1388  75.89  0.780  0.739 0.299   0.000  0.0110
 25 0.959 0.0281   5.77  0.600   0.1620  66.23  0.794  0.739 0.264   0.000  0.0093
 26 0.972 0.0233   5.62  0.600   0.1840  55.73  0.805  0.739 0.237   0.000  0.0076
 27 0.983 0.0184   5.50  0.600   0.2039  44.59  0.814  0.739 0.216   0.000  0.0060
 28 0.991 0.0135   5.41  0.600   0.2212  33.05  0.821  0.739 0.201   0.000  0.0043
 29 0.997 0.0088   5.34  0.600   0.2361  21.66  0.825  0.739 0.190   0.000  0.0028
 30 0.999 0.0050   5.31  0.600   0.2493  12.34  0.827  0.739 0.181   0.000  0.0016
