
 ===========================================================================
 Ducted Potential Formulation Solution:  Designed blade                  
 Vdisk/Vslip:    1.20000                         Wake adv. ratio:    0.12435
 no. blades :  2            radius(m)  :   0.1270     adv. ratio:     0.08544
 thrust(N)  :   20.3        power(W)   :   688.       torque(N-m):  0.373    
 Efficiency :  0.5906       speed(m/s) :   20.000     rpm        :  17599.998
 Eff induced:  0.6871       Eff ideal  :   0.7624     Area(m^2)  :    0.05064
 Tnacel(N)  :     3.8666    Rhub(m)    :   0.0030     Rwake(m)   :    0.0035
 Tvisc(N)   :    -0.1531    Pvisc(W)   :   92.2       Mach       :    0.0588
 rho(kg/m3) :   1.22600     Vsound(m/s):  340.000     mu(kg/m-s) : 0.1780E-04
 ---------------------------------------------------------------------------
    J:    0.26843      adv:    0.08544       AF:   52.882
   Ct:    0.04627       Cp:    0.02103  (by rho,Diam,N)
   Tc:    1.63523       Pc:    2.76873  (by rho,Atip,Vel)
   CT:    0.00597       CP:    0.00086  (by rho,Atip,Vtip)
Sigma:    0.04351 CT/sigma:    0.13718  ductFOM:    0.37762

  i  r/R   c/R  beta(deg)  CL     Cd    REx10^3 Mach   effi  effp  na.u/U  solidity
  1 0.041 0.3426  99.79  0.600   0.0169 106.60  0.105 -0.208 1.208   0.000  2.6919
  2 0.082 0.3269  72.82  0.600   0.0169 106.60  0.110  0.420 0.910   0.000  1.2648
  3 0.133 0.2758  54.77  0.600   0.0169 106.60  0.130  0.548 0.943   0.000  0.6618
  4 0.184 0.2292  43.37  0.600   0.0169 106.60  0.156  0.587 0.945   0.000  0.3972
  5 0.235 0.1930  35.75  0.600   0.0169 106.60  0.186  0.603 0.942   0.000  0.2619
  6 0.285 0.1656  30.41  0.600   0.0169 106.60  0.216  0.612 0.936   0.000  0.1850
  7 0.334 0.1446  26.49  0.600   0.0169 106.60  0.248  0.616 0.930   0.000  0.1376
  8 0.383 0.1283  23.52  0.600   0.0169 106.60  0.279  0.619 0.924   0.000  0.1066
  9 0.431 0.1154  21.19  0.600   0.0169 106.59  0.310  0.622 0.917   0.000  0.0853
 10 0.477 0.1050  19.32  0.600   0.0169 106.60  0.341  0.623 0.910   0.000  0.0700
 11 0.523 0.0965  17.79  0.600   0.0169 106.59  0.371  0.624 0.904   0.000  0.0588
 12 0.567 0.0895  16.51  0.600   0.0169 106.60  0.401  0.625 0.898   0.000  0.0503
 13 0.609 0.0835  15.44  0.600   0.0169 106.60  0.429  0.625 0.892   0.000  0.0437
 14 0.649 0.0785  14.52  0.600   0.0169 106.60  0.456  0.626 0.886   0.000  0.0385
 15 0.688 0.0743  13.72  0.600   0.0169 106.59  0.483  0.626 0.881   0.000  0.0343
 16 0.725 0.0706  13.03  0.600   0.0169 106.60  0.508  0.626 0.876   0.000  0.0310
 17 0.760 0.0675  12.43  0.600   0.0169 106.60  0.531  0.627 0.871   0.000  0.0282
 18 0.793 0.0647  11.90  0.600   0.0169 106.60  0.554  0.627 0.866   0.000  0.0260
 19 0.824 0.0624  11.44  0.600   0.0170 106.59  0.575  0.627 0.861   0.000  0.0241
 20 0.852 0.0603  11.03  0.600   0.0177 106.59  0.594  0.627 0.853   0.000  0.0225
 21 0.879 0.0586  10.67  0.600   0.0191 106.59  0.612  0.627 0.839   0.000  0.0212
 22 0.902 0.0571  10.36  0.600   0.0213 106.59  0.628  0.627 0.820   0.000  0.0201
 23 0.924 0.0558  10.09  0.600   0.0243 106.59  0.642  0.628 0.796   0.000  0.0192
 24 0.942 0.0547   9.85  0.600   0.0280 106.59  0.655  0.628 0.769   0.000  0.0185
 25 0.959 0.0538   9.65  0.600   0.0319 106.59  0.666  0.628 0.741   0.000  0.0179
 26 0.972 0.0531   9.49  0.600   0.0358 106.59  0.675  0.628 0.716   0.000  0.0174
 27 0.983 0.0525   9.36  0.600   0.0394 106.59  0.683  0.628 0.693   0.000  0.0170
 28 0.991 0.0521   9.26  0.600   0.0424 106.59  0.688  0.628 0.676   0.000  0.0167
 29 0.997 0.0518   9.20  0.600   0.0445 106.59  0.692  0.628 0.663   0.000  0.0165
 30 0.999 0.0516   9.16  0.600   0.0457 106.59  0.694  0.628 0.657   0.000  0.0164
