
 ===========================================================================
 Free Tip Potential Formulation Solution:  Designed blade                  
                                                  Wake adv. ratio:    0.07739
 no. blades :  2            radius(m)  :   0.1270     adv. ratio:     0.06914
 thrust(N)  :   5.66        power(W)   :   260.       torque(N-m):  0.114    
 Efficiency :  0.4350       speed(m/s) :   20.000     rpm        :  21750.000
 Eff induced:  0.8934       Eff ideal  :   0.9064     Area(m^2)  :    0.05064
 Tnacel(N)  :     0.0002    Rhub(m)    :   0.0030     Rwake(m)   :    0.0035
 Tvisc(N)   :    -0.0662    Pvisc(W)   :   132.       Mach       :    0.0588
 rho(kg/m3) :   1.22600     Vsound(m/s):  340.000     mu(kg/m-s) : 0.1780E-04
 ---------------------------------------------------------------------------
    J:    0.21721      adv:    0.06914       AF:   11.601
   Ct:    0.00845       Cp:    0.00422  (by rho,Diam,N)
   Tc:    0.45583       Pc:    1.04793  (by rho,Atip,Vel)
   CT:    0.00109       CP:    0.00017  (by rho,Atip,Vtip)
Sigma:    0.01086 CT/sigma:    0.10034  heliFOM:    0.14684

  i  r/R   c/R  beta(deg)  CL     Cd    REx10^3 Mach   effi  effp  na.u/U  solidity
  1 0.041 0.0657  64.44  0.600   0.0389  13.31  0.068  0.835 0.847   0.000  0.5163
  2 0.082 0.0722  45.18  0.600   0.0333  19.61  0.091  0.879 0.895   0.000  0.2795
  3 0.133 0.0657  32.16  0.600   0.0303  24.85  0.127  0.888 0.893   0.000  0.1577
  4 0.184 0.0564  24.71  0.600   0.0289  28.01  0.167  0.891 0.879   0.000  0.0978
  5 0.235 0.0484  20.09  0.600   0.0281  29.91  0.208  0.892 0.862   0.000  0.0657
  6 0.285 0.0419  16.98  0.600   0.0277  31.08  0.249  0.892 0.844   0.000  0.0468
  7 0.334 0.0368  14.75  0.600   0.0275  31.82  0.290  0.893 0.826   0.000  0.0351
  8 0.383 0.0328  13.07  0.600   0.0273  32.31  0.331  0.893 0.809   0.000  0.0272
  9 0.431 0.0296  11.77  0.600   0.0272  32.63  0.371  0.893 0.792   0.000  0.0218
 10 0.477 0.0269  10.71  0.600   0.0271  32.85  0.410  0.893 0.776   0.000  0.0179
 11 0.523 0.0247   9.84  0.600   0.0271  32.99  0.449  0.893 0.761   0.000  0.0151
 12 0.567 0.0229   9.10  0.600   0.0270  33.08  0.486  0.893 0.747   0.000  0.0129
 13 0.609 0.0214   8.46  0.600   0.0270  33.10  0.521  0.893 0.734   0.000  0.0112
 14 0.649 0.0200   7.91  0.600   0.0270  33.06  0.556  0.893 0.722   0.000  0.0098
 15 0.688 0.0188   7.42  0.600   0.0276  32.95  0.589  0.893 0.706   0.000  0.0087
 16 0.725 0.0178   6.98  0.600   0.0303  32.73  0.620  0.893 0.675   0.000  0.0078
 17 0.760 0.0168   6.59  0.600   0.0366  32.38  0.649  0.893 0.622   0.000  0.0070
 18 0.793 0.0158   6.23  0.600   0.0472  31.86  0.677  0.893 0.549   0.000  0.0063
 19 0.824 0.0149   5.90  0.600   0.0625  31.12  0.703  0.893 0.469   0.000  0.0057
 20 0.852 0.0139   5.60  0.600   0.0823  30.11  0.728  0.893 0.393   0.000  0.0052
 21 0.879 0.0129   5.33  0.600   0.1061  28.78  0.750  0.893 0.327   0.000  0.0047
 22 0.902 0.0118   5.08  0.600   0.1329  27.12  0.770  0.893 0.274   0.000  0.0042
 23 0.924 0.0107   4.86  0.600   0.1618  25.08  0.788  0.893 0.232   0.000  0.0037
 24 0.942 0.0095   4.66  0.600   0.1914  22.68  0.804  0.893 0.199   0.000  0.0032
 25 0.959 0.0082   4.49  0.600   0.2207  19.92  0.818  0.893 0.175   0.000  0.0027
 26 0.972 0.0068   4.35  0.600   0.2484  16.86  0.829  0.893 0.156   0.000  0.0022
 27 0.983 0.0054   4.23  0.600   0.2736  13.54  0.838  0.893 0.142   0.000  0.0018
 28 0.991 0.0040   4.14  0.600   0.2960  10.06  0.845  0.893 0.131   0.000  0.0013
 29 0.997 0.0026   4.08  0.600   0.3162   6.59  0.850  0.893 0.123   0.000  0.0008
 30 0.999 0.0015   4.05  0.600   0.3358   3.70  0.852  0.893 0.116   0.000  0.0005
