
 ===========================================================================
 Ducted Potential Formulation Solution:  Designed blade                  
 Vdisk/Vslip:    1.10000                         Wake adv. ratio:    0.08179
 no. blades :  2            radius(m)  :   0.1270     adv. ratio:     0.06914
 thrust(N)  :   4.96        power(W)   :   260.       torque(N-m):  0.114    
 Efficiency :  0.3806       speed(m/s) :   20.000     rpm        :  21750.000
 Eff induced:  0.8453       Eff ideal  :   0.9163     Area(m^2)  :    0.05064
 Tnacel(N)  :     0.3778    Rhub(m)    :   0.0030     Rwake(m)   :    0.0035
 Tvisc(N)   :    -0.0748    Pvisc(W)   :   141.       Mach       :    0.0588
 rho(kg/m3) :   1.22600     Vsound(m/s):  340.000     mu(kg/m-s) : 0.1780E-04
 ---------------------------------------------------------------------------
    J:    0.21721      adv:    0.06914       AF:    9.682
   Ct:    0.00739       Cp:    0.00422  (by rho,Diam,N)
   Tc:    0.39889       Pc:    1.04793  (by rho,Atip,Vel)
   CT:    0.00095       CP:    0.00017  (by rho,Atip,Vtip)
Sigma:    0.00794 CT/sigma:    0.12009  ductFOM:    0.12020

  i  r/R   c/R  beta(deg)  CL     Cd    REx10^3 Mach   effi  effp  na.u/U  solidity
  1 0.041 0.1013  73.45  0.600   0.0308  23.81  0.079  0.582 0.832   0.000  0.7957
  2 0.082 0.0805  50.84  0.600   0.0308  23.81  0.099  0.755 0.901   0.000  0.3114
  3 0.133 0.0601  36.18  0.600   0.0308  23.81  0.133  0.792 0.897   0.000  0.1443
  4 0.184 0.0467  27.79  0.600   0.0308  23.81  0.171  0.803 0.882   0.000  0.0809
  5 0.235 0.0378  22.57  0.600   0.0308  23.81  0.212  0.808 0.863   0.000  0.0514
  6 0.285 0.0317  19.06  0.600   0.0308  23.81  0.252  0.810 0.845   0.000  0.0355
  7 0.334 0.0273  16.54  0.600   0.0308  23.81  0.293  0.812 0.826   0.000  0.0260
  8 0.383 0.0240  14.64  0.600   0.0308  23.81  0.334  0.813 0.808   0.000  0.0199
  9 0.431 0.0214  13.17  0.600   0.0308  23.81  0.373  0.813 0.791   0.000  0.0158
 10 0.477 0.0194  11.98  0.600   0.0308  23.81  0.412  0.814 0.775   0.000  0.0129
 11 0.523 0.0178  11.00  0.600   0.0308  23.81  0.450  0.814 0.760   0.000  0.0108
 12 0.567 0.0164  10.17  0.600   0.0308  23.81  0.487  0.814 0.746   0.000  0.0092
 13 0.609 0.0153   9.46  0.600   0.0308  23.81  0.523  0.814 0.733   0.000  0.0080
 14 0.649 0.0144   8.84  0.600   0.0308  23.81  0.557  0.815 0.720   0.000  0.0070
 15 0.688 0.0136   8.30  0.600   0.0314  23.81  0.590  0.815 0.705   0.000  0.0063
 16 0.725 0.0129   7.82  0.600   0.0341  23.81  0.621  0.815 0.677   0.000  0.0057
 17 0.760 0.0123   7.39  0.600   0.0405  23.81  0.651  0.815 0.627   0.000  0.0052
 18 0.793 0.0118   6.99  0.600   0.0511  23.81  0.679  0.815 0.561   0.000  0.0047
 19 0.824 0.0114   6.64  0.600   0.0664  23.81  0.705  0.815 0.486   0.000  0.0044
 20 0.852 0.0110   6.31  0.600   0.0861  23.81  0.729  0.815 0.413   0.000  0.0041
 21 0.879 0.0107   6.02  0.600   0.1095  23.81  0.751  0.815 0.348   0.000  0.0039
 22 0.902 0.0104   5.76  0.600   0.1359  23.81  0.771  0.815 0.295   0.000  0.0037
 23 0.924 0.0101   5.52  0.600   0.1641  23.81  0.789  0.815 0.252   0.000  0.0035
 24 0.942 0.0099   5.31  0.600   0.1927  23.81  0.805  0.815 0.219   0.000  0.0034
 25 0.959 0.0098   5.13  0.600   0.2204  23.81  0.819  0.815 0.194   0.000  0.0032
 26 0.972 0.0096   4.97  0.600   0.2460  23.81  0.830  0.815 0.174   0.000  0.0032
 27 0.983 0.0095   4.85  0.600   0.2681  23.81  0.839  0.815 0.161   0.000  0.0031
 28 0.991 0.0095   4.75  0.600   0.2857  23.81  0.846  0.815 0.151   0.000  0.0030
 29 0.997 0.0094   4.69  0.600   0.2979  23.81  0.851  0.815 0.145   0.000  0.0030
 30 0.999 0.0094   4.65  0.600   0.3042  23.81  0.853  0.815 0.142   0.000  0.0030
