
 ===========================================================================
 Free Tip Potential Formulation Solution:  Designed blade                  
                                                  Wake adv. ratio:    0.14821
 no. blades :  2            radius(m)  :   0.1270     adv. ratio:     0.12407
 thrust(N)  :   8.18        power(W)   :   225.       torque(N-m):  0.177    
 Efficiency :  0.7274       speed(m/s) :   20.000     rpm        :  12121.001
 Eff induced:  0.8371       Eff ideal  :   0.8742     Area(m^2)  :    0.05064
 Tnacel(N)  :     0.0005    Rhub(m)    :   0.0030     Rwake(m)   :    0.0035
 Tvisc(N)   :    -0.0736    Pvisc(W)   :   27.7       Mach       :    0.0588
 rho(kg/m3) :   1.22600     Vsound(m/s):  340.000     mu(kg/m-s) : 0.1780E-04
 ---------------------------------------------------------------------------
    J:    0.38977      adv:    0.12407       AF:   53.276
   Ct:    0.03928       Cp:    0.02105  (by rho,Diam,N)
   Tc:    0.65833       Pc:    0.90507  (by rho,Atip,Vel)
   CT:    0.00507       CP:    0.00086  (by rho,Atip,Vtip)
Sigma:    0.05171 CT/sigma:    0.09799

  i  r/R   c/R  beta(deg)  CL     Cd    REx10^3 Mach   effi  effp  na.u/U  solidity
  1 0.041 0.1275  76.81  0.600   0.0310  23.44  0.062  0.782 0.797   0.000  1.0021
  2 0.082 0.1777  62.94  0.600   0.0258  37.20  0.070  0.824 0.901   0.000  0.6877
  3 0.133 0.2054  50.10  0.600   0.0225  52.41  0.086  0.832 0.927   0.000  0.4929
  4 0.184 0.2066  40.81  0.600   0.0207  64.36  0.105  0.835 0.932   0.000  0.3581
  5 0.235 0.1964  34.19  0.600   0.0197  73.24  0.125  0.836 0.931   0.000  0.2665
  6 0.285 0.1825  29.37  0.600   0.0190  79.75  0.147  0.836 0.927   0.000  0.2039
  7 0.334 0.1683  25.76  0.600   0.0186  84.48  0.169  0.836 0.922   0.000  0.1602
  8 0.383 0.1550  22.99  0.600   0.0183  87.89  0.191  0.837 0.916   0.000  0.1288
  9 0.431 0.1430  20.80  0.600   0.0181  90.28  0.212  0.837 0.910   0.000  0.1056
 10 0.477 0.1322  19.04  0.600   0.0180  91.85  0.234  0.837 0.904   0.000  0.0881
 11 0.523 0.1225  17.60  0.600   0.0179  92.74  0.254  0.837 0.897   0.000  0.0746
 12 0.567 0.1139  16.40  0.600   0.0179  93.04  0.275  0.837 0.891   0.000  0.0640
 13 0.609 0.1060  15.40  0.600   0.0179  92.77  0.294  0.837 0.884   0.000  0.0554
 14 0.649 0.0987  14.54  0.600   0.0180  91.97  0.313  0.837 0.878   0.000  0.0484
 15 0.688 0.0919  13.81  0.600   0.0181  90.62  0.331  0.837 0.872   0.000  0.0425
 16 0.725 0.0855  13.17  0.600   0.0182  88.70  0.349  0.837 0.865   0.000  0.0375
 17 0.760 0.0794  12.63  0.600   0.0184  86.21  0.365  0.837 0.859   0.000  0.0332
 18 0.793 0.0734  12.15  0.600   0.0187  83.12  0.380  0.837 0.852   0.000  0.0295
 19 0.824 0.0676  11.73  0.600   0.0190  79.41  0.395  0.837 0.845   0.000  0.0261
 20 0.852 0.0618  11.37  0.600   0.0195  75.08  0.408  0.837 0.838   0.000  0.0231
 21 0.879 0.0561  11.05  0.600   0.0200  70.15  0.421  0.837 0.830   0.000  0.0203
 22 0.902 0.0503  10.78  0.600   0.0207  64.63  0.432  0.837 0.822   0.000  0.0178
 23 0.924 0.0446  10.55  0.600   0.0215  58.55  0.442  0.837 0.813   0.000  0.0154
 24 0.942 0.0388  10.35  0.600   0.0226  51.98  0.451  0.837 0.802   0.000  0.0131
 25 0.959 0.0330  10.18  0.600   0.0239  44.96  0.458  0.837 0.790   0.000  0.0110
 26 0.972 0.0272  10.04  0.600   0.0257  37.57  0.464  0.837 0.776   0.000  0.0089
 27 0.983 0.0214   9.94  0.600   0.0281  29.92  0.470  0.837 0.757   0.000  0.0069
 28 0.991 0.0157   9.86  0.600   0.0317  22.16  0.473  0.837 0.733   0.000  0.0051
 29 0.997 0.0103   9.80  0.600   0.0375  14.63  0.476  0.837 0.698   0.000  0.0033
 30 0.999 0.0062   9.78  0.600   0.0460   8.74  0.477  0.837 0.652   0.000  0.0020
