
 ===========================================================================
 Ducted Potential Formulation Solution:  Designed blade                  
 Vdisk/Vslip:    1.10000                         Wake adv. ratio:    0.15342
 no. blades :  2            radius(m)  :   0.1270     adv. ratio:     0.12407
 thrust(N)  :   7.94        power(W)   :   225.       torque(N-m):  0.177    
 Efficiency :  0.7062       speed(m/s) :   20.000     rpm        :  12121.001
 Eff induced:  0.8087       Eff ideal  :   0.8771     Area(m^2)  :    0.05064
 Tnacel(N)  :     0.8545    Rhub(m)    :   0.0030     Rwake(m)   :    0.0035
 Tvisc(N)   :    -0.0818    Pvisc(W)   :   26.5       Mach       :    0.0588
 rho(kg/m3) :   1.22600     Vsound(m/s):  340.000     mu(kg/m-s) : 0.1780E-04
 ---------------------------------------------------------------------------
    J:    0.38977      adv:    0.12407       AF:   47.716
   Ct:    0.03813       Cp:    0.02105  (by rho,Diam,N)
   Tc:    0.63913       Pc:    0.90507  (by rho,Atip,Vel)
   CT:    0.00492       CP:    0.00086  (by rho,Atip,Vtip)
Sigma:    0.03933 CT/sigma:    0.12508

  i  r/R   c/R  beta(deg)  CL     Cd    REx10^3 Mach   effi  effp  na.u/U  solidity
  1 0.041 0.2790  97.07  0.600   0.0204  66.71  0.080 -0.185 1.381   0.000  2.1922
  2 0.082 0.2665  73.93  0.600   0.0204  66.71  0.084  0.528 0.885   0.000  1.0310
  3 0.133 0.2312  57.51  0.600   0.0204  66.71  0.097  0.680 0.929   0.000  0.5547
  4 0.184 0.1966  46.47  0.600   0.0204  66.71  0.114  0.726 0.934   0.000  0.3408
  5 0.235 0.1682  38.79  0.600   0.0204  66.71  0.133  0.745 0.932   0.000  0.2283
  6 0.285 0.1459  33.25  0.600   0.0204  66.71  0.154  0.755 0.927   0.000  0.1630
  7 0.334 0.1283  29.12  0.600   0.0204  66.71  0.175  0.761 0.922   0.000  0.1221
  8 0.383 0.1145  25.95  0.600   0.0204  66.71  0.196  0.765 0.915   0.000  0.0951
  9 0.431 0.1033  23.45  0.600   0.0204  66.71  0.217  0.767 0.909   0.000  0.0763
 10 0.477 0.0942  21.45  0.600   0.0204  66.71  0.238  0.769 0.902   0.000  0.0628
 11 0.523 0.0868  19.81  0.600   0.0204  66.71  0.258  0.770 0.895   0.000  0.0528
 12 0.567 0.0805  18.45  0.600   0.0204  66.71  0.278  0.771 0.889   0.000  0.0453
 13 0.609 0.0753  17.30  0.600   0.0204  66.71  0.298  0.772 0.883   0.000  0.0394
 14 0.649 0.0709  16.33  0.600   0.0204  66.71  0.317  0.772 0.877   0.000  0.0347
 15 0.688 0.0671  15.50  0.600   0.0204  66.71  0.335  0.773 0.871   0.000  0.0310
 16 0.725 0.0638  14.78  0.600   0.0204  66.71  0.352  0.773 0.866   0.000  0.0280
 17 0.760 0.0610  14.16  0.600   0.0204  66.71  0.368  0.774 0.861   0.000  0.0255
 18 0.793 0.0585  13.62  0.600   0.0204  66.71  0.383  0.774 0.856   0.000  0.0235
 19 0.824 0.0564  13.15  0.600   0.0204  66.71  0.398  0.774 0.852   0.000  0.0218
 20 0.852 0.0546  12.74  0.600   0.0204  66.71  0.411  0.774 0.848   0.000  0.0204
 21 0.879 0.0530  12.38  0.600   0.0204  66.71  0.423  0.774 0.844   0.000  0.0192
 22 0.902 0.0517  12.08  0.600   0.0204  66.71  0.434  0.774 0.841   0.000  0.0182
 23 0.924 0.0505  11.81  0.600   0.0204  66.71  0.444  0.774 0.838   0.000  0.0174
 24 0.942 0.0495  11.59  0.600   0.0204  66.71  0.453  0.775 0.836   0.000  0.0167
 25 0.959 0.0487  11.40  0.600   0.0204  66.71  0.460  0.775 0.833   0.000  0.0162
 26 0.972 0.0481  11.25  0.600   0.0204  66.71  0.467  0.775 0.832   0.000  0.0157
 27 0.983 0.0475  11.13  0.600   0.0204  66.71  0.472  0.775 0.830   0.000  0.0154
 28 0.991 0.0472  11.04  0.600   0.0204  66.71  0.476  0.775 0.829   0.000  0.0151
 29 0.997 0.0469  10.98  0.600   0.0204  66.71  0.478  0.775 0.828   0.000  0.0150
 30 0.999 0.0468  10.95  0.600   0.0204  66.71  0.479  0.775 0.828   0.000  0.0149
