
 ===========================================================================
 Ducted Potential Formulation Solution:  Designed blade                  
 Vdisk/Vslip:    1.10000                         Wake adv. ratio:    0.15349
 no. blades :  2            radius(m)  :   0.1270     adv. ratio:     0.12135
 thrust(N)  :   9.99        power(W)   :   286.       torque(N-m):  0.221    
 Efficiency :  0.6984       speed(m/s) :   20.000     rpm        :  12392.000
 Eff induced:  0.7906       Eff ideal  :   0.8535     Area(m^2)  :    0.05064
 Tnacel(N)  :     1.2517    Rhub(m)    :   0.0030     Rwake(m)   :    0.0035
 Tvisc(N)   :    -0.0954    Pvisc(W)   :   31.0       Mach       :    0.0588
 rho(kg/m3) :   1.22600     Vsound(m/s):  340.000     mu(kg/m-s) : 0.1780E-04
 ---------------------------------------------------------------------------
    J:    0.38125      adv:    0.12135       AF:   56.443
   Ct:    0.04591       Cp:    0.02506  (by rho,Diam,N)
   Tc:    0.80434       Pc:    1.15176  (by rho,Atip,Vel)
   CT:    0.00592       CP:    0.00103  (by rho,Atip,Vtip)
Sigma:    0.04652 CT/sigma:    0.12731

  i  r/R   c/R  beta(deg)  CL     Cd    REx10^3 Mach   effi  effp  na.u/U  solidity
  1 0.041 0.3223 100.34  0.600   0.0189  80.69  0.084 -0.340 1.219   0.000  2.5322
  2 0.082 0.3129  75.75  0.600   0.0189  80.69  0.087  0.473 0.883   0.000  1.2108
  3 0.133 0.2726  58.69  0.600   0.0189  80.69  0.100  0.645 0.933   0.000  0.6541
  4 0.184 0.2322  47.35  0.600   0.0189  80.69  0.117  0.697 0.939   0.000  0.4024
  5 0.235 0.1988  39.48  0.600   0.0189  80.69  0.136  0.719 0.937   0.000  0.2698
  6 0.285 0.1724  33.82  0.600   0.0189  80.69  0.157  0.730 0.933   0.000  0.1927
  7 0.334 0.1517  29.61  0.600   0.0189  80.69  0.179  0.736 0.928   0.000  0.1444
  8 0.383 0.1353  26.38  0.600   0.0189  80.69  0.200  0.741 0.922   0.000  0.1124
  9 0.431 0.1222  23.83  0.600   0.0189  80.69  0.222  0.743 0.916   0.000  0.0903
 10 0.477 0.1115  21.79  0.600   0.0189  80.69  0.243  0.745 0.910   0.000  0.0743
 11 0.523 0.1026  20.12  0.600   0.0189  80.69  0.264  0.747 0.904   0.000  0.0625
 12 0.567 0.0953  18.73  0.600   0.0189  80.69  0.285  0.748 0.898   0.000  0.0535
 13 0.609 0.0891  17.57  0.600   0.0189  80.69  0.305  0.749 0.892   0.000  0.0466
 14 0.649 0.0838  16.57  0.600   0.0189  80.69  0.324  0.749 0.887   0.000  0.0411
 15 0.688 0.0793  15.73  0.600   0.0189  80.69  0.342  0.750 0.881   0.000  0.0367
 16 0.725 0.0755  15.00  0.600   0.0189  80.69  0.360  0.750 0.876   0.000  0.0331
 17 0.760 0.0721  14.36  0.600   0.0189  80.69  0.376  0.750 0.872   0.000  0.0302
 18 0.793 0.0692  13.81  0.600   0.0189  80.69  0.392  0.751 0.867   0.000  0.0278
 19 0.824 0.0668  13.33  0.600   0.0189  80.69  0.406  0.751 0.863   0.000  0.0258
 20 0.852 0.0646  12.92  0.600   0.0189  80.69  0.420  0.751 0.860   0.000  0.0241
 21 0.879 0.0627  12.55  0.600   0.0189  80.69  0.432  0.751 0.856   0.000  0.0227
 22 0.902 0.0611  12.24  0.600   0.0189  80.69  0.444  0.751 0.853   0.000  0.0216
 23 0.924 0.0598  11.97  0.600   0.0189  80.69  0.454  0.751 0.850   0.000  0.0206
 24 0.942 0.0586  11.74  0.600   0.0189  80.69  0.463  0.752 0.848   0.000  0.0198
 25 0.959 0.0576  11.55  0.600   0.0189  80.69  0.471  0.752 0.846   0.000  0.0191
 26 0.972 0.0569  11.39  0.600   0.0189  80.69  0.477  0.752 0.844   0.000  0.0186
 27 0.983 0.0562  11.27  0.600   0.0189  80.69  0.482  0.752 0.843   0.000  0.0182
 28 0.991 0.0558  11.18  0.600   0.0189  80.69  0.486  0.752 0.842   0.000  0.0179
 29 0.997 0.0555  11.12  0.600   0.0189  80.69  0.489  0.752 0.841   0.000  0.0177
 30 0.999 0.0553  11.09  0.600   0.0189  80.69  0.490  0.752 0.841   0.000  0.0176
