
 ===========================================================================
 Free Tip Potential Formulation Solution:  Designed blade                  
                                                  Wake adv. ratio:    0.09633
 no. blades :  2            radius(m)  :   0.1270     adv. ratio:     0.07120
 thrust(N)  :   19.3        power(W)   :   814.       torque(N-m):  0.368    
 Efficiency :  0.4733       speed(m/s) :   20.000     rpm        :  21119.998
 Eff induced:  0.7391       Eff ideal  :   0.7702     Area(m^2)  :    0.05066
 Tnacel(N)  :     0.0002    Rhub(m)    :   0.0020     Rwake(m)   :    0.0021
 Tvisc(N)   :    -0.1771    Pvisc(W)   :   288.       Mach       :    0.0588
 rho(kg/m3) :   1.22600     Vsound(m/s):  340.000     mu(kg/m-s) : 0.1780E-04
 ---------------------------------------------------------------------------
    J:    0.22369      adv:    0.07120       AF:   41.942
   Ct:    0.03045       Cp:    0.01439  (by rho,Diam,N)
   Tc:    1.54960       Pc:    3.27418  (by rho,Atip,Vel)
   CT:    0.00393       CP:    0.00059  (by rho,Atip,Vtip)
Sigma:    0.03980 CT/sigma:    0.09869  heliFOM:    0.29458

  i  r/R   c/R  beta(deg)  CL     Cd    REx10^3 Mach   effi  effp  na.u/U  solidity
  1 0.035 0.1732  71.82  0.600   0.0269  33.63  0.065  0.732 0.864   0.000  1.5592
  2 0.080 0.2279  52.13  0.600   0.0214  59.38  0.088  0.738 0.930   0.000  0.9041
  3 0.131 0.2219  38.12  0.600   0.0189  80.76  0.122  0.739 0.937   0.000  0.5372
  4 0.183 0.1973  29.65  0.600   0.0178  94.53  0.161  0.739 0.932   0.000  0.3435
  5 0.234 0.1728  24.22  0.600   0.0171 103.36  0.201  0.739 0.924   0.000  0.2352
  6 0.284 0.1520  20.50  0.600   0.0168 109.11  0.241  0.739 0.915   0.000  0.1702
  7 0.334 0.1349  17.82  0.600   0.0165 112.94  0.281  0.739 0.905   0.000  0.1286
  8 0.383 0.1210  15.80  0.600   0.0164 115.53  0.321  0.739 0.896   0.000  0.1006
  9 0.431 0.1095  14.21  0.600   0.0163 117.28  0.360  0.739 0.886   0.000  0.0810
 10 0.477 0.1000  12.94  0.600   0.0162 118.45  0.398  0.739 0.877   0.000  0.0667
 11 0.522 0.0921  11.89  0.600   0.0162 119.17  0.435  0.739 0.868   0.000  0.0561
 12 0.566 0.0853  11.01  0.600   0.0162 119.51  0.471  0.739 0.859   0.000  0.0479
 13 0.609 0.0794  10.26  0.600   0.0162 119.50  0.506  0.739 0.851   0.000  0.0415
 14 0.649 0.0743   9.60  0.600   0.0162 119.11  0.539  0.739 0.843   0.000  0.0364
 15 0.688 0.0696   9.03  0.600   0.0163 118.29  0.571  0.739 0.834   0.000  0.0322
 16 0.725 0.0654   8.52  0.600   0.0175 116.96  0.602  0.739 0.816   0.000  0.0287
 17 0.760 0.0613   8.07  0.600   0.0213 115.02  0.630  0.739 0.778   0.000  0.0257
 18 0.793 0.0574   7.67  0.600   0.0284 112.34  0.658  0.739 0.716   0.000  0.0231
 19 0.824 0.0536   7.30  0.600   0.0393 108.83  0.683  0.739 0.636   0.000  0.0207
 20 0.852 0.0497   6.97  0.600   0.0539 104.36  0.706  0.739 0.551   0.000  0.0186
 21 0.879 0.0457   6.67  0.600   0.0720  98.87  0.728  0.739 0.471   0.000  0.0165
 22 0.902 0.0415   6.40  0.600   0.0927  92.29  0.747  0.739 0.402   0.000  0.0146
 23 0.924 0.0372   6.16  0.600   0.1153  84.63  0.765  0.739 0.345   0.000  0.0128
 24 0.942 0.0327   5.95  0.600   0.1388  75.92  0.780  0.739 0.299   0.000  0.0110
 25 0.959 0.0281   5.77  0.600   0.1620  66.25  0.794  0.739 0.264   0.000  0.0093
 26 0.972 0.0233   5.62  0.600   0.1840  55.76  0.805  0.739 0.237   0.000  0.0076
 27 0.983 0.0184   5.50  0.600   0.2039  44.61  0.814  0.739 0.216   0.000  0.0060
 28 0.991 0.0135   5.41  0.600   0.2212  33.07  0.821  0.739 0.201   0.000  0.0044
 29 0.997 0.0088   5.34  0.600   0.2361  21.67  0.825  0.739 0.190   0.000  0.0028
 30 0.999 0.0050   5.31  0.600   0.2493  12.34  0.827  0.739 0.181   0.000  0.0016
