
 ===========================================================================
 Ducted Potential Formulation Solution:  Designed blade                  
 Vdisk/Vslip:    1.10000                         Wake adv. ratio:    0.09573
 no. blades :  2            radius(m)  :   0.1270     adv. ratio:     0.07120
 thrust(N)  :   18.2        power(W)   :   814.       torque(N-m):  0.368    
 Efficiency :  0.4469       speed(m/s) :   20.000     rpm        :  21119.998
 Eff induced:  0.7438       Eff ideal  :   0.7784     Area(m^2)  :    0.05066
 Tnacel(N)  :     3.1963    Rhub(m)    :   0.0020     Rwake(m)   :    0.0021
 Tvisc(N)   :    -0.2163    Pvisc(W)   :   319.       Mach       :    0.0588
 rho(kg/m3) :   1.22600     Vsound(m/s):  340.000     mu(kg/m-s) : 0.1780E-04
 ---------------------------------------------------------------------------
    J:    0.22369      adv:    0.07120       AF:   33.717
   Ct:    0.02875       Cp:    0.01439  (by rho,Diam,N)
   Tc:    1.46312       Pc:    3.27418  (by rho,Atip,Vel)
   CT:    0.00371       CP:    0.00059  (by rho,Atip,Vtip)
Sigma:    0.02768 CT/sigma:    0.13402  ductFOM:    0.27026

  i  r/R   c/R  beta(deg)  CL     Cd    REx10^3 Mach   effi  effp  na.u/U  solidity
  1 0.035 0.2866  96.43  0.600   0.0189  80.81  0.095 -0.113 1.402   0.000  2.5798
  2 0.080 0.2540  63.97  0.600   0.0189  80.81  0.107  0.533 0.925   0.000  1.0078
  3 0.131 0.1988  45.63  0.600   0.0189  80.81  0.137  0.628 0.939   0.000  0.4812
  4 0.183 0.1578  35.14  0.600   0.0189  80.81  0.172  0.655 0.934   0.000  0.2746
  5 0.234 0.1293  28.55  0.600   0.0189  80.81  0.210  0.666 0.926   0.000  0.1760
  6 0.284 0.1091  24.09  0.600   0.0189  80.81  0.249  0.672 0.917   0.000  0.1222
  7 0.334 0.0943  20.88  0.600   0.0189  80.82  0.288  0.675 0.907   0.000  0.0899
  8 0.383 0.0831  18.47  0.600   0.0189  80.81  0.327  0.677 0.897   0.000  0.0691
  9 0.431 0.0744  16.60  0.600   0.0189  80.81  0.365  0.679 0.887   0.000  0.0550
 10 0.477 0.0675  15.09  0.600   0.0189  80.81  0.403  0.680 0.878   0.000  0.0450
 11 0.522 0.0618  13.86  0.600   0.0189  80.81  0.439  0.680 0.869   0.000  0.0377
 12 0.566 0.0572  12.82  0.600   0.0189  80.81  0.475  0.681 0.860   0.000  0.0321
 13 0.609 0.0533  11.94  0.600   0.0189  80.81  0.510  0.681 0.852   0.000  0.0279
 14 0.649 0.0501  11.18  0.600   0.0189  80.81  0.543  0.682 0.844   0.000  0.0245
 15 0.688 0.0473  10.52  0.600   0.0190  80.81  0.574  0.682 0.836   0.000  0.0219
 16 0.725 0.0449   9.94  0.600   0.0204  80.81  0.605  0.682 0.819   0.000  0.0197
 17 0.760 0.0429   9.42  0.600   0.0243  80.81  0.633  0.682 0.783   0.000  0.0180
 18 0.793 0.0411   8.96  0.600   0.0317  80.81  0.660  0.682 0.727   0.000  0.0165
 19 0.824 0.0396   8.54  0.600   0.0428  80.81  0.686  0.683 0.654   0.000  0.0153
 20 0.852 0.0383   8.17  0.600   0.0577  80.81  0.709  0.683 0.576   0.000  0.0143
 21 0.879 0.0372   7.83  0.600   0.0759  80.81  0.730  0.683 0.500   0.000  0.0135
 22 0.902 0.0362   7.53  0.600   0.0966  80.81  0.750  0.683 0.432   0.000  0.0128
 23 0.924 0.0354   7.27  0.600   0.1191  80.81  0.767  0.683 0.375   0.000  0.0122
 24 0.942 0.0347   7.04  0.600   0.1421  80.81  0.783  0.683 0.330   0.000  0.0117
 25 0.959 0.0341   6.84  0.600   0.1646  80.81  0.796  0.683 0.294   0.000  0.0113
 26 0.972 0.0337   6.67  0.600   0.1855  80.81  0.807  0.683 0.266   0.000  0.0110
 27 0.983 0.0333   6.54  0.600   0.2036  80.81  0.816  0.683 0.246   0.000  0.0108
 28 0.991 0.0330   6.43  0.600   0.2180  80.81  0.823  0.683 0.231   0.000  0.0106
 29 0.997 0.0328   6.37  0.600   0.2281  80.81  0.827  0.683 0.222   0.000  0.0105
 30 0.999 0.0328   6.33  0.600   0.2333  80.81  0.830  0.683 0.218   0.000  0.0104
