
 ===========================================================================
 Free Tip Potential Formulation Solution:  Designed blade                  
                                                  Wake adv. ratio:    0.41633
 no. blades :  2            radius(m)  :   0.0635     adv. ratio:     0.26054
 thrust(N)  :   3.45        power(W)   :   118.       torque(N-m):  0.979E-01
 Efficiency :  0.5835       speed(m/s) :   20.000     rpm        :  11543.999
 Eff induced:  0.6258       Eff ideal  :   0.8152     Area(m^2)  :    0.01265
 Tnacel(N)  :     0.0028    Rhub(m)    :   0.0025     Rwake(m)   :    0.0030
 Tvisc(N)   :    -0.0784    Pvisc(W)   :   5.49       Mach       :    0.0588
 rho(kg/m3) :   1.22600     Vsound(m/s):  340.000     mu(kg/m-s) : 0.1780E-04
 ---------------------------------------------------------------------------
    J:    0.81850      adv:    0.26054       AF:  440.468
   Ct:    0.29260       Cp:    0.41042  (by rho,Diam,N)
   Tc:    1.11217       Pc:    1.90592  (by rho,Atip,Vel)
   CT:    0.03775       CP:    0.01685  (by rho,Atip,Vtip)
Sigma:    0.44351 CT/sigma:    0.08511

  i  r/R   c/R  beta(deg)  CL     Cd    REx10^3 Mach   effi  effp  na.u/U  solidity
  1 0.052 0.4967  81.13  0.600   0.0302  44.20  0.060  0.557 0.566   0.000  3.0166
  2 0.089 0.6312  76.09  0.600   0.0271  57.91  0.062  0.598 0.775   0.000  2.2694
  3 0.136 0.8194  69.83  0.600   0.0239  79.80  0.065  0.614 0.866   0.000  1.9121
  4 0.186 0.9711  63.79  0.600   0.0216 102.35  0.071  0.619 0.905   0.000  1.6589
  5 0.237 1.0695  58.26  0.600   0.0201 123.29  0.078  0.622 0.924   0.000  1.4393
  6 0.286 1.1203  53.31  0.600   0.0190 141.80  0.085  0.623 0.934   0.000  1.2450
  7 0.336 1.1347  48.94  0.600   0.0182 157.55  0.093  0.624 0.939   0.000  1.0757
  8 0.384 1.1231  45.11  0.600   0.0176 170.48  0.102  0.624 0.943   0.000  0.9303
  9 0.432 1.0942  41.76  0.600   0.0172 180.64  0.111  0.624 0.944   0.000  0.8065
 10 0.478 1.0539  38.84  0.600   0.0169 188.16  0.120  0.625 0.945   0.000  0.7014
 11 0.523 1.0064  36.30  0.600   0.0168 193.21  0.129  0.625 0.945   0.000  0.6121
 12 0.567 0.9547  34.07  0.600   0.0167 195.96  0.138  0.625 0.944   0.000  0.5358
 13 0.609 0.9006  32.13  0.600   0.0166 196.57  0.147  0.625 0.943   0.000  0.4704
 14 0.650 0.8454  30.43  0.600   0.0167 195.22  0.155  0.625 0.941   0.000  0.4140
 15 0.689 0.7899  28.93  0.600   0.0168 192.05  0.164  0.625 0.940   0.000  0.3651
 16 0.726 0.7346  27.62  0.600   0.0170 187.20  0.171  0.625 0.938   0.000  0.3222
 17 0.761 0.6798  26.47  0.600   0.0172 180.83  0.179  0.625 0.935   0.000  0.2845
 18 0.793 0.6258  25.45  0.600   0.0175 173.05  0.186  0.625 0.933   0.000  0.2510
 19 0.824 0.5725  24.56  0.600   0.0179 163.98  0.193  0.625 0.930   0.000  0.2211
 20 0.853 0.5201  23.78  0.600   0.0184 153.75  0.199  0.625 0.927   0.000  0.1942
 21 0.879 0.4686  23.11  0.600   0.0189 142.48  0.204  0.625 0.924   0.000  0.1697
 22 0.902 0.4179  22.52  0.600   0.0196 130.28  0.210  0.625 0.920   0.000  0.1474
 23 0.924 0.3680  22.01  0.600   0.0205 117.26  0.214  0.625 0.915   0.000  0.1268
 24 0.942 0.3188  21.58  0.600   0.0215 103.55  0.218  0.625 0.910   0.000  0.1077
 25 0.959 0.2705  21.22  0.600   0.0228  89.27  0.222  0.625 0.904   0.000  0.0898
 26 0.972 0.2230  20.93  0.600   0.0245  74.57  0.225  0.625 0.897   0.000  0.0730
 27 0.983 0.1765  20.69  0.600   0.0268  59.66  0.227  0.625 0.888   0.000  0.0572
 28 0.991 0.1319  20.52  0.600   0.0300  44.92  0.229  0.625 0.875   0.000  0.0423
 29 0.997 0.0921  20.41  0.600   0.0346  31.52  0.230  0.625 0.858   0.000  0.0294
 30 0.999 0.0660  20.35  0.600   0.0395  22.65  0.231  0.625 0.840   0.000  0.0210
