
 ===========================================================================
 Free Tip Potential Formulation Solution:  Designed blade                  
                                                  Wake adv. ratio:    0.05352
 no. blades :  2            radius(m)  :   0.0635     adv. ratio:     0.04785
 thrust(N)  :   1.40        power(W)   :   543.       torque(N-m):  0.826E-01
 Efficiency :  0.0514       speed(m/s) :   20.000     rpm        :  62856.000
 Eff induced:  0.8941       Eff ideal  :   0.9074     Area(m^2)  :    0.01265
 Tnacel(N)  :     0.0001    Rhub(m)    :   0.0025     Rwake(m)   :    0.0030
 Tvisc(N)   :    -0.1008    Pvisc(W)   :   510.       Mach       :    0.0588
 rho(kg/m3) :   1.22600     Vsound(m/s):  340.000     mu(kg/m-s) : 0.1780E-04
 ---------------------------------------------------------------------------
    J:    0.15032      adv:    0.04785       AF:    5.852
   Ct:    0.00399       Cp:    0.01167  (by rho,Diam,N)
   Tc:    0.44978       Pc:    8.74822  (by rho,Atip,Vel)
   CT:    0.00051       CP:    0.00048  (by rho,Atip,Vtip)
Sigma:    0.00532 CT/sigma:    0.09684  heliFOM:    0.01724

  i  r/R   c/R  beta(deg)  CL     Cd    REx10^3 Mach   effi  effp  na.u/U  solidity
  1 0.052 0.0579  43.58  0.600   0.0614   7.51  0.087  0.796 0.814   0.000  0.3519
  2 0.089 0.0479  28.97  0.600   0.0576   8.81  0.124  0.855 0.813   0.000  0.1723
  3 0.136 0.0377  19.19  0.600   0.0548   9.96  0.178  0.878 0.782   0.000  0.0880
  4 0.186 0.0302  13.75  0.600   0.0534  10.61  0.236  0.885 0.744   0.000  0.0516
  5 0.237 0.0249  10.43  0.600   0.0527  10.97  0.297  0.889 0.706   0.000  0.0335
  6 0.286 0.0211   8.20  0.600   0.0523  11.17  0.357  0.890 0.671   0.000  0.0234
  7 0.336 0.0182   6.60  0.600   0.0521  11.30  0.417  0.891 0.638   0.000  0.0173
  8 0.384 0.0161   5.39  0.600   0.0520  11.38  0.476  0.892 0.609   0.000  0.0133
  9 0.432 0.0144   4.44  0.600   0.0521  11.43  0.534  0.892 0.582   0.000  0.0106
 10 0.478 0.0130   3.65  0.600   0.0580  11.46  0.591  0.893 0.531   0.000  0.0087
 11 0.523 0.0120   2.98  0.600   0.0796  11.49  0.646  0.893 0.429   0.000  0.0073
 12 0.567 0.0111   2.39  0.600   0.1251  11.51  0.700  0.893 0.305   0.000  0.0062
 13 0.609 0.0103   1.87  0.600   0.2007  11.52  0.751  0.893 0.202   0.000  0.0054
 14 0.650 0.0097   1.39  0.600   0.3104  11.52  0.801  0.893 0.131   0.000  0.0047
 15 0.689 0.0091   0.93  0.600   0.4565  11.52  0.849  0.893 0.087   0.000  0.0042
 16 0.726 0.0086   0.47  0.600   0.6387  11.50  0.894  0.894 0.060   0.000  0.0038
 17 0.761 0.0082   0.01  0.600   0.8552  11.46  0.937  0.894 0.042   0.000  0.0034
 18 0.793 0.0078  -0.55  0.600   1.1024  11.39  0.977  0.894 0.031   0.000  0.0031
 19 0.824 0.0075  -1.00  0.600   1.2262  11.26  1.015  0.894 0.027   0.000  0.0029
 20 0.853 0.0071  -1.13  0.600   1.2266  11.06  1.050  0.894 0.026   0.000  0.0026
 21 0.879 0.0067  -1.23  0.600   1.2272  10.76  1.082  0.894 0.025   0.000  0.0024
 22 0.902 0.0062  -1.33  0.600   1.2281  10.32  1.111  0.894 0.025   0.000  0.0022
 23 0.924 0.0057  -1.40  0.600   1.2294   9.72  1.137  0.894 0.024   0.000  0.0020
 24 0.942 0.0052  -1.47  0.600   1.2313   8.94  1.160  0.894 0.024   0.000  0.0018
 25 0.959 0.0045  -1.52  0.600   1.2339   7.98  1.180  0.894 0.023   0.000  0.0015
 26 0.972 0.0038  -1.57  0.600   1.2377   6.84  1.196  0.894 0.023   0.000  0.0013
 27 0.983 0.0031  -1.60  0.600   1.2433   5.55  1.210  0.894 0.023   0.000  0.0010
 28 0.991 0.0023  -1.63  0.600   1.2518   4.15  1.220  0.894 0.022   0.000  0.0007
 29 0.997 0.0015  -1.65  0.600   1.2661   2.72  1.227  0.894 0.022   0.000  0.0005
 30 0.999 0.0008  -1.65  0.600   1.2907   1.51  1.230  0.894 0.021   0.000  0.0003
