
 ===========================================================================
 Free Tip Potential Formulation Solution:  Designed blade                  
                                                  Wake adv. ratio:    0.04209
 no. blades :  2            radius(m)  :   0.0762     adv. ratio:     0.03987
 thrust(N)  :  0.904        power(W)   :   543.       torque(N-m):  0.826E-01
 Efficiency :  0.0333       speed(m/s) :   20.000     rpm        :  62856.004
 Eff induced:  0.9473       Eff ideal  :   0.9540     Area(m^2)  :    0.01822
 Tnacel(N)  :     0.0000    Rhub(m)    :   0.0025     Rwake(m)   :    0.0030
 Tvisc(N)   :    -0.0753    Pvisc(W)   :   523.       Mach       :    0.0588
 rho(kg/m3) :   1.22600     Vsound(m/s):  340.000     mu(kg/m-s) : 0.1780E-04
 ---------------------------------------------------------------------------
    J:    0.12527      adv:    0.03987       AF:    1.852
   Ct:    0.00125       Cp:    0.00469  (by rho,Diam,N)
   Tc:    0.20212       Pc:    6.07515  (by rho,Atip,Vel)
   CT:    0.00016       CP:    0.00019  (by rho,Atip,Vtip)
Sigma:    0.00165 CT/sigma:    0.09741  heliFOM:    0.00748

  i  r/R   c/R  beta(deg)  CL     Cd    REx10^3 Mach   effi  effp  na.u/U  solidity
  1 0.047 0.0216  39.54  0.600   0.0831   3.51  0.091  0.854 0.759   0.000  0.1452
  2 0.086 0.0168  23.96  0.600   0.0776   4.18  0.139  0.916 0.742   0.000  0.0625
  3 0.135 0.0126  15.11  0.600   0.0744   4.64  0.207  0.935 0.688   0.000  0.0297
  4 0.185 0.0098  10.51  0.600   0.0730   4.86  0.279  0.941 0.634   0.000  0.0168
  5 0.236 0.0079   7.76  0.600   0.0723   4.97  0.352  0.943 0.584   0.000  0.0107
  6 0.286 0.0066   5.92  0.600   0.0720   5.03  0.425  0.945 0.541   0.000  0.0074
  7 0.335 0.0057   4.59  0.600   0.0718   5.06  0.498  0.945 0.504   0.000  0.0054
  8 0.384 0.0050   3.56  0.600   0.0743   5.09  0.569  0.946 0.463   0.000  0.0042
  9 0.431 0.0045   2.73  0.600   0.0955   5.10  0.639  0.946 0.374   0.000  0.0033
 10 0.478 0.0040   2.02  0.600   0.1541   5.11  0.707  0.946 0.250   0.000  0.0027
 11 0.523 0.0037   1.38  0.600   0.2652   5.12  0.774  0.946 0.149   0.000  0.0023
 12 0.567 0.0034   0.78  0.600   0.4406   5.12  0.838  0.947 0.087   0.000  0.0019
 13 0.609 0.0032   0.17  0.600   0.6885   5.12  0.900  0.947 0.052   0.000  0.0017
 14 0.650 0.0030  -0.51  0.600   1.0129   5.13  0.960  0.947 0.033   0.000  0.0015
 15 0.689 0.0028  -1.22  0.600   1.2455   5.13  1.017  0.947 0.025   0.000  0.0013
 16 0.725 0.0027  -1.40  0.600   1.2455   5.13  1.072  0.947 0.024   0.000  0.0012
 17 0.760 0.0026  -1.55  0.600   1.2456   5.12  1.123  0.947 0.023   0.000  0.0011
 18 0.793 0.0024  -1.68  0.600   1.2456   5.11  1.172  0.947 0.022   0.000  0.0010
 19 0.824 0.0023  -1.80  0.600   1.2458   5.08  1.217  0.947 0.021   0.000  0.0009
 20 0.853 0.0022  -1.89  0.600   1.2461   5.03  1.259  0.947 0.021   0.000  0.0008
 21 0.879 0.0021  -1.98  0.600   1.2466   4.94  1.298  0.947 0.020   0.000  0.0008
 22 0.902 0.0020  -2.05  0.600   1.2474   4.80  1.332  0.947 0.020   0.000  0.0007
 23 0.924 0.0019  -2.11  0.600   1.2488   4.58  1.364  0.947 0.019   0.000  0.0006
 24 0.942 0.0017  -2.16  0.600   1.2509   4.28  1.391  0.947 0.019   0.000  0.0006
 25 0.959 0.0015  -2.21  0.600   1.2540   3.87  1.415  0.947 0.019   0.000  0.0005
 26 0.972 0.0013  -2.24  0.600   1.2587   3.35  1.435  0.947 0.018   0.000  0.0004
 27 0.983 0.0011  -2.27  0.600   1.2658   2.75  1.451  0.947 0.018   0.000  0.0003
 28 0.991 0.0008  -2.29  0.600   1.2768   2.07  1.463  0.947 0.018   0.000  0.0003
 29 0.997 0.0005  -2.30  0.600   1.2955   1.36  1.471  0.947 0.017   0.000  0.0002
 30 0.999 0.0003  -2.31  0.600   1.3282   0.75  1.475  0.947 0.017   0.000  0.0001
