
 ===========================================================================
 Free Tip Potential Formulation Solution:  Designed blade                  
                                                  Wake adv. ratio:    0.17440
 no. blades :  3            radius(m)  :   0.0889     adv. ratio:     0.10172
 thrust(N)  :   21.1        power(W)   :   814.       torque(N-m):  0.368    
 Efficiency :  0.5179       speed(m/s) :   20.000     rpm        :  21120.002
 Eff induced:  0.5832       Eff ideal  :   0.6427     Area(m^2)  :    0.02481
 Tnacel(N)  :     0.0050    Rhub(m)    :   0.0025     Rwake(m)   :    0.0030
 Tvisc(N)   :    -0.1999    Pvisc(W)   :   84.3       Mach       :    0.0588
 rho(kg/m3) :   1.22600     Vsound(m/s):  340.000     mu(kg/m-s) : 0.1780E-04
 ---------------------------------------------------------------------------
    J:    0.31956      adv:    0.10172       AF:  133.286
   Ct:    0.13878       Cp:    0.08563  (by rho,Diam,N)
   Tc:    3.46053       Pc:    6.68201  (by rho,Atip,Vel)
   CT:    0.01790       CP:    0.00352  (by rho,Atip,Vtip)
Sigma:    0.19385 CT/sigma:    0.09235

  i  r/R   c/R  beta(deg)  CL     Cd    REx10^3 Mach   effi  effp  na.u/U  solidity
  1 0.044 0.2316  74.56  0.600   0.0350  30.48  0.063  0.532 0.742   0.000  2.5267
  2 0.084 0.3622  62.44  0.600   0.0275  55.81  0.074  0.568 0.884   0.000  2.0639
  3 0.134 0.4496  50.45  0.600   0.0230  87.66  0.094  0.577 0.923   0.000  1.6074
  4 0.184 0.4671  41.24  0.600   0.0206 114.60  0.118  0.580 0.933   0.000  1.2101
  5 0.235 0.4516  34.38  0.600   0.0193 135.55  0.144  0.581 0.936   0.000  0.9176
  6 0.285 0.4243  29.22  0.600   0.0185 151.39  0.171  0.582 0.934   0.000  0.7103
  7 0.335 0.3943  25.27  0.600   0.0179 163.26  0.199  0.582 0.931   0.000  0.5625
  8 0.383 0.3655  22.19  0.600   0.0176 172.11  0.226  0.582 0.927   0.000  0.4551
  9 0.431 0.3390  19.74  0.600   0.0173 178.68  0.253  0.583 0.923   0.000  0.3754
 10 0.478 0.3151  17.75  0.600   0.0171 183.46  0.280  0.583 0.918   0.000  0.3150
 11 0.523 0.2938  16.12  0.600   0.0170 186.80  0.305  0.583 0.913   0.000  0.2683
 12 0.567 0.2746  14.75  0.600   0.0169 188.93  0.331  0.583 0.908   0.000  0.2313
 13 0.609 0.2572  13.60  0.600   0.0169 189.95  0.355  0.583 0.903   0.000  0.2017
 14 0.650 0.2413  12.63  0.600   0.0169 189.91  0.378  0.583 0.898   0.000  0.1774
 15 0.688 0.2265  11.79  0.600   0.0169 188.78  0.400  0.583 0.893   0.000  0.1571
 16 0.725 0.2125  11.06  0.600   0.0170 186.49  0.422  0.583 0.889   0.000  0.1399
 17 0.760 0.1990  10.44  0.600   0.0171 182.96  0.442  0.583 0.884   0.000  0.1249
 18 0.793 0.1857   9.89  0.600   0.0173 178.07  0.461  0.583 0.878   0.000  0.1118
 19 0.824 0.1724   9.41  0.600   0.0176 171.73  0.478  0.583 0.873   0.000  0.0999
 20 0.852 0.1591   9.00  0.600   0.0179 163.85  0.495  0.583 0.867   0.000  0.0891
 21 0.879 0.1455   8.64  0.600   0.0183 154.40  0.510  0.583 0.861   0.000  0.0791
 22 0.902 0.1315   8.33  0.600   0.0189 143.37  0.524  0.583 0.854   0.000  0.0696
 23 0.924 0.1173   8.06  0.600   0.0199 130.81  0.536  0.583 0.846   0.000  0.0606
 24 0.942 0.1027   7.83  0.600   0.0212 116.83  0.547  0.583 0.834   0.000  0.0520
 25 0.959 0.0878   7.64  0.600   0.0230 101.56  0.556  0.583 0.821   0.000  0.0437
 26 0.972 0.0726   7.49  0.600   0.0252  85.21  0.564  0.583 0.804   0.000  0.0357
 27 0.983 0.0573   7.37  0.600   0.0281  68.02  0.570  0.583 0.784   0.000  0.0278
 28 0.991 0.0421   7.28  0.600   0.0320  50.39  0.575  0.583 0.760   0.000  0.0203
 29 0.997 0.0275   7.22  0.600   0.0377  33.10  0.578  0.583 0.728   0.000  0.0132
 30 0.999 0.0159   7.19  0.600   0.0462  19.17  0.579  0.583 0.684   0.000  0.0076
