
 ===========================================================================
 Free Tip Potential Formulation Solution:  Designed blade                  
                                                  Wake adv. ratio:    0.14263
 no. blades :  2            radius(m)  :   0.1016     adv. ratio:     0.08900
 thrust(N)  :   21.8        power(W)   :   814.       torque(N-m):  0.368    
 Efficiency :  0.5350       speed(m/s) :   20.000     rpm        :  21120.000
 Eff induced:  0.6240       Eff ideal  :   0.6819     Area(m^2)  :    0.03241
 Tnacel(N)  :     0.0042    Rhub(m)    :   0.0025     Rwake(m)   :    0.0030
 Tvisc(N)   :    -0.1772    Pvisc(W)   :   110.       Mach       :    0.0588
 rho(kg/m3) :   1.22600     Vsound(m/s):  340.000     mu(kg/m-s) : 0.1780E-04
 ---------------------------------------------------------------------------
    J:    0.27962      adv:    0.08900       AF:  117.122
   Ct:    0.08404       Cp:    0.04392  (by rho,Diam,N)
   Tc:    2.73700       Pc:    5.11591  (by rho,Atip,Vel)
   CT:    0.01084       CP:    0.00180  (by rho,Atip,Vtip)
Sigma:    0.11310 CT/sigma:    0.09586  heliFOM:    0.44255

  i  r/R   c/R  beta(deg)  CL     Cd    REx10^3 Mach   effi  effp  na.u/U  solidity
  1 0.041 0.3907  72.39  0.600   0.0268  59.56  0.064  0.574 0.828   0.000  3.0173
  2 0.083 0.4969  57.93  0.600   0.0225  92.52  0.078  0.611 0.915   0.000  1.9152
  3 0.133 0.5271  44.89  0.600   0.0197 129.02  0.103  0.619 0.936   0.000  1.2631
  4 0.184 0.5012  35.61  0.600   0.0182 157.44  0.132  0.621 0.940   0.000  0.8679
  5 0.235 0.4598  29.07  0.600   0.0173 178.37  0.163  0.622 0.938   0.000  0.6239
  6 0.285 0.4179  24.35  0.600   0.0167 193.59  0.195  0.623 0.934   0.000  0.4669
  7 0.335 0.3798  20.83  0.600   0.0164 204.60  0.226  0.623 0.929   0.000  0.3614
  8 0.383 0.3463  18.13  0.600   0.0161 212.49  0.258  0.623 0.923   0.000  0.2876
  9 0.431 0.3172  16.00  0.600   0.0160 218.00  0.289  0.623 0.917   0.000  0.2343
 10 0.477 0.2918  14.29  0.600   0.0159 221.64  0.319  0.624 0.911   0.000  0.1945
 11 0.523 0.2696  12.89  0.600   0.0158 223.71  0.349  0.624 0.905   0.000  0.1642
 12 0.567 0.2499  11.73  0.600   0.0158 224.40  0.377  0.624 0.899   0.000  0.1404
 13 0.609 0.2321  10.75  0.600   0.0158 223.82  0.405  0.624 0.893   0.000  0.1214
 14 0.649 0.2160   9.92  0.600   0.0159 221.97  0.432  0.624 0.887   0.000  0.1059
 15 0.688 0.2011   9.20  0.600   0.0159 218.85  0.457  0.624 0.881   0.000  0.0930
 16 0.725 0.1871   8.58  0.600   0.0161 214.40  0.482  0.624 0.875   0.000  0.0821
 17 0.760 0.1737   8.05  0.600   0.0162 208.56  0.505  0.624 0.869   0.000  0.0727
 18 0.793 0.1607   7.58  0.600   0.0166 201.27  0.526  0.624 0.863   0.000  0.0645
 19 0.824 0.1480   7.17  0.600   0.0175 192.49  0.547  0.624 0.852   0.000  0.0572
 20 0.852 0.1354   6.81  0.600   0.0193 182.18  0.565  0.624 0.834   0.000  0.0506
 21 0.879 0.1229   6.50  0.600   0.0222 170.38  0.583  0.624 0.809   0.000  0.0445
 22 0.902 0.1104   6.23  0.600   0.0262 157.11  0.598  0.624 0.778   0.000  0.0389
 23 0.924 0.0978   6.00  0.600   0.0311 142.46  0.612  0.624 0.742   0.000  0.0337
 24 0.942 0.0852   5.80  0.600   0.0368 126.55  0.625  0.624 0.705   0.000  0.0288
 25 0.959 0.0725   5.63  0.600   0.0429 109.52  0.635  0.624 0.668   0.000  0.0241
 26 0.972 0.0597   5.49  0.600   0.0493  91.56  0.644  0.624 0.633   0.000  0.0196
 27 0.983 0.0471   5.38  0.600   0.0558  72.93  0.651  0.624 0.601   0.000  0.0152
 28 0.991 0.0346   5.30  0.600   0.0626  54.00  0.657  0.624 0.571   0.000  0.0111
 29 0.997 0.0227   5.25  0.600   0.0702  35.62  0.660  0.624 0.541   0.000  0.0072
 30 0.999 0.0134   5.22  0.600   0.0791  21.18  0.662  0.624 0.510   0.000  0.0043
