
 ===========================================================================
 Free Tip Potential Formulation Solution:  Designed blade                  
                                                  Wake adv. ratio:    0.18974
 no. blades :  3            radius(m)  :   0.1016     adv. ratio:     0.16284
 thrust(N)  :   4.25        power(W)   :   118.       torque(N-m):  0.979E-01
 Efficiency :  0.7182       speed(m/s) :   20.000     rpm        :  11544.000
 Eff induced:  0.8582       Eff ideal  :   0.8933     Area(m^2)  :    0.03241
 Tnacel(N)  :     0.0003    Rhub(m)    :   0.0025     Rwake(m)   :    0.0030
 Tvisc(N)   :    -0.0750    Pvisc(W)   :   17.6       Mach       :    0.0588
 rho(kg/m3) :   1.22600     Vsound(m/s):  340.000     mu(kg/m-s) : 0.1780E-04
 ---------------------------------------------------------------------------
    J:    0.51157      adv:    0.16284       AF:   50.651
   Ct:    0.05495       Cp:    0.03914  (by rho,Diam,N)
   Tc:    0.53469       Pc:    0.74450  (by rho,Atip,Vel)
   CT:    0.00709       CP:    0.00161  (by rho,Atip,Vtip)
Sigma:    0.07450 CT/sigma:    0.09515

  i  r/R   c/R  beta(deg)  CL     Cd    REx10^3 Mach   effi  effp  na.u/U  solidity
  1 0.041 0.0491  75.71  0.600   0.0628   7.08  0.061  0.789 0.500   0.000  0.5687
  2 0.083 0.0906  64.34  0.600   0.0476  14.19  0.066  0.840 0.790   0.000  0.5236
  3 0.133 0.1279  52.82  0.600   0.0392  23.03  0.076  0.852 0.867   0.000  0.4596
  4 0.184 0.1457  43.71  0.600   0.0350  30.67  0.088  0.855 0.890   0.000  0.3785
  5 0.235 0.1501  36.76  0.600   0.0325  36.75  0.103  0.856 0.896   0.000  0.3055
  6 0.285 0.1473  31.45  0.600   0.0310  41.45  0.118  0.857 0.896   0.000  0.2468
  7 0.335 0.1411  27.34  0.600   0.0300  45.03  0.134  0.857 0.893   0.000  0.2014
  8 0.383 0.1336  24.11  0.600   0.0293  47.74  0.150  0.857 0.888   0.000  0.1665
  9 0.431 0.1259  21.53  0.600   0.0288  49.77  0.166  0.858 0.883   0.000  0.1395
 10 0.477 0.1184  19.43  0.600   0.0285  51.26  0.182  0.858 0.876   0.000  0.1184
 11 0.523 0.1113  17.70  0.600   0.0282  52.30  0.198  0.858 0.870   0.000  0.1016
 12 0.567 0.1046  16.26  0.600   0.0281  52.95  0.213  0.858 0.864   0.000  0.0882
 13 0.609 0.0984  15.04  0.600   0.0280  53.26  0.227  0.858 0.857   0.000  0.0772
 14 0.649 0.0926  14.01  0.600   0.0280  53.23  0.242  0.858 0.850   0.000  0.0680
 15 0.688 0.0870  13.12  0.600   0.0281  52.87  0.255  0.858 0.844   0.000  0.0604
 16 0.725 0.0817  12.36  0.600   0.0283  52.15  0.268  0.858 0.837   0.000  0.0538
 17 0.760 0.0765  11.70  0.600   0.0285  51.07  0.281  0.858 0.830   0.000  0.0480
 18 0.793 0.0713  11.13  0.600   0.0288  49.60  0.292  0.858 0.823   0.000  0.0429
 19 0.824 0.0661  10.64  0.600   0.0293  47.72  0.303  0.858 0.816   0.000  0.0383
 20 0.852 0.0609  10.21  0.600   0.0299  45.42  0.313  0.858 0.808   0.000  0.0341
 21 0.879 0.0556   9.84  0.600   0.0306  42.69  0.323  0.858 0.800   0.000  0.0302
 22 0.902 0.0502   9.52  0.600   0.0316  39.55  0.331  0.858 0.791   0.000  0.0266
 23 0.924 0.0447   9.25  0.600   0.0328  36.01  0.339  0.858 0.781   0.000  0.0231
 24 0.942 0.0391   9.02  0.600   0.0343  32.10  0.345  0.858 0.770   0.000  0.0198
 25 0.959 0.0334   8.82  0.600   0.0363  27.86  0.351  0.858 0.757   0.000  0.0166
 26 0.972 0.0276   8.67  0.600   0.0390  23.35  0.356  0.858 0.741   0.000  0.0135
 27 0.983 0.0218   8.54  0.600   0.0427  18.62  0.360  0.858 0.721   0.000  0.0106
 28 0.991 0.0160   8.45  0.600   0.0481  13.79  0.363  0.858 0.694   0.000  0.0077
 29 0.997 0.0105   8.39  0.600   0.0569   9.07  0.365  0.858 0.656   0.000  0.0050
 30 0.999 0.0061   8.36  0.600   0.0705   5.31  0.366  0.858 0.604   0.000  0.0029
