
 ===========================================================================
 Free Tip Potential Formulation Solution:  Designed blade                  
                                                  Wake adv. ratio:    0.03048
 no. blades :  3            radius(m)  :   0.1016     adv. ratio:     0.02991
 thrust(N)  :  0.555        power(W)   :   543.       torque(N-m):  0.826E-01
 Efficiency :  0.0204       speed(m/s) :   20.000     rpm        :  62855.992
 Eff induced:  0.9811       Eff ideal  :   0.9831     Area(m^2)  :    0.03241
 Tnacel(N)  :     0.0000    Rhub(m)    :   0.0025     Rwake(m)   :    0.0030
 Tvisc(N)   :    -0.0481    Pvisc(W)   :   531.       Mach       :    0.0588
 rho(kg/m3) :   1.22600     Vsound(m/s):  340.000     mu(kg/m-s) : 0.1780E-04
 ---------------------------------------------------------------------------
    J:    0.09395      adv:    0.02991       AF:    0.243
   Ct:    0.00024       Cp:    0.00111  (by rho,Diam,N)
   Tc:    0.06978       Pc:    3.41727  (by rho,Atip,Vel)
   CT:    0.00003       CP:    0.00005  (by rho,Atip,Vtip)
Sigma:    0.00031 CT/sigma:    0.10030  heliFOM:    0.00270

  i  r/R   c/R  beta(deg)  CL     Cd    REx10^3 Mach   effi  effp  na.u/U  solidity
  1 0.041 0.0034  34.29  0.600   0.1500   0.80  0.100  0.902 0.609   0.000  0.0391
  2 0.083 0.0024  18.02  0.600   0.1372   1.00  0.173  0.961 0.565   0.000  0.0141
  3 0.133 0.0017  10.63  0.600   0.1329   1.09  0.268  0.974 0.483   0.000  0.0061
  4 0.184 0.0013   7.02  0.600   0.1315   1.11  0.366  0.977 0.415   0.000  0.0033
  5 0.235 0.0010   4.88  0.600   0.1310   1.13  0.465  0.979 0.363   0.000  0.0021
  6 0.285 0.0008   3.42  0.600   0.1326   1.13  0.563  0.979 0.318   0.000  0.0014
  7 0.335 0.0007   2.31  0.600   0.1679   1.14  0.661  0.980 0.239   0.000  0.0010
  8 0.383 0.0006   1.38  0.600   0.2881   1.14  0.756  0.980 0.137   0.000  0.0008
  9 0.431 0.0006   0.52  0.600   0.5386   1.14  0.850  0.980 0.068   0.000  0.0006
 10 0.477 0.0005  -0.40  0.600   0.9574   1.14  0.941  0.981 0.035   0.000  0.0005
 11 0.523 0.0005  -1.38  0.600   1.3043   1.14  1.030  0.981 0.023   0.000  0.0004
 12 0.567 0.0004  -1.64  0.600   1.3043   1.14  1.116  0.981 0.021   0.000  0.0004
 13 0.609 0.0004  -1.85  0.600   1.3043   1.14  1.199  0.981 0.020   0.000  0.0003
 14 0.649 0.0004  -2.03  0.600   1.3042   1.14  1.279  0.981 0.019   0.000  0.0003
 15 0.688 0.0004  -2.18  0.600   1.3042   1.14  1.355  0.981 0.018   0.000  0.0002
 16 0.725 0.0003  -2.31  0.600   1.3042   1.14  1.428  0.981 0.017   0.000  0.0002
 17 0.760 0.0003  -2.42  0.600   1.3042   1.14  1.497  0.981 0.017   0.000  0.0002
 18 0.793 0.0003  -2.52  0.600   1.3042   1.14  1.561  0.981 0.016   0.000  0.0002
 19 0.824 0.0003  -2.60  0.600   1.3042   1.14  1.622  0.981 0.015   0.000  0.0002
 20 0.852 0.0003  -2.67  0.600   1.3042   1.14  1.678  0.981 0.015   0.000  0.0002
 21 0.879 0.0003  -2.73  0.600   1.3043   1.14  1.729  0.981 0.015   0.000  0.0002
 22 0.902 0.0003  -2.78  0.600   1.3045   1.14  1.776  0.981 0.014   0.000  0.0001
 23 0.924 0.0003  -2.83  0.600   1.3050   1.13  1.818  0.981 0.014   0.000  0.0001
 24 0.942 0.0002  -2.87  0.600   1.3062   1.10  1.854  0.981 0.014   0.000  0.0001
 25 0.959 0.0002  -2.90  0.600   1.3088   1.05  1.886  0.981 0.013   0.000  0.0001
 26 0.972 0.0002  -2.92  0.600   1.3137   0.96  1.913  0.981 0.013   0.000  0.0001
 27 0.983 0.0002  -2.94  0.600   1.3225   0.82  1.934  0.981 0.013   0.000  0.0001
 28 0.991 0.0001  -2.96  0.600   1.3380   0.64  1.950  0.981 0.013   0.000  0.0001
 29 0.997 0.0001  -2.97  0.600   1.3661   0.43  1.961  0.981 0.012   0.000  0.0000
 30 0.999 0.0001  -2.97  0.600   1.4177   0.24  1.966  0.981 0.012   0.000  0.0000
