
 ===========================================================================
 Free Tip Potential Formulation Solution:  Designed blade                  
                                                  Wake adv. ratio:    0.13913
 no. blades :  3            radius(m)  :   0.1016     adv. ratio:     0.08900
 thrust(N)  :   21.7        power(W)   :   814.       torque(N-m):  0.368    
 Efficiency :  0.5327       speed(m/s) :   20.000     rpm        :  21120.000
 Eff induced:  0.6397       Eff ideal  :   0.6826     Area(m^2)  :    0.03241
 Tnacel(N)  :     0.0032    Rhub(m)    :   0.0025     Rwake(m)   :    0.0030
 Tvisc(N)   :    -0.1995    Pvisc(W)   :   130.       Mach       :    0.0588
 rho(kg/m3) :   1.22600     Vsound(m/s):  340.000     mu(kg/m-s) : 0.1780E-04
 ---------------------------------------------------------------------------
    J:    0.27962      adv:    0.08900       AF:   79.003
   Ct:    0.08367       Cp:    0.04392  (by rho,Diam,N)
   Tc:    2.72526       Pc:    5.11591  (by rho,Atip,Vel)
   CT:    0.01079       CP:    0.00180  (by rho,Atip,Vtip)
Sigma:    0.11321 CT/sigma:    0.09535  heliFOM:    0.43970

  i  r/R   c/R  beta(deg)  CL     Cd    REx10^3 Mach   effi  effp  na.u/U  solidity
  1 0.041 0.1713  71.97  0.600   0.0373  26.14  0.064  0.588 0.767   0.000  1.9845
  2 0.083 0.2676  57.30  0.600   0.0288  49.95  0.078  0.626 0.893   0.000  1.5473
  3 0.133 0.3110  44.17  0.600   0.0243  76.34  0.103  0.635 0.922   0.000  1.1179
  4 0.184 0.3062  34.92  0.600   0.0221  96.44  0.132  0.637 0.927   0.000  0.7955
  5 0.235 0.2850  28.44  0.600   0.0209 110.79  0.163  0.638 0.925   0.000  0.5801
  6 0.285 0.2606  23.78  0.600   0.0202 120.91  0.195  0.639 0.920   0.000  0.4367
  7 0.335 0.2374  20.32  0.600   0.0198 128.08  0.227  0.639 0.914   0.000  0.3389
  8 0.383 0.2169  17.66  0.600   0.0194 133.19  0.258  0.639 0.907   0.000  0.2702
  9 0.431 0.1990  15.58  0.600   0.0192 136.87  0.289  0.639 0.900   0.000  0.2205
 10 0.477 0.1836  13.90  0.600   0.0191 139.51  0.319  0.639 0.893   0.000  0.1836
 11 0.523 0.1702  12.53  0.600   0.0190 141.36  0.349  0.639 0.886   0.000  0.1555
 12 0.567 0.1587  11.39  0.600   0.0189 142.58  0.378  0.639 0.879   0.000  0.1337
 13 0.609 0.1485  10.44  0.600   0.0189 143.25  0.405  0.639 0.873   0.000  0.1165
 14 0.649 0.1395   9.62  0.600   0.0189 143.36  0.432  0.639 0.866   0.000  0.1025
 15 0.688 0.1312   8.92  0.600   0.0189 142.89  0.458  0.640 0.860   0.000  0.0910
 16 0.725 0.1236   8.32  0.600   0.0190 141.75  0.482  0.640 0.853   0.000  0.0814
 17 0.760 0.1164   7.79  0.600   0.0191 139.83  0.505  0.640 0.847   0.000  0.0731
 18 0.793 0.1093   7.33  0.600   0.0193 136.98  0.527  0.640 0.840   0.000  0.0658
 19 0.824 0.1023   6.93  0.600   0.0202 133.07  0.547  0.640 0.829   0.000  0.0593
 20 0.852 0.0951   6.58  0.600   0.0219 127.96  0.566  0.640 0.812   0.000  0.0533
 21 0.879 0.0876   6.28  0.600   0.0248 121.52  0.583  0.640 0.788   0.000  0.0476
 22 0.902 0.0799   6.01  0.600   0.0288 113.70  0.598  0.640 0.757   0.000  0.0423
 23 0.924 0.0717   5.78  0.600   0.0337 104.48  0.612  0.640 0.722   0.000  0.0371
 24 0.942 0.0632   5.59  0.600   0.0394  93.90  0.625  0.640 0.686   0.000  0.0320
 25 0.959 0.0543   5.42  0.600   0.0456  82.07  0.635  0.640 0.649   0.000  0.0270
 26 0.972 0.0451   5.29  0.600   0.0521  69.15  0.644  0.640 0.615   0.000  0.0222
 27 0.983 0.0357   5.18  0.600   0.0588  55.37  0.651  0.640 0.583   0.000  0.0174
 28 0.991 0.0263   5.11  0.600   0.0659  41.07  0.657  0.640 0.552   0.000  0.0127
 29 0.997 0.0171   5.05  0.600   0.0741  26.91  0.660  0.640 0.521   0.000  0.0082
 30 0.999 0.0097   5.03  0.600   0.0848  15.27  0.662  0.640 0.486   0.000  0.0046
