
 ===========================================================================
 Free Tip Potential Formulation Solution:  Designed blade                  
                                                  Wake adv. ratio:    0.26675
 no. blades :  2            radius(m)  :   0.1270     adv. ratio:     0.20797
 thrust(N)  :   8.78        power(W)   :   242.       torque(N-m):  0.319    
 Efficiency :  0.7260       speed(m/s) :   20.000     rpm        :   7231.000
 Eff induced:  0.7796       Eff ideal  :   0.8672     Area(m^2)  :    0.05064
 Tnacel(N)  :     0.0010    Rhub(m)    :   0.0030     Rwake(m)   :    0.0035
 Tvisc(N)   :    -0.1075    Pvisc(W)   :   13.9       Mach       :    0.0588
 rho(kg/m3) :   1.22600     Vsound(m/s):  340.000     mu(kg/m-s) : 0.1780E-04
 ---------------------------------------------------------------------------
    J:    0.65335      adv:    0.20797       AF:  161.738
   Ct:    0.11842       Cp:    0.10658  (by rho,Diam,N)
   Tc:    0.70642       Pc:    0.97308  (by rho,Atip,Vel)
   CT:    0.01528       CP:    0.00438  (by rho,Atip,Vtip)
Sigma:    0.16062 CT/sigma:    0.09511

  i  r/R   c/R  beta(deg)  CL     Cd    REx10^3 Mach   effi  effp  na.u/U  solidity
  1 0.041 0.1855  79.33  0.600   0.0268  33.04  0.060  0.729 0.695   0.000  1.4576
  2 0.082 0.2860  70.72  0.600   0.0221  53.64  0.063  0.767 0.870   0.000  1.1065
  3 0.133 0.3850  61.39  0.600   0.0189  79.45  0.069  0.775 0.922   0.000  0.9239
  4 0.184 0.4444  53.26  0.600   0.0170 102.99  0.078  0.777 0.940   0.000  0.7702
  5 0.235 0.4702  46.48  0.600   0.0159 123.03  0.088  0.778 0.948   0.000  0.6383
  6 0.285 0.4736  40.92  0.600   0.0151 139.47  0.099  0.779 0.951   0.000  0.5293
  7 0.334 0.4637  36.37  0.600   0.0146 152.56  0.111  0.779 0.952   0.000  0.4413
  8 0.383 0.4463  32.63  0.600   0.0142 162.66  0.123  0.779 0.951   0.000  0.3707
  9 0.431 0.4250  29.54  0.600   0.0139 170.12  0.135  0.779 0.950   0.000  0.3140
 10 0.477 0.4020  26.97  0.600   0.0138 175.26  0.147  0.779 0.948   0.000  0.2680
 11 0.523 0.3785  24.81  0.600   0.0137 178.33  0.158  0.779 0.946   0.000  0.2305
 12 0.567 0.3550  22.98  0.600   0.0137 179.55  0.170  0.779 0.944   0.000  0.1995
 13 0.609 0.3320  21.42  0.600   0.0137 179.08  0.181  0.779 0.941   0.000  0.1736
 14 0.649 0.3096  20.08  0.600   0.0137 177.07  0.192  0.779 0.938   0.000  0.1518
 15 0.688 0.2879  18.93  0.600   0.0138 173.62  0.203  0.779 0.935   0.000  0.1331
 16 0.725 0.2667  17.93  0.600   0.0140 168.85  0.213  0.779 0.932   0.000  0.1171
 17 0.760 0.2462  17.07  0.600   0.0142 162.84  0.222  0.779 0.929   0.000  0.1031
 18 0.793 0.2262  16.32  0.600   0.0145 155.67  0.231  0.779 0.926   0.000  0.0908
 19 0.824 0.2067  15.66  0.600   0.0148 147.42  0.240  0.779 0.922   0.000  0.0798
 20 0.852 0.1876  15.09  0.600   0.0152 138.18  0.248  0.779 0.918   0.000  0.0700
 21 0.879 0.1689  14.60  0.600   0.0156 128.02  0.255  0.779 0.914   0.000  0.0612
 22 0.902 0.1505  14.18  0.600   0.0162 117.03  0.261  0.779 0.909   0.000  0.0531
 23 0.924 0.1325  13.81  0.600   0.0169 105.30  0.267  0.779 0.904   0.000  0.0456
 24 0.942 0.1147  13.50  0.600   0.0178  92.93  0.272  0.780 0.898   0.000  0.0387
 25 0.959 0.0972  13.25  0.600   0.0188  80.02  0.277  0.780 0.891   0.000  0.0323
 26 0.972 0.0799  13.04  0.600   0.0203  66.70  0.281  0.780 0.882   0.000  0.0262
 27 0.983 0.0630  12.87  0.600   0.0222  53.13  0.284  0.780 0.871   0.000  0.0204
 28 0.991 0.0465  12.75  0.600   0.0250  39.58  0.286  0.780 0.856   0.000  0.0149
 29 0.997 0.0314  12.67  0.600   0.0292  26.84  0.288  0.780 0.835   0.000  0.0100
 30 0.999 0.0207  12.63  0.600   0.0344  17.75  0.288  0.780 0.811   0.000  0.0066
