
 ===========================================================================
 Ducted Potential Formulation Solution:  Designed blade                  
 Vdisk/Vslip:    1.10000                         Wake adv. ratio:    0.26783
 no. blades :  2            radius(m)  :   0.1270     adv. ratio:     0.20797
 thrust(N)  :   8.74        power(W)   :   242.       torque(N-m):  0.319    
 Efficiency :  0.7230       speed(m/s) :   20.000     rpm        :   7231.000
 Eff induced:  0.7765       Eff ideal  :   0.8676     Area(m^2)  :    0.05064
 Tnacel(N)  :     1.0481    Rhub(m)    :   0.0030     Rwake(m)   :    0.0035
 Tvisc(N)   :    -0.1213    Pvisc(W)   :   13.5       Mach       :    0.0588
 rho(kg/m3) :   1.22600     Vsound(m/s):  340.000     mu(kg/m-s) : 0.1780E-04
 ---------------------------------------------------------------------------
    J:    0.65335      adv:    0.20797       AF:  145.060
   Ct:    0.11793       Cp:    0.10658  (by rho,Diam,N)
   Tc:    0.70351       Pc:    0.97308  (by rho,Atip,Vel)
   CT:    0.01521       CP:    0.00438  (by rho,Atip,Vtip)
Sigma:    0.12055 CT/sigma:    0.12620

  i  r/R   c/R  beta(deg)  CL     Cd    REx10^3 Mach   effi  effp  na.u/U  solidity
  1 0.041 0.4721 113.21  0.600   0.0157 126.54  0.090 -2.179 1.068   0.000  3.7094
  2 0.082 0.5227  88.80  0.600   0.0157 126.54  0.081  0.007 2.498   0.000  2.0222
  3 0.133 0.5043  72.53  0.600   0.0157 126.54  0.084  0.471 0.898   0.000  1.2101
  4 0.184 0.4671  61.12  0.600   0.0157 126.54  0.091  0.612 0.936   0.000  0.8095
  5 0.235 0.4265  52.47  0.600   0.0157 126.54  0.100  0.672 0.946   0.000  0.5790
  6 0.285 0.3881  45.73  0.600   0.0157 126.54  0.110  0.702 0.949   0.000  0.4338
  7 0.334 0.3538  40.38  0.600   0.0157 126.54  0.120  0.720 0.949   0.000  0.3368
  8 0.383 0.3239  36.07  0.600   0.0157 126.54  0.131  0.731 0.948   0.000  0.2691
  9 0.431 0.2982  32.56  0.600   0.0157 126.54  0.143  0.739 0.946   0.000  0.2203
 10 0.477 0.2762  29.66  0.600   0.0157 126.54  0.154  0.744 0.944   0.000  0.1841
 11 0.523 0.2573  27.25  0.600   0.0157 126.54  0.165  0.748 0.942   0.000  0.1567
 12 0.567 0.2410  25.21  0.600   0.0157 126.54  0.177  0.751 0.939   0.000  0.1354
 13 0.609 0.2270  23.49  0.600   0.0157 126.54  0.187  0.753 0.937   0.000  0.1187
 14 0.649 0.2148  22.01  0.600   0.0157 126.54  0.198  0.754 0.934   0.000  0.1053
 15 0.688 0.2043  20.74  0.600   0.0157 126.54  0.208  0.756 0.931   0.000  0.0945
 16 0.725 0.1951  19.65  0.600   0.0157 126.54  0.218  0.757 0.929   0.000  0.0856
 17 0.760 0.1871  18.70  0.600   0.0157 126.54  0.227  0.758 0.927   0.000  0.0783
 18 0.793 0.1801  17.88  0.600   0.0157 126.54  0.236  0.759 0.924   0.000  0.0723
 19 0.824 0.1740  17.16  0.600   0.0157 126.54  0.245  0.759 0.922   0.000  0.0672
 20 0.852 0.1687  16.54  0.600   0.0157 126.54  0.252  0.760 0.920   0.000  0.0630
 21 0.879 0.1641  16.00  0.600   0.0157 126.54  0.259  0.760 0.919   0.000  0.0594
 22 0.902 0.1601  15.54  0.600   0.0157 126.54  0.266  0.760 0.917   0.000  0.0565
 23 0.924 0.1567  15.14  0.600   0.0157 126.54  0.272  0.761 0.916   0.000  0.0540
 24 0.942 0.1538  14.81  0.600   0.0157 126.54  0.277  0.761 0.914   0.000  0.0520
 25 0.959 0.1514  14.53  0.600   0.0157 126.54  0.281  0.761 0.913   0.000  0.0503
 26 0.972 0.1494  14.30  0.600   0.0157 126.54  0.285  0.761 0.912   0.000  0.0489
 27 0.983 0.1479  14.12  0.600   0.0157 126.54  0.288  0.761 0.911   0.000  0.0479
 28 0.991 0.1467  13.99  0.600   0.0157 126.54  0.290  0.762 0.911   0.000  0.0471
 29 0.997 0.1460  13.90  0.600   0.0157 126.54  0.291  0.762 0.911   0.000  0.0466
 30 0.999 0.1456  13.86  0.600   0.0157 126.54  0.292  0.762 0.910   0.000  0.0464
