
 ===========================================================================
 Free Tip Potential Formulation Solution:  Designed blade                  
                                                  Wake adv. ratio:    0.02415
 no. blades :  2            radius(m)  :   0.1270     adv. ratio:     0.02392
 thrust(N)  :  0.426        power(W)   :   543.       torque(N-m):  0.826E-01
 Efficiency :  0.0157       speed(m/s) :   20.000     rpm        :  62856.000
 Eff induced:  0.9906       Eff ideal  :   0.9916     Area(m^2)  :    0.05064
 Tnacel(N)  :     0.0000    Rhub(m)    :   0.0030     Rwake(m)   :    0.0035
 Tvisc(N)   :    -0.0337    Pvisc(W)   :   534.       Mach       :    0.0588
 rho(kg/m3) :   1.22600     Vsound(m/s):  340.000     mu(kg/m-s) : 0.1780E-04
 ---------------------------------------------------------------------------
    J:    0.07516      adv:    0.02392       AF:    0.114
   Ct:    0.00008       Cp:    0.00036  (by rho,Diam,N)
   Tc:    0.03431       Pc:    2.18705  (by rho,Atip,Vel)
   CT:    0.00001       CP:    0.00001  (by rho,Atip,Vtip)
Sigma:    0.00010 CT/sigma:    0.10061  heliFOM:    0.00145

  i  r/R    c/R  beta(deg)   CL      Cd    RE    Mach   effi  effp  na.u/U  solidity
  1 0.041 0.0019  28.59  0.600   0.1617  66.52  0.116  0.926 0.578   0.000  0.0152
  2 0.082 0.0012  14.10  0.600   0.1525  77.01  0.211  0.975 0.496   0.000  0.0048
  3 0.133 0.0008   7.96  0.600   0.1493  81.22  0.331  0.985 0.403   0.000  0.0020
  4 0.184 0.0006   4.99  0.600   0.1482  82.68  0.455  0.988 0.336   0.000  0.0011
  5 0.235 0.0005   3.17  0.600   0.1519  83.29  0.580  0.989 0.282   0.000  0.0007
  6 0.285 0.0004   1.84  0.600   0.2245  83.59  0.703  0.989 0.179   0.000  0.0004
  7 0.334 0.0003   0.72  0.600   0.4722  83.76  0.824  0.990 0.079   0.000  0.0003
  8 0.383 0.0003  -0.47  0.600   0.9912  83.87  0.944  0.990 0.033   0.000  0.0002
  9 0.431 0.0003  -1.51  0.600   1.3214  83.94  1.061  0.990 0.022   0.000  0.0002
 10 0.477 0.0002  -1.82  0.600   1.3214  83.99  1.175  0.990 0.020   0.000  0.0002
 11 0.523 0.0002  -2.07  0.600   1.3213  84.03  1.287  0.990 0.018   0.000  0.0001
 12 0.567 0.0002  -2.28  0.600   1.3213  84.05  1.394  0.990 0.017   0.000  0.0001
 13 0.609 0.0002  -2.45  0.600   1.3213  84.07  1.498  0.990 0.016   0.000  0.0001
 14 0.649 0.0002  -2.59  0.600   1.3213  84.09  1.598  0.990 0.015   0.000  0.0001
 15 0.688 0.0002  -2.71  0.600   1.3213  84.10  1.693  0.990 0.014   0.000  0.0001
 16 0.725 0.0002  -2.81  0.600   1.3213  84.11  1.784  0.990 0.014   0.000  0.0001
 17 0.760 0.0002  -2.90  0.600   1.3213  84.12  1.870  0.990 0.013   0.000  0.0001
 18 0.793 0.0001  -2.98  0.600   1.3213  84.12  1.951  0.990 0.013   0.000  0.0001
 19 0.824 0.0001  -3.04  0.600   1.3213  84.09  2.027  0.990 0.012   0.000  0.0001
 20 0.852 0.0001  -3.10  0.600   1.3213  84.00  2.097  0.990 0.012   0.000  0.0001
 21 0.879 0.0001  -3.14  0.600   1.3215  83.76  2.161  0.990 0.012   0.000  0.0000
 22 0.902 0.0001  -3.19  0.600   1.3220  83.15  2.219  0.990 0.011   0.000  0.0000
 23 0.924 0.0001  -3.22  0.600   1.3229  81.81  2.272  0.990 0.011   0.000  0.0000
 24 0.942 0.0001  -3.25  0.600   1.3249  79.14  2.318  0.990 0.011   0.000  0.0000
 25 0.959 0.0001  -3.28  0.600   1.3286  74.45  2.357  0.990 0.011   0.000  0.0000
 26 0.972 0.0001  -3.30  0.600   1.3352  67.07  2.391  0.990 0.010   0.000  0.0000
 27 0.983 0.0001  -3.31  0.600   1.3464  56.75  2.417  0.990 0.010   0.000  0.0000
 28 0.991 0.0001  -3.32  0.600   1.3652  43.79  2.438  0.990 0.010   0.000  0.0000
 29 0.997 0.0000  -3.33  0.600   1.3987  29.25  2.451  0.990 0.010   0.000  0.0000
 30 0.999 0.0000  -3.34  0.600   1.4592  16.11  2.458  0.990 0.009   0.000  0.0000
