
 ===========================================================================
 Ducted Potential Formulation Solution:  Designed blade                  
 Vdisk/Vslip:    1.10000                         Wake adv. ratio:    0.09227
 no. blades :  2            radius(m)  :   0.1270     adv. ratio:     0.07120
 thrust(N)  :   15.6        power(W)   :   814.       torque(N-m):  0.368    
 Efficiency :  0.3827       speed(m/s) :   20.000     rpm        :  21119.998
 Eff induced:  0.7717       Eff ideal  :   0.7997     Area(m^2)  :    0.05064
 Tnacel(N)  :     0.0011    Rhub(m)    :   0.0030     Rwake(m)   :    0.0035
 Tvisc(N)   :    -0.2249    Pvisc(W)   :   404.       Mach       :    0.0588
 rho(kg/m3) :   1.22600     Vsound(m/s):  340.000     mu(kg/m-s) : 0.1780E-04
 ---------------------------------------------------------------------------
    J:    0.22369      adv:    0.07120       AF:   34.023
   Ct:    0.02462       Cp:    0.01439  (by rho,Diam,N)
   Tc:    1.25313       Pc:    3.27418  (by rho,Atip,Vel)
   CT:    0.00318       CP:    0.00059  (by rho,Atip,Vtip)
Sigma:    0.03221 CT/sigma:    0.09863  ductFOM:    0.21422

  i  r/R   c/R  beta(deg)  CL     Cd    REx10^3 Mach   effi  effp  na.u/U  solidity
  1 0.041 0.1698  64.44  0.600   0.0336  33.99  0.076  0.659 0.850   0.000  1.3339
  2 0.082 0.1940  46.14  0.600   0.0284  51.43  0.101  0.698 0.908   0.000  0.7506
  3 0.133 0.1833  32.62  0.600   0.0255  67.34  0.136  0.708 0.914   0.000  0.4397
  4 0.184 0.1613  24.44  0.600   0.0241  77.71  0.173  0.712 0.907   0.000  0.2795
  5 0.235 0.1405  19.23  0.600   0.0233  84.35  0.212  0.713 0.896   0.000  0.1907
  6 0.285 0.1232  15.67  0.600   0.0229  88.66  0.251  0.714 0.884   0.000  0.1377
  7 0.334 0.1091  13.11  0.600   0.0226  91.51  0.290  0.715 0.871   0.000  0.1039
  8 0.383 0.0977  11.19  0.600   0.0224  93.43  0.328  0.715 0.858   0.000  0.0812
  9 0.431 0.0884   9.70  0.600   0.0223  94.73  0.367  0.715 0.845   0.000  0.0653
 10 0.477 0.0807   8.51  0.600   0.0222  95.60  0.404  0.716 0.833   0.000  0.0538
 11 0.523 0.0742   7.54  0.600   0.0221  96.14  0.441  0.716 0.822   0.000  0.0452
 12 0.567 0.0688   6.72  0.600   0.0221  96.41  0.476  0.716 0.811   0.000  0.0386
 13 0.609 0.0641   6.04  0.600   0.0221  96.42  0.511  0.716 0.800   0.000  0.0335
 14 0.649 0.0599   5.45  0.600   0.0225  96.15  0.544  0.716 0.787   0.000  0.0294
 15 0.688 0.0562   4.94  0.600   0.0251  95.56  0.576  0.716 0.758   0.000  0.0260
 16 0.725 0.0528   4.49  0.600   0.0313  94.58  0.606  0.716 0.705   0.000  0.0232
 17 0.760 0.0497   4.10  0.600   0.0421  93.12  0.634  0.716 0.628   0.000  0.0208
 18 0.793 0.0466   3.75  0.600   0.0580  91.09  0.661  0.716 0.540   0.000  0.0187
 19 0.824 0.0435   3.44  0.600   0.0790  88.38  0.686  0.716 0.453   0.000  0.0168
 20 0.852 0.0404   3.16  0.600   0.1046  84.89  0.710  0.716 0.376   0.000  0.0151
 21 0.879 0.0372   2.92  0.600   0.1342  80.56  0.731  0.716 0.312   0.000  0.0135
 22 0.902 0.0339   2.70  0.600   0.1665  75.33  0.751  0.716 0.262   0.000  0.0120
 23 0.924 0.0304   2.51  0.600   0.2005  69.18  0.768  0.716 0.222   0.000  0.0105
 24 0.942 0.0268   2.35  0.600   0.2348  62.15  0.784  0.716 0.192   0.000  0.0090
 25 0.959 0.0230   2.20  0.600   0.2680  54.30  0.797  0.716 0.170   0.000  0.0076
 26 0.972 0.0191   2.09  0.600   0.2989  45.74  0.808  0.716 0.152   0.000  0.0063
 27 0.983 0.0151   1.99  0.600   0.3266  36.62  0.817  0.716 0.140   0.000  0.0049
 28 0.991 0.0111   1.92  0.600   0.3504  27.16  0.824  0.716 0.130   0.000  0.0036
 29 0.997 0.0072   1.87  0.600   0.3708  17.79  0.828  0.716 0.123   0.000  0.0023
 30 0.999 0.0041   1.85  0.600   0.3888  10.10  0.830  0.716 0.117   0.000  0.0013
