
 ===========================================================================
 Free Tip Potential Formulation Solution:  Designed blade                  
                                                  Wake adv. ratio:    0.11776
 no. blades :  2            radius(m)  :   0.1270     adv. ratio:     0.08544
 thrust(N)  :   19.9        power(W)   :   688.       torque(N-m):  0.373    
 Efficiency :  0.5773       speed(m/s) :   20.000     rpm        :  17599.998
 Eff induced:  0.7256       Eff ideal  :   0.7657     Area(m^2)  :    0.05064
 Tnacel(N)  :     0.0019    Rhub(m)    :   0.0030     Rwake(m)   :    0.0035
 Tvisc(N)   :    -0.1658    Pvisc(W)   :   136.       Mach       :    0.0588
 rho(kg/m3) :   1.22600     Vsound(m/s):  340.000     mu(kg/m-s) : 0.1780E-04
 ---------------------------------------------------------------------------
    J:    0.26843      adv:    0.08544       AF:   62.222
   Ct:    0.04523       Cp:    0.02103  (by rho,Diam,N)
   Tc:    1.59835       Pc:    2.76873  (by rho,Atip,Vel)
   CT:    0.00583       CP:    0.00086  (by rho,Atip,Vtip)
Sigma:    0.05968 CT/sigma:    0.09777  heliFOM:    0.36492

  i  r/R   c/R  beta(deg)  CL     Cd    REx10^3 Mach   effi  effp  na.u/U  solidity
  1 0.041 0.2328  69.21  0.600   0.0301  44.79  0.065  0.678 0.837   0.000  1.8288
  2 0.082 0.2907  52.95  0.600   0.0252  69.74  0.081  0.714 0.913   0.000  1.1248
  3 0.133 0.2980  39.41  0.600   0.0222  95.14  0.107  0.721 0.928   0.000  0.7151
  4 0.184 0.2761  30.45  0.600   0.0207 113.48  0.138  0.723 0.928   0.000  0.4785
  5 0.235 0.2486  24.43  0.600   0.0199 126.20  0.171  0.724 0.923   0.000  0.3375
  6 0.285 0.2229  20.21  0.600   0.0193 135.03  0.204  0.725 0.915   0.000  0.2491
  7 0.334 0.2006  17.12  0.600   0.0190 141.19  0.237  0.725 0.907   0.000  0.1909
  8 0.383 0.1816  14.78  0.600   0.0188 145.49  0.269  0.725 0.899   0.000  0.1508
  9 0.431 0.1655  12.96  0.600   0.0186 148.45  0.302  0.725 0.890   0.000  0.1222
 10 0.477 0.1518  11.50  0.600   0.0185 150.42  0.333  0.725 0.882   0.000  0.1012
 11 0.523 0.1400  10.31  0.600   0.0185 151.57  0.364  0.725 0.874   0.000  0.0853
 12 0.567 0.1298   9.32  0.600   0.0184 152.03  0.394  0.725 0.866   0.000  0.0729
 13 0.609 0.1208   8.49  0.600   0.0184 151.82  0.423  0.725 0.858   0.000  0.0631
 14 0.649 0.1127   7.78  0.600   0.0185 150.94  0.450  0.725 0.850   0.000  0.0552
 15 0.688 0.1053   7.17  0.600   0.0186 149.34  0.477  0.725 0.842   0.000  0.0487
 16 0.725 0.0984   6.65  0.600   0.0187 146.95  0.502  0.725 0.835   0.000  0.0432
 17 0.760 0.0918   6.19  0.600   0.0189 143.67  0.526  0.725 0.827   0.000  0.0384
 18 0.793 0.0854   5.79  0.600   0.0199 139.42  0.549  0.725 0.813   0.000  0.0343
 19 0.824 0.0791   5.44  0.600   0.0221 134.10  0.570  0.725 0.791   0.000  0.0306
 20 0.852 0.0728   5.13  0.600   0.0257 127.66  0.589  0.725 0.759   0.000  0.0272
 21 0.879 0.0665   4.86  0.600   0.0309 120.06  0.607  0.725 0.718   0.000  0.0241
 22 0.902 0.0600   4.63  0.600   0.0374 111.30  0.624  0.725 0.671   0.000  0.0212
 23 0.924 0.0534   4.43  0.600   0.0451 101.41  0.638  0.725 0.623   0.000  0.0184
 24 0.942 0.0467   4.25  0.600   0.0536  90.46  0.651  0.725 0.577   0.000  0.0158
 25 0.959 0.0399   4.11  0.600   0.0626  78.56  0.662  0.725 0.534   0.000  0.0132
 26 0.972 0.0330   3.99  0.600   0.0716  65.86  0.671  0.725 0.497   0.000  0.0108
 27 0.983 0.0260   3.89  0.600   0.0805  52.55  0.679  0.725 0.464   0.000  0.0084
 28 0.991 0.0191   3.82  0.600   0.0893  38.91  0.684  0.725 0.436   0.000  0.0061
 29 0.997 0.0125   3.77  0.600   0.0988  25.57  0.688  0.725 0.410   0.000  0.0040
 30 0.999 0.0072   3.75  0.600   0.1098  14.84  0.690  0.725 0.383   0.000  0.0023
