
 ===========================================================================
 Ducted Potential Formulation Solution:  Designed blade                  
 Vdisk/Vslip:    1.10000                         Wake adv. ratio:    0.10437
 no. blades :  2            radius(m)  :   0.1270     adv. ratio:     0.08544
 thrust(N)  :   10.7        power(W)   :   354.       torque(N-m):  0.192    
 Efficiency :  0.6065       speed(m/s) :   20.000     rpm        :  17599.998
 Eff induced:  0.8187       Eff ideal  :   0.8457     Area(m^2)  :    0.05064
 Tnacel(N)  :     0.0007    Rhub(m)    :   0.0030     Rwake(m)   :    0.0035
 Tvisc(N)   :    -0.1002    Pvisc(W)   :   89.2       Mach       :    0.0588
 rho(kg/m3) :   1.22600     Vsound(m/s):  340.000     mu(kg/m-s) : 0.1780E-04
 ---------------------------------------------------------------------------
    J:    0.26843      adv:    0.08544       AF:   33.410
   Ct:    0.02442       Cp:    0.01081  (by rho,Diam,N)
   Tc:    0.86305       Pc:    1.42300  (by rho,Atip,Vel)
   CT:    0.00315       CP:    0.00044  (by rho,Atip,Vtip)
Sigma:    0.03187 CT/sigma:    0.09884  ductFOM:    0.28172

  i  r/R   c/R  beta(deg)  CL     Cd    REx10^3 Mach   effi  effp  na.u/U  solidity
  1 0.041 0.1340  66.83  0.600   0.0374  25.87  0.073  0.697 0.818   0.000  1.0526
  2 0.082 0.1645  49.60  0.600   0.0315  39.77  0.091  0.738 0.896   0.000  0.6366
  3 0.133 0.1654  36.00  0.600   0.0281  53.20  0.118  0.748 0.909   0.000  0.3969
  4 0.184 0.1510  27.39  0.600   0.0263  62.43  0.149  0.752 0.905   0.000  0.2617
  5 0.235 0.1345  21.76  0.600   0.0253  68.59  0.180  0.754 0.896   0.000  0.1826
  6 0.285 0.1197  17.87  0.600   0.0248  72.73  0.212  0.755 0.885   0.000  0.1337
  7 0.334 0.1070  15.06  0.600   0.0244  75.54  0.244  0.755 0.874   0.000  0.1019
  8 0.383 0.0965  12.94  0.600   0.0241  77.48  0.276  0.755 0.862   0.000  0.0802
  9 0.431 0.0877  11.29  0.600   0.0240  78.80  0.308  0.756 0.850   0.000  0.0648
 10 0.477 0.0803   9.97  0.600   0.0239  79.68  0.339  0.756 0.839   0.000  0.0535
 11 0.523 0.0740   8.90  0.600   0.0238  80.21  0.369  0.756 0.828   0.000  0.0451
 12 0.567 0.0686   8.01  0.600   0.0238  80.44  0.399  0.756 0.817   0.000  0.0385
 13 0.609 0.0639   7.27  0.600   0.0238  80.40  0.427  0.756 0.807   0.000  0.0334
 14 0.649 0.0597   6.63  0.600   0.0238  80.06  0.455  0.756 0.797   0.000  0.0293
 15 0.688 0.0559   6.09  0.600   0.0239  79.39  0.481  0.756 0.787   0.000  0.0259
 16 0.725 0.0524   5.61  0.600   0.0240  78.34  0.506  0.756 0.778   0.000  0.0230
 17 0.760 0.0491   5.20  0.600   0.0243  76.86  0.530  0.756 0.768   0.000  0.0205
 18 0.793 0.0459   4.84  0.600   0.0253  74.88  0.552  0.756 0.753   0.000  0.0184
 19 0.824 0.0427   4.52  0.600   0.0275  72.32  0.573  0.756 0.730   0.000  0.0165
 20 0.852 0.0394   4.24  0.600   0.0313  69.14  0.593  0.756 0.697   0.000  0.0147
 21 0.879 0.0361   4.00  0.600   0.0365  65.30  0.610  0.756 0.656   0.000  0.0131
 22 0.902 0.0328   3.79  0.600   0.0432  60.78  0.627  0.756 0.611   0.000  0.0116
 23 0.924 0.0293   3.61  0.600   0.0511  55.58  0.641  0.757 0.565   0.000  0.0101
 24 0.942 0.0257   3.45  0.600   0.0599  49.74  0.654  0.757 0.520   0.000  0.0087
 25 0.959 0.0220   3.31  0.600   0.0692  43.32  0.665  0.757 0.480   0.000  0.0073
 26 0.972 0.0182   3.21  0.600   0.0787  36.39  0.674  0.757 0.444   0.000  0.0060
 27 0.983 0.0144   3.12  0.600   0.0882  29.08  0.682  0.757 0.413   0.000  0.0047
 28 0.991 0.0106   3.05  0.600   0.0980  21.55  0.687  0.757 0.385   0.000  0.0034
 29 0.997 0.0069   3.01  0.600   0.1091  14.13  0.691  0.757 0.359   0.000  0.0022
 30 0.999 0.0039   2.99  0.600   0.1228   8.10  0.693  0.757 0.331   0.000  0.0013
