
 ===========================================================================
 Free Tip Potential Formulation Solution:  Designed blade                  
                                                  Wake adv. ratio:    0.15509
 no. blades :  2            radius(m)  :   0.1270     adv. ratio:     0.12407
 thrust(N)  :   8.96        power(W)   :   225.       torque(N-m):  0.177    
 Efficiency :  0.7966       speed(m/s) :   20.000     rpm        :  12121.001
 Eff induced:  0.8000       Eff ideal  :   0.8651     Area(m^2)  :    0.05064
 Tnacel(N)  :     1.0289    Rhub(m)    :   0.0030     Rwake(m)   :    0.0035
 Tvisc(N)   :    -0.0028    Pvisc(W)   :  0.883       Mach       :    0.0588
 rho(kg/m3) :   1.22600     Vsound(m/s):  340.000     mu(kg/m-s) : 0.1780E-04
 ---------------------------------------------------------------------------
    J:    0.38977      adv:    0.12407       AF:   52.859
   Ct:    0.04301       Cp:    0.02105  (by rho,Diam,N)
   Tc:    0.72097       Pc:    0.90507  (by rho,Atip,Vel)
   CT:    0.00555       CP:    0.00086  (by rho,Atip,Vtip)
Sigma:    0.04357 CT/sigma:    0.12735

  i  r/R   c/R  beta(deg)  CL     Cd    REx10^3 Mach   effi  effp  na.u/U  solidity
  1 0.041 0.3026  94.85  0.600   0.0006  73.95  0.067 -0.304 1.008   0.000  2.3774
  2 0.082 0.2919  71.02  0.600   0.0006  73.95  0.071  0.541 0.996   0.000  1.1295
  3 0.133 0.2543  54.31  0.600   0.0006  73.95  0.086  0.720 0.998   0.000  0.6102
  4 0.184 0.2168  43.11  0.600   0.0006  73.95  0.104  0.774 0.998   0.000  0.3758
  5 0.235 0.1858  35.32  0.600   0.0006  73.95  0.125  0.797 0.998   0.000  0.2522
  6 0.285 0.1612  29.70  0.600   0.0006  73.95  0.147  0.809 0.998   0.000  0.1802
  7 0.334 0.1420  25.51  0.600   0.0006  73.95  0.169  0.816 0.998   0.000  0.1351
  8 0.383 0.1267  22.29  0.600   0.0006  73.95  0.191  0.820 0.997   0.000  0.1052
  9 0.431 0.1144  19.77  0.600   0.0006  73.95  0.212  0.823 0.997   0.000  0.0845
 10 0.477 0.1044  17.74  0.600   0.0006  73.95  0.234  0.825 0.997   0.000  0.0696
 11 0.523 0.0961  16.08  0.600   0.0006  73.95  0.254  0.826 0.997   0.000  0.0585
 12 0.567 0.0892  14.71  0.600   0.0006  73.95  0.275  0.827 0.996   0.000  0.0501
 13 0.609 0.0834  13.55  0.600   0.0006  73.95  0.294  0.828 0.996   0.000  0.0436
 14 0.649 0.0785  12.58  0.600   0.0006  73.95  0.313  0.829 0.996   0.000  0.0385
 15 0.688 0.0743  11.74  0.600   0.0006  73.95  0.331  0.829 0.996   0.000  0.0344
 16 0.725 0.0707  11.03  0.600   0.0006  73.95  0.349  0.830 0.995   0.000  0.0310
 17 0.760 0.0676  10.41  0.600   0.0006  73.95  0.365  0.830 0.995   0.000  0.0283
 18 0.793 0.0649   9.87  0.600   0.0006  73.95  0.380  0.830 0.995   0.000  0.0260
 19 0.824 0.0625   9.41  0.600   0.0006  73.95  0.395  0.831 0.995   0.000  0.0242
 20 0.852 0.0605   9.00  0.600   0.0006  73.95  0.408  0.831 0.995   0.000  0.0226
 21 0.879 0.0588   8.65  0.600   0.0006  73.95  0.420  0.831 0.995   0.000  0.0213
 22 0.902 0.0573   8.35  0.600   0.0006  73.95  0.432  0.831 0.994   0.000  0.0202
 23 0.924 0.0560   8.09  0.600   0.0006  73.95  0.442  0.831 0.994   0.000  0.0193
 24 0.942 0.0549   7.87  0.600   0.0006  73.95  0.450  0.831 0.994   0.000  0.0185
 25 0.959 0.0540   7.69  0.600   0.0006  73.95  0.458  0.831 0.994   0.000  0.0179
 26 0.972 0.0533   7.54  0.600   0.0006  73.95  0.464  0.831 0.994   0.000  0.0174
 27 0.983 0.0527   7.42  0.600   0.0006  73.95  0.470  0.831 0.994   0.000  0.0171
 28 0.991 0.0523   7.34  0.600   0.0006  73.95  0.473  0.831 0.994   0.000  0.0168
 29 0.997 0.0520   7.28  0.600   0.0006  73.95  0.476  0.832 0.994   0.000  0.0166
 30 0.999 0.0518   7.25  0.600   0.0006  73.95  0.477  0.832 0.994   0.000  0.0165
