
 ===========================================================================
 Ducted Potential Formulation Solution:  Designed blade                  
 Vdisk/Vslip:    1.10000                         Wake adv. ratio:    0.14886
 no. blades :  2            radius(m)  :   0.1270     adv. ratio:     0.12135
 thrust(N)  :   9.71        power(W)   :   286.       torque(N-m):  0.221    
 Efficiency :  0.6788       speed(m/s) :   20.000     rpm        :  12392.000
 Eff induced:  0.8152       Eff ideal  :   0.8566     Area(m^2)  :    0.05064
 Tnacel(N)  :     0.0007    Rhub(m)    :   0.0030     Rwake(m)   :    0.0035
 Tvisc(N)   :    -0.1234    Pvisc(W)   :   44.9       Mach       :    0.0588
 rho(kg/m3) :   1.22600     Vsound(m/s):  340.000     mu(kg/m-s) : 0.1780E-04
 ---------------------------------------------------------------------------
    J:    0.38125      adv:    0.12135       AF:   60.933
   Ct:    0.04463       Cp:    0.02506  (by rho,Diam,N)
   Tc:    0.78184       Pc:    1.15176  (by rho,Atip,Vel)
   CT:    0.00576       CP:    0.00103  (by rho,Atip,Vtip)
Sigma:    0.05913 CT/sigma:    0.09737

  i  r/R   c/R  beta(deg)  CL     Cd    REx10^3 Mach   effi  effp  na.u/U  solidity
  1 0.041 0.1484  72.78  0.600   0.0000  27.32  0.069  0.694 1.000   0.000  1.1656
  2 0.082 0.2060  58.93  0.600   0.0000  43.36  0.079  0.733 1.000   0.000  0.7969
  3 0.133 0.2370  46.11  0.600   0.0001  61.12  0.097  0.743 1.000   0.000  0.5688
  4 0.184 0.2377  36.82  0.600   0.0007  75.09  0.117  0.747 0.997   0.000  0.4120
  5 0.235 0.2255  30.19  0.600   0.0034  85.50  0.138  0.749 0.988   0.000  0.3061
  6 0.285 0.2093  25.37  0.600   0.0093  93.12  0.159  0.750 0.963   0.000  0.2339
  7 0.334 0.1929  21.76  0.600   0.0186  98.68  0.181  0.751 0.922   0.000  0.1836
  8 0.383 0.1776  18.98  0.600   0.0299 102.68  0.202  0.752 0.869   0.000  0.1475
  9 0.431 0.1637  16.80  0.600   0.0413 105.48  0.224  0.752 0.814   0.000  0.1209
 10 0.477 0.1513  15.04  0.600   0.0509 107.33  0.245  0.752 0.765   0.000  0.1009
 11 0.523 0.1403  13.60  0.600   0.0572 108.38  0.266  0.753 0.729   0.000  0.0854
 12 0.567 0.1303  12.41  0.600   0.0594 108.72  0.287  0.753 0.707   0.000  0.0732
 13 0.609 0.1212  11.41  0.600   0.0574 108.41  0.306  0.753 0.702   0.000  0.0634
 14 0.649 0.1129  10.57  0.600   0.0517 107.47  0.325  0.753 0.713   0.000  0.0553
 15 0.688 0.1052   9.84  0.600   0.0432 105.88  0.344  0.753 0.738   0.000  0.0486
 16 0.725 0.0978   9.22  0.600   0.0334 103.63  0.361  0.753 0.777   0.000  0.0429
 17 0.760 0.0908   8.68  0.600   0.0237 100.71  0.378  0.753 0.826   0.000  0.0380
 18 0.793 0.0840   8.21  0.600   0.0153  97.08  0.393  0.753 0.876   0.000  0.0337
 19 0.824 0.0773   7.81  0.600   0.0088  92.74  0.408  0.753 0.922   0.000  0.0299
 20 0.852 0.0707   7.45  0.600   0.0045  87.68  0.421  0.753 0.957   0.000  0.0264
 21 0.879 0.0641   7.15  0.600   0.0020  81.91  0.434  0.753 0.980   0.000  0.0232
 22 0.902 0.0575   6.88  0.600   0.0008  75.46  0.445  0.753 0.992   0.000  0.0203
 23 0.924 0.0509   6.66  0.600   0.0003  68.36  0.455  0.753 0.997   0.000  0.0176
 24 0.942 0.0443   6.47  0.600   0.0001  60.68  0.464  0.753 0.999   0.000  0.0150
 25 0.959 0.0377   6.31  0.600   0.0000  52.48  0.472  0.753 1.000   0.000  0.0125
 26 0.972 0.0311   6.17  0.600   0.0000  43.85  0.478  0.753 1.000   0.000  0.0102
 27 0.983 0.0245   6.07  0.600   0.0000  34.92  0.484  0.753 1.000   0.000  0.0079
 28 0.991 0.0180   6.00  0.600   0.0000  25.86  0.487  0.753 1.000   0.000  0.0058
 29 0.997 0.0118   5.95  0.600   0.0000  17.08  0.490  0.753 1.000   0.000  0.0038
 30 0.999 0.0070   5.92  0.600   0.0000  10.21  0.491  0.753 1.000   0.000  0.0022
