
 ===========================================================================
 Free Tip Potential Formulation Solution:  Designed blade                  
                                                  Wake adv. ratio:    0.02415
 no. blades :  2            radius(m)  :   0.1270     adv. ratio:     0.02392
 thrust(N)  :  0.426        power(W)   :   543.       torque(N-m):  0.826E-01
 Efficiency :  0.0157       speed(m/s) :   20.000     rpm        :  62856.000
 Eff induced:  0.9906       Eff ideal  :   0.9916     Area(m^2)  :    0.05066
 Tnacel(N)  :    -0.0000    Rhub(m)    :   0.0020     Rwake(m)   :    0.0021
 Tvisc(N)   :    -0.0337    Pvisc(W)   :   534.       Mach       :    0.0588
 rho(kg/m3) :   1.22600     Vsound(m/s):  340.000     mu(kg/m-s) : 0.1780E-04
 ---------------------------------------------------------------------------
    J:    0.07516      adv:    0.02392       AF:    0.114
   Ct:    0.00008       Cp:    0.00036  (by rho,Diam,N)
   Tc:    0.03431       Pc:    2.18706  (by rho,Atip,Vel)
   CT:    0.00001       CP:    0.00001  (by rho,Atip,Vtip)
Sigma:    0.00010 CT/sigma:    0.10061  heliFOM:    0.00145

  i  r/R    c/R  beta(deg)   CL      Cd    RE    Mach   effi  effp  na.u/U  solidity
  1 0.035 0.0020  32.12  0.600   0.1668  61.54  0.105  0.981 0.576   0.000  0.0177
  2 0.080 0.0012  14.50  0.600   0.1530  76.33  0.206  0.989 0.500   0.000  0.0049
  3 0.131 0.0008   8.06  0.600   0.1494  81.11  0.329  0.990 0.405   0.000  0.0020
  4 0.183 0.0006   5.02  0.600   0.1482  82.65  0.453  0.990 0.337   0.000  0.0011
  5 0.234 0.0005   3.18  0.600   0.1516  83.28  0.578  0.990 0.283   0.000  0.0007
  6 0.284 0.0004   1.85  0.600   0.2231  83.59  0.702  0.990 0.180   0.000  0.0004
  7 0.334 0.0003   0.73  0.600   0.4692  83.76  0.823  0.990 0.080   0.000  0.0003
  8 0.383 0.0003  -0.46  0.600   0.9864  83.87  0.943  0.991 0.033   0.000  0.0002
  9 0.431 0.0003  -1.51  0.600   1.3214  83.94  1.060  0.991 0.022   0.000  0.0002
 10 0.477 0.0002  -1.82  0.600   1.3214  83.99  1.175  0.991 0.020   0.000  0.0002
 11 0.522 0.0002  -2.07  0.600   1.3213  84.03  1.286  0.991 0.018   0.000  0.0001
 12 0.566 0.0002  -2.28  0.600   1.3213  84.05  1.394  0.991 0.017   0.000  0.0001
 13 0.609 0.0002  -2.45  0.600   1.3213  84.08  1.498  0.991 0.016   0.000  0.0001
 14 0.649 0.0002  -2.59  0.600   1.3213  84.09  1.598  0.991 0.015   0.000  0.0001
 15 0.688 0.0002  -2.71  0.600   1.3213  84.11  1.693  0.991 0.014   0.000  0.0001
 16 0.725 0.0002  -2.81  0.600   1.3213  84.11  1.784  0.991 0.014   0.000  0.0001
 17 0.760 0.0002  -2.90  0.600   1.3213  84.12  1.870  0.991 0.013   0.000  0.0001
 18 0.793 0.0001  -2.98  0.600   1.3213  84.12  1.951  0.991 0.013   0.000  0.0001
 19 0.824 0.0001  -3.04  0.600   1.3213  84.09  2.027  0.991 0.012   0.000  0.0001
 20 0.852 0.0001  -3.10  0.600   1.3213  84.00  2.097  0.991 0.012   0.000  0.0001
 21 0.879 0.0001  -3.14  0.600   1.3215  83.76  2.161  0.991 0.012   0.000  0.0000
 22 0.902 0.0001  -3.19  0.600   1.3220  83.15  2.219  0.991 0.011   0.000  0.0000
 23 0.924 0.0001  -3.22  0.600   1.3229  81.81  2.272  0.991 0.011   0.000  0.0000
 24 0.942 0.0001  -3.25  0.600   1.3249  79.15  2.318  0.991 0.011   0.000  0.0000
 25 0.959 0.0001  -3.28  0.600   1.3286  74.45  2.357  0.991 0.011   0.000  0.0000
 26 0.972 0.0001  -3.30  0.600   1.3352  67.08  2.391  0.991 0.010   0.000  0.0000
 27 0.983 0.0001  -3.31  0.600   1.3463  56.76  2.417  0.991 0.010   0.000  0.0000
 28 0.991 0.0001  -3.32  0.600   1.3652  43.80  2.438  0.991 0.010   0.000  0.0000
 29 0.997 0.0000  -3.33  0.600   1.3986  29.25  2.451  0.991 0.010   0.000  0.0000
 30 0.999 0.0000  -3.34  0.600   1.4592  16.11  2.458  0.991 0.009   0.000  0.0000
