
 ===========================================================================
 Free Tip Potential Formulation Solution:  Designed blade                  
                                                  Wake adv. ratio:    0.09228
 no. blades :  2            radius(m)  :   0.1270     adv. ratio:     0.07120
 thrust(N)  :   15.6        power(W)   :   814.       torque(N-m):  0.368    
 Efficiency :  0.3826       speed(m/s) :   20.000     rpm        :  21119.998
 Eff induced:  0.7716       Eff ideal  :   0.7997     Area(m^2)  :    0.05066
 Tnacel(N)  :     0.0001    Rhub(m)    :   0.0020     Rwake(m)   :    0.0021
 Tvisc(N)   :    -0.2251    Pvisc(W)   :   404.       Mach       :    0.0588
 rho(kg/m3) :   1.22600     Vsound(m/s):  340.000     mu(kg/m-s) : 0.1780E-04
 ---------------------------------------------------------------------------
    J:    0.22369      adv:    0.07120       AF:   34.030
   Ct:    0.02462       Cp:    0.01439  (by rho,Diam,N)
   Tc:    1.25280       Pc:    3.27418  (by rho,Atip,Vel)
   CT:    0.00318       CP:    0.00059  (by rho,Atip,Vtip)
Sigma:    0.03222 CT/sigma:    0.09858  heliFOM:    0.21414

  i  r/R   c/R  beta(deg)  CL     Cd    REx10^3 Mach   effi  effp  na.u/U  solidity
  1 0.035 0.1444  66.88  0.600   0.0362  28.08  0.065  0.764 0.823   0.000  1.3000
  2 0.080 0.1884  46.80  0.600   0.0289  49.25  0.088  0.770 0.907   0.000  0.7476
  3 0.131 0.1821  32.85  0.600   0.0257  66.44  0.123  0.771 0.914   0.000  0.4408
  4 0.183 0.1611  24.54  0.600   0.0242  77.30  0.161  0.771 0.907   0.000  0.2803
  5 0.234 0.1405  19.28  0.600   0.0234  84.15  0.201  0.772 0.896   0.000  0.1913
  6 0.284 0.1233  15.70  0.600   0.0229  88.56  0.242  0.772 0.884   0.000  0.1380
  7 0.334 0.1092  13.13  0.600   0.0226  91.47  0.282  0.772 0.871   0.000  0.1041
  8 0.383 0.0978  11.21  0.600   0.0224  93.42  0.321  0.772 0.858   0.000  0.0813
  9 0.431 0.0884   9.71  0.600   0.0223  94.73  0.360  0.772 0.846   0.000  0.0654
 10 0.477 0.0807   8.52  0.600   0.0222  95.61  0.398  0.772 0.833   0.000  0.0538
 11 0.522 0.0743   7.54  0.600   0.0221  96.16  0.435  0.772 0.822   0.000  0.0452
 12 0.566 0.0688   6.73  0.600   0.0221  96.43  0.471  0.772 0.811   0.000  0.0387
 13 0.609 0.0641   6.04  0.600   0.0221  96.44  0.506  0.772 0.800   0.000  0.0335
 14 0.649 0.0600   5.45  0.600   0.0225  96.17  0.539  0.772 0.787   0.000  0.0294
 15 0.688 0.0563   4.94  0.600   0.0251  95.58  0.571  0.772 0.758   0.000  0.0260
 16 0.725 0.0529   4.49  0.600   0.0312  94.60  0.602  0.772 0.705   0.000  0.0232
 17 0.760 0.0497   4.10  0.600   0.0421  93.15  0.631  0.772 0.629   0.000  0.0208
 18 0.793 0.0466   3.75  0.600   0.0580  91.12  0.658  0.772 0.540   0.000  0.0187
 19 0.824 0.0435   3.44  0.600   0.0789  88.41  0.683  0.772 0.453   0.000  0.0168
 20 0.852 0.0404   3.16  0.600   0.1046  84.92  0.706  0.772 0.376   0.000  0.0151
 21 0.879 0.0372   2.92  0.600   0.1341  80.59  0.728  0.772 0.312   0.000  0.0135
 22 0.902 0.0339   2.70  0.600   0.1665  75.35  0.748  0.772 0.262   0.000  0.0120
 23 0.924 0.0304   2.51  0.600   0.2005  69.20  0.765  0.772 0.223   0.000  0.0105
 24 0.942 0.0268   2.35  0.600   0.2347  62.17  0.781  0.772 0.193   0.000  0.0090
 25 0.959 0.0230   2.20  0.600   0.2680  54.32  0.794  0.772 0.170   0.000  0.0076
 26 0.972 0.0191   2.09  0.600   0.2989  45.76  0.805  0.772 0.152   0.000  0.0063
 27 0.983 0.0151   1.99  0.600   0.3266  36.63  0.814  0.772 0.140   0.000  0.0049
 28 0.991 0.0111   1.92  0.600   0.3504  27.17  0.821  0.772 0.130   0.000  0.0036
 29 0.997 0.0073   1.87  0.600   0.3708  17.80  0.825  0.772 0.123   0.000  0.0023
 30 0.999 0.0041   1.85  0.600   0.3888  10.10  0.827  0.772 0.117   0.000  0.0013
