Drone,Price ($),Weight (kg),unfolded Size (LÃ—WÃ—H),Advertised flight time (min),Battery capacity (mAh),Propeller diameter (m),propeller pitch,propeller area,downwash
Mini SE,299,0.249,138Ã—81Ã—58 mm,30,2600,0.1194,6.6,0.0111969189607328,9.43630278123436
Neo,199,0.135,130Ã—157Ã—48.5 mm,18,2600,0.0508,4.06,0.00202682991638999,16.3308839552137
Mini 2,449,0.249,138Ã—81Ã—58 mm,31,2250,0.1194,6.6,0.0111969189607328,9.43630278123436
Mavic Air 2,798,0.57,180Ã—97Ã—84 mm,34,3500,0.183,9.7,0.0263021990940171,9.31521448179697
Mini 3,419,0.248,145Ã—90Ã—62 mm,38,3850,0.1524,7.62,0.0182414692475099,7.37814853754626
Flip,489,0.249,132x66x165 mm,31,3850,0.1016,5.59,0.00810731966555996,11.0895133078679
Mini 4 Pro,759,0.249,148Ã—94Ã—64 mm,34,2600,0.1524,7.62,0.0182414692475099,7.39300887191196
Air 2S,999,0.595,180Ã—97Ã—77 mm,31,3500,0.183,9.7,0.0263021990940171,9.51730339230922
Air 3S,1099,0.724,214.2x100.6x89.2 mm,45,4276,0.221,11.94,0.0383596316984948,8.69327724344427
Mavic 2 Pro,1729,0.907,214Ã—91Ã—84 mm,31,3850,0.22098,10.922,0.0383526890928896,9.73099378354063
Mavic 3,2199,0.895,221Ã—96.3Ã—90.3 mm,46,5000,0.2388,13.46,0.0447876758429314,8.94506943399763
DJI Mavic 3 Cine,1889,0.895,347.5Ã—290.8Ã—107.7 mm,46,5000,0.2388,13.46,0.0447876758429314,8.94506943399763
Mini 4K (Mini 2 SE),299,0.246,138Ã—81Ã—58 mm,31,2250,0.1194,6.6,0.0111969189607328,9.37928532400104
Mini 3 Pro,759,0.249,145Ã—90Ã—62 mm,34,3110,0.1524,7.62,0.0182414692475099,7.39300887191196
Air 3,1099,0.72,207x100.5x91.1 mm,46,4241,0.221,11.94,0.0383596316984948,8.66922940417151
Mavic 3 Classic,1599,0.895,221Ã—96.3Ã—90.3 mm,46,5000,0.2388,13.46,0.0447876758429314,8.94506943399763
Mavic 3 Pro,2199,0.958,221Ã—96.3Ã—90.3 mm,43,5000,0.2388,13.46,0.0447876758429314,9.25454247259778
DJI Matrice 4T,5822,1.42,307 Ã— 387.5 Ã— 149.5 (unfolded),49,6741,0.27432,,0.0591023603619321,9.80828825729304
